"Label (Grouping)","Hawaii!!Total!!Estimate","Hawaii!!Below poverty level!!Estimate","Hawaii!!Percent below poverty level!!Estimate","Hawaii County, Hawaii!!Total!!Estimate","Hawaii County, Hawaii!!Below poverty level!!Estimate","Hawaii County, Hawaii!!Percent below poverty level!!Estimate","Honolulu County, Hawaii!!Total!!Estimate","Honolulu County, Hawaii!!Below poverty level!!Estimate","Honolulu County, Hawaii!!Percent below poverty level!!Estimate","Kauai County, Hawaii!!Total!!Estimate","Kauai County, Hawaii!!Below poverty level!!Estimate","Kauai County, Hawaii!!Percent below poverty level!!Estimate","Maui County, Hawaii!!Total!!Estimate","Maui County, Hawaii!!Below poverty level!!Estimate","Maui County, Hawaii!!Percent below poverty level!!Estimate"
"Population for whom poverty status is determined","1,410,318","140,840","10.0%","207,117","34,553","16.7%","968,267","85,190","8.8%","73,147","5,449","7.4%","161,712","15,648","9.7%"
"    AGE","","","","","","","","","","","","","","",""
"        Under 18 years","287,618","33,191","11.5%","41,468","8,787","21.2%","197,912","19,628","9.9%","15,214","1,450","9.5%","33,024","3,326","10.1%"
"            Under 5 years","73,611","8,260","11.2%","9,430","1,757","18.6%","52,608","5,013","9.5%","3,463","484","14.0%","8,110","1,006","12.4%"
"            5 to 17 years","214,007","24,931","11.6%","32,038","7,030","21.9%","145,304","14,615","10.1%","11,751","966","8.2%","24,914","2,320","9.3%"
"            Related children of householder under 18 years","286,013","31,899","11.2%","41,354","8,673","21.0%","196,470","18,499","9.4%","15,178","1,414","9.3%","33,011","3,313","10.0%"
"        18 to 64 years","816,277","79,072","9.7%","113,642","19,468","17.1%","569,687","47,686","8.4%","40,066","3,049","7.6%","92,842","8,869","9.6%"
"            18 to 34 years","280,240","32,437","11.6%","35,468","7,565","21.3%","203,835","20,625","10.1%","12,960","804","6.2%","27,977","3,443","12.3%"
"            35 to 64 years","536,037","46,635","8.7%","78,174","11,903","15.2%","365,852","27,061","7.4%","27,106","2,245","8.3%","64,865","5,426","8.4%"
"        60 years and over","395,821","37,978","9.6%","67,312","9,078","13.5%","258,752","22,798","8.8%","22,307","1,521","6.8%","47,407","4,581","9.7%"
"        65 years and over","306,423","28,577","9.3%","52,007","6,298","12.1%","200,668","17,876","8.9%","17,867","950","5.3%","35,846","3,453","9.6%"
"    SEX","","","","","","","","","","","","","","",""
"        Male","699,535","65,444","9.4%","101,147","15,281","15.1%","481,519","41,069","8.5%","36,086","2,758","7.6%","80,769","6,336","7.8%"
"        Female","710,783","75,396","10.6%","105,970","19,272","18.2%","486,748","44,121","9.1%","37,061","2,691","7.3%","80,943","9,312","11.5%"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","",""
"        White alone","305,118","34,446","11.3%","65,523","10,707","16.3%","171,634","17,578","10.2%","21,638","1,878","8.7%","46,281","4,283","9.3%"
