"Label (Grouping)","Hawaii!!Total!!Estimate","Hawaii!!Below poverty level!!Estimate","Hawaii!!Percent below poverty level!!Estimate","Hawaii County, Hawaii!!Total!!Estimate","Hawaii County, Hawaii!!Below poverty level!!Estimate","Hawaii County, Hawaii!!Percent below poverty level!!Estimate","Honolulu County, Hawaii!!Total!!Estimate","Honolulu County, Hawaii!!Below poverty level!!Estimate","Honolulu County, Hawaii!!Percent below poverty level!!Estimate","Kauai County, Hawaii!!Total!!Estimate","Kauai County, Hawaii!!Below poverty level!!Estimate","Kauai County, Hawaii!!Percent below poverty level!!Estimate","Maui County, Hawaii!!Total!!Estimate","Maui County, Hawaii!!Below poverty level!!Estimate","Maui County, Hawaii!!Percent below poverty level!!Estimate"
"Population for whom poverty status is determined","1,402,729","142,378","10.2%","203,876","30,833","15.1%","963,464","93,402","9.7%","73,169","4,817","6.6%","162,152","13,326","8.2%"
"    AGE","","","","","","","","","","","","","","",""
"        Under 18 years","289,643","36,568","12.6%","42,602","8,222","19.3%","198,092","23,677","12.0%","15,495","1,463","9.4%","33,454","3,206","9.6%"
"            Under 5 years","76,249","9,405","12.3%","10,735","1,797","16.7%","53,668","6,634","12.4%","3,479","253","7.3%","8,367","721","8.6%"
"            5 to 17 years","213,394","27,163","12.7%","31,867","6,425","20.2%","144,424","17,043","11.8%","12,016","1,210","10.1%","25,087","2,485","9.9%"
"            Related children of householder under 18 years","288,995","36,006","12.5%","42,602","8,222","19.3%","197,517","23,188","11.7%","15,483","1,451","9.4%","33,393","3,145","9.4%"
"        18 to 64 years","823,388","80,813","9.8%","113,756","16,884","14.8%","573,663","53,964","9.4%","41,372","2,783","6.7%","94,535","7,182","7.6%"
"            18 to 34 years","287,604","31,068","10.8%","35,550","6,207","17.5%","210,239","21,930","10.4%","13,001","502","3.9%","28,752","2,429","8.4%"
"            35 to 64 years","535,784","49,745","9.3%","78,206","10,677","13.7%","363,424","32,034","8.8%","28,371","2,281","8.0%","65,783","4,753","7.2%"
"        60 years and over","380,676","34,919","9.2%","62,456","8,308","13.3%","251,350","21,352","8.5%","21,383","1,063","5.0%","45,481","4,196","9.2%"
"        65 years and over","289,698","24,997","8.6%","47,518","5,727","12.1%","191,709","15,761","8.2%","16,302","571","3.5%","34,163","2,938","8.6%"
"    SEX","","","","","","","","","","","","","","",""
"        Male","699,232","66,452","9.5%","101,302","14,505","14.3%","480,032","43,076","9.0%","37,229","2,456","6.6%","80,601","6,415","8.0%"
"        Female","703,497","75,926","10.8%","102,574","16,328","15.9%","483,432","50,326","10.4%","35,940","2,361","6.6%","81,551","6,911","8.5%"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","",""
"        White alone","302,296","29,484","9.8%","61,693","7,675","12.4%","169,748","14,753","8.7%","21,540","1,782","8.3%","49,309","5,274","10.7%"
"        Black or African American alone","23,746","2,745","11.6%","N","N","N","20,060","2,407","12.0%","N","N","N","N","N","N"
"        American Indian and Alaska Native alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Asian alone","499,991","35,028","7.0%","35,840","2,434","6.8%","401,694","28,777","7.2%","20,346","1,545","7.6%","42,095","2,272","5.4%"
"        Native Hawaiian and Other Pacific Islander alone","140,660","26,921","19.1%","26,243","6,153","23.4%","92,589","18,669","20.2%","6,780","479","7.1%","15,048","1,620","10.8%"
"        Some other race alone","25,437","2,822","11.1%","N","N","N","15,179","1,849","12.2%","N","N","N","N","N","N"
"        Two or more races","406,778","44,424","10.9%","72,618","13,750","18.9%","262,238","26,419","10.1%","21,883","884","4.0%","49,993","3,371","6.7%"
"        Hispanic or Latino origin (of any race)","152,774","17,611","11.5%","28,379","7,280","25.7%","96,638","7,868","8.1%","N","N","N","19,262","2,271","11.8%"
"        White alone, not Hispanic or Latino","283,300","28,344","10.0%","59,927","7,416","12.4%","155,598","14,047","9.0%","20,867","1,782","8.5%","46,902","5,099","10.9%"
"    EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","",""
"        Population 25 years and over","1,010,351","91,512","9.1%","148,409","20,549","13.8%","691,375","58,834","8.5%","52,250","2,931","5.6%","118,249","9,198","7.8%"
"            Less than high school graduate","71,739","13,004","18.1%","10,915","2,661","24.4%","48,443","9,200","19.0%","4,035","292","7.2%","8,340","851","10.2%"
"            High school graduate (includes equivalency)","267,286","33,991","12.7%","42,638","9,193","21.6%","175,278","21,201","12.1%","14,167","774","5.5%","35,187","2,823","8.0%"
"            Some college, associate's degree","310,761","27,554","8.9%","47,099","5,909","12.5%","204,912","16,724","8.2%","18,593","1,000","5.4%","40,122","3,921","9.8%"
"            Bachelor's degree or higher","360,565","16,963","4.7%","47,757","2,786","5.8%","262,742","11,709","4.5%","15,455","865","5.6%","34,600","1,603","4.6%"
"    EMPLOYMENT STATUS","","","","","","","","","","","","","","",""
"        Civilian labor force 16 years and over","696,037","35,302","5.1%","92,397","5,650","6.1%","481,037","24,703","5.1%","36,187","1,404","3.9%","86,354","3,545","4.1%"
"            Employed","670,868","28,847","4.3%","88,970","5,145","5.8%","463,555","19,484","4.2%","34,884","1,130","3.2%","83,397","3,088","3.7%"
"                Male","343,148","12,771","3.7%","45,568","2,348","5.2%","237,086","8,248","3.5%","17,174","534","3.1%","43,258","1,641","3.8%"
"                Female","327,720","16,076","4.9%","43,402","2,797","6.4%","226,469","11,236","5.0%","17,710","596","3.4%","40,139","1,447","3.6%"
"            Unemployed","25,169","6,455","25.6%","3,427","505","14.7%","17,482","5,219","29.9%","1,303","274","21.0%","2,957","457","15.5%"
"                Male","14,325","3,257","22.7%","1,765","239","13.5%","9,625","2,626","27.3%","1,100","231","21.0%","1,835","161","8.8%"
"                Female","10,844","3,198","29.5%","1,662","266","16.0%","7,857","2,593","33.0%","203","43","21.2%","1,122","296","26.4%"
"    WORK EXPERIENCE","","","","","","","","","","","","","","",""
"        Population 16 years and over","1,145,367","109,625","9.6%","166,031","23,127","13.9%","786,903","72,499","9.2%","59,572","3,463","5.8%","132,793","10,536","7.9%"
"            Worked full-time, year-round in the past 12 months","507,509","8,361","1.6%","62,583","1,420","2.3%","361,699","6,273","1.7%","23,068","137","0.6%","60,113","531","0.9%"
"            Worked part-time or part-year in the past 12 months","240,448","27,544","11.5%","35,139","5,244","14.9%","161,396","17,570","10.9%","14,538","1,283","8.8%","29,359","3,447","11.7%"
"            Did not work","397,410","73,720","18.6%","68,309","16,463","24.1%","263,808","48,656","18.4%","21,966","2,043","9.3%","43,321","6,558","15.1%"
"    ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS","","","","","","","","","","","","","","",""
"        50 percent of poverty level","75,921","(X)","(X)","14,581","(X)","(X)","51,844","(X)","(X)","3,062","(X)","(X)","6,434","(X)","(X)"
"        125 percent of poverty level","187,890","(X)","(X)","36,278","(X)","(X)","125,584","(X)","(X)","5,838","(X)","(X)","20,190","(X)","(X)"
"        150 percent of poverty level","232,063","(X)","(X)","44,120","(X)","(X)","153,128","(X)","(X)","9,875","(X)","(X)","24,905","(X)","(X)"
"        185 percent of poverty level","300,752","(X)","(X)","57,152","(X)","(X)","197,050","(X)","(X)","12,718","(X)","(X)","33,775","(X)","(X)"
"        200 percent of poverty level","324,113","(X)","(X)","63,302","(X)","(X)","211,801","(X)","(X)","13,529","(X)","(X)","35,424","(X)","(X)"
"        300 percent of poverty level","523,714","(X)","(X)","93,262","(X)","(X)","340,394","(X)","(X)","27,805","(X)","(X)","62,196","(X)","(X)"
"        400 percent of poverty level","722,335","(X)","(X)","122,513","(X)","(X)","472,971","(X)","(X)","41,288","(X)","(X)","85,506","(X)","(X)"
"        500 percent of poverty level","907,175","(X)","(X)","146,201","(X)","(X)","601,197","(X)","(X)","51,840","(X)","(X)","107,880","(X)","(X)"
"UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED","273,917","65,001","23.7%","45,282","13,230","29.2%","185,218","43,095","23.3%","13,006","2,151","16.5%","30,343","6,525","21.5%"
"    Male","144,514","30,630","21.2%","24,071","6,604","27.4%","97,287","19,464","20.0%","6,474","1,073","16.6%","16,614","3,489","21.0%"
"    Female","129,403","34,371","26.6%","21,211","6,626","31.2%","87,931","23,631","26.9%","6,532","1,078","16.5%","13,729","3,036","22.1%"
"    15 years","69","69","100.0%","0","0","-","57","57","100.0%","0","0","-","12","12","100.0%"
"    16 to 17 years","579","493","85.1%","0","0","-","518","432","83.4%","12","12","100.0%","49","49","100.0%"
"    18 to 24 years","23,011","9,955","43.3%","3,206","1,364","42.5%","17,779","7,594","42.7%","597","311","52.1%","1,429","686","48.0%"
"    25 to 34 years","56,133","9,049","16.1%","8,650","2,587","29.9%","41,589","5,777","13.9%","1,932","70","3.6%","3,900","615","15.8%"
"    35 to 44 years","42,009","7,822","18.6%","6,079","1,261","20.7%","28,479","5,679","19.9%","2,083","176","8.4%","5,368","706","13.2%"
