"Label (Grouping)","Hawaii!!Total!!Estimate","Hawaii!!Below poverty level!!Estimate","Hawaii!!Percent below poverty level!!Estimate","Hawaii County, Hawaii!!Total!!Estimate","Hawaii County, Hawaii!!Below poverty level!!Estimate","Hawaii County, Hawaii!!Percent below poverty level!!Estimate","Honolulu County, Hawaii!!Total!!Estimate","Honolulu County, Hawaii!!Below poverty level!!Estimate","Honolulu County, Hawaii!!Percent below poverty level!!Estimate","Kauai County, Hawaii!!Total!!Estimate","Kauai County, Hawaii!!Below poverty level!!Estimate","Kauai County, Hawaii!!Percent below poverty level!!Estimate","Maui County, Hawaii!!Total!!Estimate","Maui County, Hawaii!!Below poverty level!!Estimate","Maui County, Hawaii!!Percent below poverty level!!Estimate"
"Population for whom poverty status is determined","1,379,078","128,722","9.3%","198,625","26,250","13.2%","943,455","76,644","8.1%","71,467","6,112","8.6%","165,518","19,716","11.9%"
"    AGE","","","","","","","","","","","","","","",""
"        Under 18 years","295,071","36,461","12.4%","42,761","8,284","19.4%","201,291","19,897","9.9%","15,589","2,056","13.2%","35,430","6,224","17.6%"
"            Under 5 years","82,921","9,864","11.9%","10,966","2,057","18.8%","58,592","5,711","9.7%","4,052","695","17.2%","9,311","1,401","15.0%"
"            5 to 17 years","212,150","26,597","12.5%","31,795","6,227","19.6%","142,699","14,186","9.9%","11,537","1,361","11.8%","26,119","4,823","18.5%"
"            Related children of householder under 18 years","293,714","35,124","12.0%","42,732","8,255","19.3%","200,470","19,096","9.5%","15,589","2,056","13.2%","34,923","5,717","16.4%"
"        18 to 64 years","818,415","69,228","8.5%","112,219","12,857","11.5%","567,181","42,700","7.5%","40,882","3,174","7.8%","98,120","10,497","10.7%"
"            18 to 34 years","291,316","28,269","9.7%","34,287","5,202","15.2%","213,715","19,031","8.9%","12,827","870","6.8%","30,487","3,166","10.4%"
"            35 to 64 years","527,099","40,959","7.8%","77,932","7,655","9.8%","353,466","23,669","6.7%","28,055","2,304","8.2%","67,633","7,331","10.8%"
"        60 years and over","355,841","30,421","8.5%","61,615","6,837","11.1%","231,873","17,834","7.7%","20,759","1,410","6.8%","41,594","4,340","10.4%"
"        65 years and over","265,592","23,033","8.7%","43,645","5,109","11.7%","174,983","14,047","8.0%","14,996","882","5.9%","31,968","2,995","9.4%"
"    SEX","","","","","","","","","","","","","","",""
"        Male","682,533","58,326","8.5%","98,540","11,964","12.1%","467,821","33,674","7.2%","34,333","2,551","7.4%","81,834","10,137","12.4%"
"        Female","696,545","70,396","10.1%","100,085","14,286","14.3%","475,634","42,970","9.0%","37,134","3,561","9.6%","83,684","9,579","11.4%"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","",""
"        White alone","325,461","30,062","9.2%","65,214","8,877","13.6%","182,250","12,053","6.6%","22,496","2,027","9.0%","55,496","7,105","12.8%"
"        Black or African American alone","24,887","1,978","7.9%","N","N","N","23,346","1,922","8.2%","N","N","N","N","N","N"
"        American Indian and Alaska Native alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Asian alone","540,573","33,457","6.2%","46,690","2,910","6.2%","422,270","25,801","6.1%","21,584","1,157","5.4%","50,029","3,589","7.2%"
"        Native Hawaiian and Other Pacific Islander alone","148,938","29,409","19.7%","22,975","5,554","24.2%","98,793","16,817","17.0%","8,079","2,462","30.5%","19,083","4,576","24.0%"
"        Some other race alone","22,300","3,030","13.6%","N","N","N","14,428","1,717","11.9%","N","N","N","N","N","N"
"        Two or more races","311,643","30,031","9.6%","58,200","8,581","14.7%","200,074","18,103","9.0%","N","N","N","35,133","3,109","8.8%"
"        Hispanic or Latino origin (of any race)","144,527","19,184","13.3%","25,495","5,481","21.5%","92,128","11,232","12.2%","N","N","N","18,797","1,570","8.4%"
"        White alone, not Hispanic or Latino","290,929","26,293","9.0%","59,847","7,391","12.3%","160,654","10,552","6.6%","20,951","1,485","7.1%","49,477","6,865","13.9%"
"    EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","",""
"        Population 25 years and over","982,624","78,844","8.0%","142,528","15,384","10.8%","669,729","47,658","7.1%","50,807","3,482","6.9%","119,547","12,320","10.3%"
"            Less than high school graduate","74,106","12,913","17.4%","10,488","1,949","18.6%","49,015","8,430","17.2%","3,546","812","22.9%","11,057","1,722","15.6%"
"            High school graduate (includes equivalency)","266,464","31,109","11.7%","43,874","6,475","14.8%","170,553","19,430","11.4%","15,412","1,469","9.5%","36,625","3,735","10.2%"
"            Some college, associate's degree","309,077","21,706","7.0%","45,108","3,842","8.5%","208,278","13,058","6.3%","17,212","735","4.3%","38,474","4,071","10.6%"
"            Bachelor's degree or higher","332,977","13,116","3.9%","43,058","3,118","7.2%","241,883","6,740","2.8%","14,637","466","3.2%","33,391","2,792","8.4%"
"    EMPLOYMENT STATUS","","","","","","","","","","","","","","",""
"        Civilian labor force 16 years and over","695,037","32,308","4.6%","95,644","7,074","7.4%","473,597","18,707","3.9%","36,847","1,710","4.6%","88,936","4,817","5.4%"
"            Employed","669,384","26,285","3.9%","90,446","5,315","5.9%","457,374","15,091","3.3%","35,876","1,645","4.6%","85,675","4,234","4.9%"
"                Male","337,469","12,513","3.7%","45,515","2,495","5.5%","230,216","6,887","3.0%","18,118","827","4.6%","43,615","2,304","5.3%"
"                Female","331,915","13,772","4.1%","44,931","2,820","6.3%","227,158","8,204","3.6%","17,758","818","4.6%","42,060","1,930","4.6%"
"            Unemployed","25,653","6,023","23.5%","5,198","1,759","33.8%","16,223","3,616","22.3%","971","65","6.7%","3,261","583","17.9%"
"                Male","14,807","4,237","28.6%","2,839","1,017","35.8%","9,646","2,838","29.4%","563","0","0.0%","1,759","382","21.7%"
"                Female","10,846","1,786","16.5%","2,359","742","31.5%","6,577","778","11.8%","408","65","15.9%","1,502","201","13.4%"
"    WORK EXPERIENCE","","","","","","","","","","","","","","",""
"        Population 16 years and over","1,115,823","97,125","8.7%","160,596","19,193","12.0%","764,464","59,972","7.8%","57,221","4,098","7.2%","133,529","13,862","10.4%"
"            Worked full-time, year-round in the past 12 months","526,985","9,178","1.7%","65,237","1,941","3.0%","374,987","5,221","1.4%","25,952","849","3.3%","60,801","1,167","1.9%"
"            Worked part-time or part-year in the past 12 months","222,298","23,557","10.6%","34,117","4,488","13.2%","144,216","14,163","9.8%","12,278","1,043","8.5%","31,682","3,863","12.2%"
"            Did not work","366,540","64,390","17.6%","61,242","12,764","20.8%","245,261","40,588","16.5%","18,991","2,206","11.6%","41,046","8,832","21.5%"
"    ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS","","","","","","","","","","","","","","",""
"        50 percent of poverty level","61,176","(X)","(X)","9,253","(X)","(X)","38,406","(X)","(X)","2,206","(X)","(X)","11,311","(X)","(X)"
"        125 percent of poverty level","161,166","(X)","(X)","35,341","(X)","(X)","95,111","(X)","(X)","7,753","(X)","(X)","22,961","(X)","(X)"
"        150 percent of poverty level","197,151","(X)","(X)","42,722","(X)","(X)","118,746","(X)","(X)","10,064","(X)","(X)","25,619","(X)","(X)"
"        185 percent of poverty level","262,648","(X)","(X)","54,167","(X)","(X)","158,966","(X)","(X)","14,317","(X)","(X)","35,198","(X)","(X)"
"        200 percent of poverty level","286,616","(X)","(X)","57,447","(X)","(X)","175,012","(X)","(X)","15,085","(X)","(X)","39,067","(X)","(X)"
"        300 percent of poverty level","483,524","(X)","(X)","88,457","(X)","(X)","301,372","(X)","(X)","27,268","(X)","(X)","66,422","(X)","(X)"
"        400 percent of poverty level","676,050","(X)","(X)","117,334","(X)","(X)","437,279","(X)","(X)","36,601","(X)","(X)","84,831","(X)","(X)"
"        500 percent of poverty level","859,137","(X)","(X)","142,507","(X)","(X)","560,618","(X)","(X)","44,173","(X)","(X)","111,834","(X)","(X)"
"UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED","251,283","54,538","21.7%","38,234","8,120","21.2%","167,946","36,790","21.9%","10,444","2,235","21.4%","34,646","7,393","21.3%"
"    Male","126,827","25,708","20.3%","19,296","4,405","22.8%","84,284","16,061","19.1%","4,514","837","18.5%","18,728","4,405","23.5%"
"    Female","124,456","28,830","23.2%","18,938","3,715","19.6%","83,662","20,729","24.8%","5,930","1,398","23.6%","15,918","2,988","18.8%"
"    15 years","838","838","100.0%","16","16","100.0%","348","348","100.0%","0","0","-","474","474","100.0%"
"    16 to 17 years","499","499","100.0%","13","13","100.0%","453","453","100.0%","0","0","-","33","33","100.0%"
"    18 to 24 years","19,832","7,621","38.4%","3,221","1,203","37.3%","14,646","5,354","36.6%","834","456","54.7%","1,131","608","53.8%"
"    25 to 34 years","50,265","7,671","15.3%","4,182","449","10.7%","37,123","5,865","15.8%","1,303","76","5.8%","7,657","1,281","16.7%"
"    35 to 44 years","37,300","6,873","18.4%","4,958","539","10.9%","23,757","4,875","20.5%","1,363","198","14.5%","7,217","1,261","17.5%"
"    45 to 54 years","30,861","6,357","20.6%","5,579","688","12.3%","19,496","4,012","20.6%","1,288","308","23.9%","4,498","1,349","30.0%"
"    55 to 64 years","37,305","9,290","24.9%","6,641","1,845","27.8%","23,020","5,994","26.0%","1,691","488","28.9%","5,945","963","16.2%"
"    65 to 74 years","42,385","8,710","20.5%","9,345","2,423","25.9%","25,658","5,145","20.1%","2,565","367","14.3%","4,817","775","16.1%"
"    75 years and over","31,998","6,679","20.9%","4,279","944","22.1%","23,445","4,744","20.2%","1,400","342","24.4%","2,874","649","22.6%"
"    Mean income deficit for unrelated individuals (dollars)","7,392","(X)","(X)","6,226","(X)","(X)","7,592","(X)","(X)","8,057","(X)","(X)","7,475","(X)","(X)"
"    Worked full-time, year-round in the past 12 months","116,025","3,046","2.6%","13,607","313","2.3%","81,636","2,030","2.5%","4,182","68","1.6%","16,592","635","3.8%"
"    Worked less than full-time, year-round in the past 12 months","48,420","13,865","28.6%","9,189","2,011","21.9%","28,118","8,740","31.1%","2,368","807","34.1%","8,740","2,307","26.4%"
"    Did not work","86,838","37,627","43.3%","15,438","5,796","37.5%","58,192","26,020","44.7%","3,894","1,360","34.9%","9,314","4,451","47.8%"
