TABLE 1:  Summary of Visitor Statistics: 2017 vs. 2016,,,,
,,,,
TOTAL EXPENDITURES ($mil.),2017,2016,(%) Change,
,,,,
TOTAL EXPENDITURES ($mil.)," 16,809.4 "," 15,911.2 ",5.6   ,
Visitor expenditure by air," 16,637.8 "," 15,753.5 ",5.6   ,
Visitor expenditure by cruise ships, 46.4 , 39.6 ,17.1   ,
Supplemental business (all MMAs), 125.1 , 118.1 ,5.9   ,
,,,,
,,,,
MMA (Air & Ship),2017,2016,(%) Change,
,,,,
TOTAL EXPENDITURES ($mil.),"16,684.2 ","15,793.1 ",5.6   ,
Visitor arrivals by air,"16,637.8 ","15,753.5 ",5.6   ,
U.S. West,"6,080.7 ","5,634.1 ",7.9   ,
U.S. East,"4,225.0 ","3,889.4 ",8.6   ,
Japan,"2,262.5 ","2,095.9 ",7.9   ,
Canada,"1,037.7 ",954.9 ,8.7   ,
Europe,329.8 ,353.4 ,-6.7   ,
Oceania,"1,027.4 ","1,070.4 ",-4.0   ,
Other Asia,930.3 ,"1,073.6 ",-13.3   ,
Latin America,73.2 ,56.5 ,29.5   ,
Other,671.2 ,625.1 ,7.4   ,
Visitor arrivals by cruise ships,46.4 ,39.6 ,17.1   ,
,,,,
TOTAL VISITOR DAYS,"84,065,784 ","80,225,407 ",4.8   ,
Visitor arrivals by air,"83,506,498 ","79,669,135 ",4.8   ,
U.S. West,"34,854,624 ","33,552,091 ",3.9   ,
U.S. East,"20,144,049 ","19,283,520 ",4.5   ,
Japan,"9,447,795 ","8,722,235 ",8.3   ,
Canada,"6,468,689 ","5,926,189 ",9.2   ,
Europe,"1,825,032 ","1,860,887 ",-1.9   ,
Oceania,"3,818,800 ","3,736,542 ",2.2   ,
Other Asia,"3,267,862 ","3,151,235 ",3.7   ,
Latin America,"280,363 ","302,638 ",-7.4   ,
Other,"3,399,285 ","3,133,799 ",8.5   ,
Visitor arrivals by cruise ships,"559,285 ","556,271 ",0.5   ,
,,,,
VISITOR ARRIVALS,"9,404,346 ","8,934,277 ",5.3   ,
Visitor arrivals by air,"9,277,613 ","8,821,802 ",5.2   ,
U.S. West,"3,843,780 ","3,664,150 ",4.9   ,
U.S. East,"1,998,788 ","1,892,768 ",5.6   ,
Japan,"1,587,781 ","1,487,979 ",6.7   ,
Canada,"520,062 ","469,314 ",10.8   ,
Europe,"139,771 ","143,922 ",-2.9   ,
Oceania,"395,362 ","390,364 ",1.3   ,
Other Asia,"440,319 ","448,414 ",-1.8   ,
Latin America,"24,998 ","26,075 ",-4.1   ,
Other,"326,751 ","298,817 ",9.3   ,
Visitor arrivals by cruise ships,"126,733 ","112,475 ",12.7   ,
,,,,
AVERAGE LENGTH OF STAY (days),8.94 ,8.98 ,-0.5   ,
Visitor arrivals of stay by air,9.00 ,9.03 ,-0.3   ,
U.S. West,9.07 ,9.16 ,-1.0   ,
U.S. East,10.08 ,10.19 ,-1.1   ,
Japan,5.95 ,5.86 ,1.5   ,
Canada,12.44 ,12.63 ,-1.5   ,
Europe,13.06 ,12.93 ,1.0   ,
Oceania,9.66 ,9.57 ,0.9   ,
Other Asia,7.42 ,7.03 ,5.6   ,
Latin America,11.22 ,11.61 ,-3.4   ,
Other,10.40 ,10.49 ,-0.8   ,
Visitor arrivals of stay by cruise ships,4.41 ,4.95 ,-10.8   ,
,,,,
PER PERSON PER DAY SPENDING ($),198.5 ,196.9 ,0.8   ,
Visitor arrivals by air,199.2 ,197.7 ,0.8   ,
U.S. West,174.5 ,167.9 ,3.9   ,
U.S. East,209.7 ,201.7 ,4.0   ,
Japan,239.5 ,240.3 ,-0.3   ,
Canada,160.4 ,161.1 ,-0.4   ,
Europe,180.7 ,189.9 ,-4.8   ,
Oceania,269.0 ,286.5 ,-6.1   ,
Other Asia,284.7 ,340.7 ,-16.4   ,
Latin America,261.0 ,186.7 ,39.8   ,
Other,197.4 ,199.5 ,-1.0   ,
Visitor arrivals by cruise ships,83.0 ,71.2 ,16.5   ,
,,,,
PER PERSON PER TRIP SPENDING ($),"1,774.1 ","1,767.7 ",0.4   ,
Visitor arrivals by air,"1,793.3 ","1,785.7 ",0.4   ,
U.S. West,"1,582.0 ","1,537.6 ",2.9   ,
U.S. East,"2,113.8 ","2,054.9 ",2.9   ,
Japan,"1,424.9 ","1,408.6 ",1.2   ,
Canada,"1,995.4 ","2,034.7 ",-1.9   ,
Europe,"2,359.7 ","2,455.6 ",-3.9   ,
Oceania,"2,598.7 ","2,742.0 ",-5.2   ,
Other Asia,"2,112.9 ","2,394.2 ",-11.8   ,
Latin America,"2,927.6 ","2,167.1 ",35.1   ,
Other,"2,054.1 ","2,092.1 ",-1.8   ,
Visitor arrivals by cruise ships,366.1 ,352.4 ,3.9   ,
,,,,
,,,,
ISLAND (Air & Ship),2017,2016,(%) Change,
,,,,
"TOTAL EXPENDITURES ($mil, AIR + SHIP)","16,684.2 ","15,793.1 ",5.6   ,
Total by air,"16,637.8 ","15,753.5 ",5.6   ,
     O'ahu,"7,611.6 ","7,340.3 ",3.7   ,
     Maui,"4,679.2 ","4,523.4 ",3.4   ,
     Moloka'i,34.6 ,32.9 ,5.2   ,
     Lāna'i,105.8 ,91.7 ,15.4   ,
     Kaua'i,"1,812.8 ","1,671.4 ",8.5   ,
     Hawai'i Island,"2,393.9 ","2,093.8 ",14.3   ,
