Summary of Visitor Statistics: 2019 vs. 2018,,,,,,,,,,
,,,,,,,,,,
TOTAL EXPENDITURES ($mil.),2019,2018,(%) Change,,,,,,,
,,,,,,,,,,
TOTAL EXPENDITURES ($mil.)," 17,844.3 "," 17,642.5 ",1.1   ,,,,,,,
Visitor expenditure by air," 17,657.7 "," 17,464.4 ",1.1   ,,,,,,,
Visitor expenditure by cruise ships, 58.4 , 45.3 ,28.9   ,,,,,,,
Supplemental business (all MMAs), 128.2 , 132.8 ,-3.5   ,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
MMA (Air & Ship),2019,2018,(%) Change,,,,,,,
,,,,,,,,,,
TOTAL EXPENDITURES ($mil.),"17,716.1 ","17,509.7 ",1.2   ,,,,,,,
Visitor arrivals by air,"17,657.7 ","17,464.4 ",1.1   ,,,,,,,
U.S. West,"6,952.0 ","6,588.4 ",5.5   ,,,,,,,
U.S. East,"4,684.2 ","4,529.9 ",3.4   ,,,,,,,
Japan,"2,248.3 ","2,144.7 ",4.8   ,,,,,,,
Canada,"1,081.5 ","1,108.5 ",-2.4   ,,,,,,,
Europe,268.1 ,326.3 ,-17.8   ,,,,,,,
Oceania,895.1 ,"1,045.2 ",-14.4   ,,,,,,,
Other Asia,816.7 ,899.7 ,-9.2   ,,,,,,,
Latin America,64.7 ,71.2 ,-9.1   ,,,,,,,
Other,647.1 ,750.3 ,-13.8   ,,,,,,,
Visitor arrivals by cruise ships,58.4 ,45.3 ,28.9   ,,,,,,,
,,,,,,,,,,
TOTAL VISITOR DAYS,"90,360,946 ","88,284,715 ",2.4   ,,,,,,,
Visitor arrivals by air,"89,692,422 ","87,724,599 ",2.2   ,,,,,,,
U.S. West,"39,752,689 ","37,477,016 ",6.1   ,,,,,,,
U.S. East,"22,034,119 ","21,553,568 ",2.2   ,,,,,,,
Japan,"9,306,767 ","8,892,748 ",4.7   ,,,,,,,
Canada,"6,554,493 ","6,743,492 ",-2.8   ,,,,,,,
Europe,"1,780,190 ","1,902,379 ",-6.4   ,,,,,,,
Oceania,"3,420,593 ","4,014,147 ",-14.8   ,,,,,,,
Other Asia,"2,781,593 ","2,910,193 ",-4.4   ,,,,,,,
Latin America,"276,859 ","295,854 ",-6.4   ,,,,,,,
Other,"3,785,120 ","3,935,203 ",-3.8   ,,,,,,,
Visitor arrivals by cruise ships,"668,524 ","560,115 ",19.4   ,,,,,,,
,,,,,,,,,,
VISITOR ARRIVALS,"10,386,673 ","9,888,845 ",5.0   ,,,,,,,
