"Label (Grouping)","Hawaii!!Total!!Estimate","Hawaii!!Labor Force Participation Rate!!Estimate","Hawaii!!Employment/Population Ratio!!Estimate","Hawaii!!Unemployment rate!!Estimate","Hawaii County, Hawaii!!Total!!Estimate","Hawaii County, Hawaii!!Labor Force Participation Rate!!Estimate","Hawaii County, Hawaii!!Employment/Population Ratio!!Estimate","Hawaii County, Hawaii!!Unemployment rate!!Estimate","Honolulu County, Hawaii!!Total!!Estimate","Honolulu County, Hawaii!!Labor Force Participation Rate!!Estimate","Honolulu County, Hawaii!!Employment/Population Ratio!!Estimate","Honolulu County, Hawaii!!Unemployment rate!!Estimate","Kauai County, Hawaii!!Total!!Estimate","Kauai County, Hawaii!!Labor Force Participation Rate!!Estimate","Kauai County, Hawaii!!Employment/Population Ratio!!Estimate","Kauai County, Hawaii!!Unemployment rate!!Estimate","Maui County, Hawaii!!Total!!Estimate","Maui County, Hawaii!!Labor Force Participation Rate!!Estimate","Maui County, Hawaii!!Employment/Population Ratio!!Estimate","Maui County, Hawaii!!Unemployment rate!!Estimate"
"Population 16 years and over","1,147,569","64.9%","58.5%","3.9%","162,869","59.2%","55.7%","5.7%","792,049","66.0%","58.0%","3.6%","57,918","63.9%","61.9%","2.6%","134,718","66.4%","63.7%","3.7%"
"    AGE","","","","","","","","","","","","","","","","","","","",""
"        16 to 19 years","61,801","41.5%","28.2%","27.7%","8,561","29.3%","19.4%","33.9%","43,790","41.4%","26.7%","29.6%","2,969","48.3%","41.7%","13.8%","6,481","55.1%","44.2%","19.8%"
"        20 to 24 years","89,100","80.8%","59.2%","5.3%","10,436","81.2%","69.3%","13.8%","67,553","81.0%","54.8%","4.3%","3,494","80.7%","80.7%","0.0%","7,617","78.6%","74.7%","2.0%"
"        25 to 29 years","100,380","83.3%","71.0%","3.0%","10,821","78.5%","75.0%","3.4%","75,904","85.0%","70.1%","2.4%","4,004","75.2%","71.0%","2.9%","9,651","78.8%","73.7%","6.5%"
"        30 to 34 years","95,401","83.3%","72.7%","3.9%","10,301","75.9%","71.9%","5.2%","70,478","83.7%","70.7%","3.9%","4,031","81.5%","78.6%","3.6%","10,591","88.9%","84.4%","3.1%"
"        35 to 44 years","185,133","85.4%","78.2%","3.1%","25,683","83.6%","81.9%","2.0%","125,615","85.7%","76.1%","3.5%","9,940","83.7%","81.8%","1.5%","23,890","86.7%","83.8%","3.1%"
"        45 to 54 years","168,179","83.9%","80.2%","2.8%","23,432","78.2%","73.1%","6.5%","115,080","84.3%","80.7%","1.9%","8,598","88.2%","86.8%","1.6%","21,069","86.1%","82.6%","4.0%"
"        55 to 59 years","87,409","75.3%","73.7%","2.0%","11,640","79.3%","77.2%","2.7%","58,486","73.6%","72.0%","1.9%","3,803","86.2%","84.0%","2.7%","13,472","76.3%","75.1%","1.6%"
"        60 to 64 years","90,696","64.7%","63.6%","1.7%","17,970","52.7%","50.4%","4.3%","57,287","68.1%","67.4%","1.0%","5,812","65.0%","63.7%","1.9%","9,627","67.0%","66.0%","1.6%"
"        65 to 74 years","153,238","33.0%","32.2%","2.4%","27,945","31.9%","30.6%","3.9%","96,296","33.5%","32.9%","2.0%","9,058","32.8%","30.9%","5.8%","19,939","32.0%","31.9%","0.4%"
"        75 years and over","116,232","8.8%","8.4%","4.3%","16,080","10.4%","9.4%","9.7%","81,560","8.7%","8.4%","3.8%","6,209","8.4%","8.4%","0.0%","12,381","7.5%","7.5%","0.0%"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","",""
"        White alone","293,823","64.9%","53.4%","3.8%","59,560","54.7%","51.8%","4.8%","165,142","69.6%","51.4%","3.4%","19,351","66.6%","64.3%","2.8%","49,765","60.8%","57.7%","4.1%"
"        Black or African American alone","22,001","77.5%","37.3%","6.5%","N","N","N","N","20,436","78.5%","35.5%","6.3%","N","N","N","N","N","N","N","N"
"        American Indian and Alaska Native alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Asian alone","480,538","63.7%","61.2%","2.8%","41,568","65.9%","64.2%","2.5%","375,758","62.9%","60.1%","3.1%","19,884","62.1%","60.6%","2.4%","43,326","68.8%","68.0%","1.1%"
"        Native Hawaiian and Other Pacific Islander alone","116,696","60.4%","55.8%","7.0%","18,578","57.0%","52.2%","8.4%","78,191","61.2%","56.7%","6.5%","N","N","N","N","14,054","62.0%","55.7%","10.2%"
"        Some other race alone","19,965","81.0%","57.7%","5.1%","N","N","N","N","13,430","81.9%","47.5%","8.8%","N","N","N","N","N","N","N","N"
"        Two or more races","209,793","67.5%","63.3%","4.5%","38,559","58.4%","52.5%","10.1%","136,727","69.2%","65.3%","3.2%","N","N","N","N","22,761","74.6%","70.5%","4.9%"
"        Hispanic or Latino origin (of any race)","100,291","70.7%","58.9%","4.5%","16,919","66.3%","64.0%","3.4%","65,019","72.8%","55.9%","5.2%","N","N","N","N","N","N","N","N"
