"Label (Grouping)","Hawaii!!Total!!Estimate","Hawaii!!Labor Force Participation Rate!!Estimate","Hawaii!!Employment/Population Ratio!!Estimate","Hawaii!!Unemployment rate!!Estimate","Hawaii County, Hawaii!!Total!!Estimate","Hawaii County, Hawaii!!Labor Force Participation Rate!!Estimate","Hawaii County, Hawaii!!Employment/Population Ratio!!Estimate","Hawaii County, Hawaii!!Unemployment rate!!Estimate","Honolulu County, Hawaii!!Total!!Estimate","Honolulu County, Hawaii!!Labor Force Participation Rate!!Estimate","Honolulu County, Hawaii!!Employment/Population Ratio!!Estimate","Honolulu County, Hawaii!!Unemployment rate!!Estimate","Kauai County, Hawaii!!Total!!Estimate","Kauai County, Hawaii!!Labor Force Participation Rate!!Estimate","Kauai County, Hawaii!!Employment/Population Ratio!!Estimate","Kauai County, Hawaii!!Unemployment rate!!Estimate","Maui County, Hawaii!!Total!!Estimate","Maui County, Hawaii!!Labor Force Participation Rate!!Estimate","Maui County, Hawaii!!Employment/Population Ratio!!Estimate","Maui County, Hawaii!!Unemployment rate!!Estimate"
"Population 16 years and over","1,175,667","63.5%","57.4%","3.6%","167,882","55.7%","53.2%","3.7%","813,221","65.1%","57.4%","3.6%","60,191","60.6%","58.0%","3.6%","134,305","64.5%","62.1%","3.4%"
"    AGE","","","","","","","","","","","","","","","","","","","",""
"        16 to 19 years","62,477","38.6%","31.6%","12.3%","8,088","32.5%","24.1%","25.7%","43,122","39.3%","31.4%","11.8%","4,255","47.2%","41.6%","11.9%","7,012","35.8%","35.2%","1.8%"
"        20 to 24 years","89,347","80.7%","60.0%","6.6%","10,341","81.3%","78.8%","3.2%","68,314","79.9%","54.3%","7.0%","3,067","92.6%","90.8%","1.9%","7,625","81.9%","73.0%","10.7%"
"        25 to 29 years","90,908","83.7%","69.9%","4.5%","10,671","73.3%","61.7%","15.8%","68,452","85.9%","70.1%","2.8%","3,448","64.8%","60.6%","0.0%","8,291","86.6%","81.8%","5.5%"
"        30 to 34 years","99,183","85.3%","74.8%","3.1%","12,269","77.3%","76.8%","0.7%","72,252","86.4%","72.5%","3.9%","4,250","92.8%","91.4%","0.0%","10,396","84.0%","81.6%","2.1%"
"        35 to 44 years","192,131","83.7%","76.3%","3.3%","26,270","77.9%","72.9%","3.4%","132,732","84.2%","75.5%","3.0%","9,972","82.5%","74.4%","9.8%","23,157","88.4%","85.6%","2.1%"
"        45 to 54 years","170,144","84.2%","80.4%","2.6%","24,620","78.6%","77.6%","1.2%","115,810","84.8%","79.9%","3.1%","8,678","83.0%","80.7%","2.1%","21,036","88.1%","86.5%","1.8%"
"        55 to 59 years","85,230","73.4%","70.6%","3.6%","12,536","60.5%","59.7%","1.3%","57,122","75.4%","72.3%","3.7%","4,772","74.7%","74.7%","0.0%","10,800","77.5%","72.4%","6.6%"
"        60 to 64 years","91,593","64.3%","62.9%","2.1%","15,011","55.8%","55.7%","0.2%","60,103","68.2%","66.4%","2.6%","5,081","48.3%","47.3%","2.2%","11,398","62.2%","61.0%","1.8%"
"        65 to 74 years","163,041","31.6%","31.0%","2.0%","29,714","25.3%","24.9%","1.7%","102,258","33.7%","32.9%","2.1%","9,535","32.6%","32.6%","0.0%","21,534","29.9%","29.3%","2.3%"
"        75 years and over","131,613","9.2%","9.0%","2.8%","18,362","9.8%","9.5%","3.1%","93,056","9.0%","8.8%","2.3%","7,133","12.1%","12.1%","0.0%","13,056","8.4%","7.7%","8.5%"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","",""
"        White alone","280,930","61.9%","51.3%","3.3%","57,573","47.2%","46.3%","2.0%","158,766","68.4%","50.9%","3.7%","19,469","58.9%","57.0%","3.3%","45,116","58.8%","56.2%","3.5%"
"        Black or African American alone","22,893","76.9%","41.7%","7.1%","N","N","N","N","19,128","76.7%","38.4%","8.6%","N","N","N","N","N","N","N","N"
"        American Indian and Alaska Native alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Asian alone","451,423","60.6%","58.4%","2.4%","33,503","55.6%","54.4%","2.1%","363,707","61.2%","58.8%","2.4%","18,399","56.8%","53.2%","4.7%","35,798","61.0%","60.3%","1.1%"
"        Native Hawaiian and Other Pacific Islander alone","110,576","60.5%","54.4%","7.8%","20,230","61.2%","57.8%","5.6%","72,705","60.1%","53.2%","7.8%","N","N","N","N","11,916","66.5%","60.2%","9.4%"
"        Some other race alone","22,914","67.9%","53.1%","5.3%","N","N","N","N","13,978","70.1%","48.2%","5.4%","N","N","N","N","N","N","N","N"
"        Two or more races","283,540","69.4%","64.7%","3.9%","49,647","61.2%","57.9%","5.3%","183,293","70.4%","64.5%","3.9%","14,075","70.2%","70.0%","0.3%","36,479","75.1%","72.5%","3.5%"
"        Hispanic or Latino origin (of any race)","106,486","71.2%","60.3%","4.1%","18,073","64.0%","58.3%","8.8%","69,552","72.3%","57.4%","3.7%","N","N","N","N","13,261","74.8%","74.3%","0.6%"
"        White alone, not Hispanic or Latino","264,402","61.2%","50.9%","3.3%","55,816","46.7%","45.8%","1.9%","146,800","68.1%","51.0%","3.7%","18,944","58.5%","56.5%","3.4%","42,836","57.7%","55.0%","3.8%"
"Population 20 to 64 years","818,536","80.4%","72.4%","3.5%","111,718","72.9%","70.0%","3.2%","574,785","81.7%","71.6%","3.5%","39,268","77.6%","74.2%","3.5%","92,703","82.6%","79.4%","3.5%"
"    SEX","","","","","","","","","","","","","","","","","","","",""
"        Male","422,342","84.0%","71.8%","3.9%","55,142","75.8%","72.1%","3.4%","300,173","85.6%","70.2%","3.8%","19,861","79.5%","73.4%","6.1%","47,104","85.1%","80.8%","4.2%"
"        Female","396,194","76.7%","73.0%","3.0%","56,576","70.2%","68.1%","3.0%","274,612","77.5%","73.1%","3.2%","19,407","75.6%","75.0%","0.8%","45,599","80.1%","78.0%","2.7%"
"            With own children under 18 years","129,802","77.8%","73.6%","3.4%","18,499","78.5%","75.0%","4.5%","91,424","76.7%","72.0%","3.3%","N","N","N","N","14,622","81.4%","78.3%","3.8%"
"                With own children under 6 years only","27,445","73.4%","67.3%","4.5%","3,020","87.5%","77.7%","11.2%","20,022","69.7%","63.4%","3.4%","N","N","N","N","3,795","80.0%","76.9%","4.0%"
"                With own children under 6 years and 6 to 17  years","25,782","68.4%","63.0%","5.0%","3,087","46.7%","42.0%","10.2%","18,297","70.5%","64.4%","4.8%","N","N","N","N","2,990","69.7%","66.0%","5.2%"
"                With own children 6 to 17 years only","76,575","82.6%","79.5%","2.7%","12,392","84.2%","82.5%","2.0%","53,105","81.4%","77.8%","2.9%","N","N","N","N","7,837","86.6%","83.7%","3.4%"
"    POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","",""
"        Below poverty level","77,069","41.5%","32.8%","19.6%","16,149","30.8%","27.7%","10.1%","51,409","43.8%","33.0%","22.7%","2,671","52.0%","41.7%","19.7%","6,840","45.2%","39.4%","12.9%"
"        At or above the poverty level","721,358","84.7%","78.3%","2.6%","94,809","80.4%","77.6%","2.8%","505,360","85.5%","77.6%","2.5%","36,344","80.0%","77.1%","2.7%","84,783","86.7%","83.7%","3.1%"
"    DISABILITY STATUS","","","","","","","","","","","","","","","","","","","",""
"        With any disability","79,138","51.4%","44.4%","8.8%","17,411","50.0%","42.2%","9.1%","50,987","54.3%","47.2%","8.0%","4,057","27.9%","25.3%","4.9%","6,667","47.0%","39.5%","16.0%"
"EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","",""
"    Population 25 to 64 years","729,189","80.4%","73.9%","3.1%","101,377","72.1%","69.2%","3.2%","506,471","82.0%","73.9%","3.2%","36,201","76.3%","72.8%","3.7%","85,078","82.7%","80.0%","2.9%"
"        Less than high school graduate","42,936","60.2%","55.1%","8.0%","7,033","55.5%","48.3%","12.8%","28,802","60.8%","56.7%","6.0%","2,103","45.6%","45.6%","0.0%","4,998","69.8%","59.2%","15.2%"
"        High school graduate (includes equivalency)","191,991","74.9%","68.9%","4.7%","29,461","59.1%","55.6%","5.9%","125,131","77.5%","70.4%","4.3%","10,725","76.9%","70.6%","8.2%","26,658","79.4%","76.2%","4.0%"
"        Some college or associate's degree","229,373","81.7%","74.2%","2.8%","32,793","78.8%","75.8%","1.3%","154,211","82.1%","72.2%","3.4%","13,397","77.7%","75.0%","2.4%","28,937","84.7%","82.4%","1.8%"
"        Bachelor's degree or higher","264,889","86.6%","80.3%","1.8%","32,090","80.9%","79.4%","1.9%","198,327","87.8%","80.0%","2.0%","9,976","80.3%","78.0%","1.1%","24,485","86.5%","85.4%","0.9%"
