"Label (Grouping)","Puerto Rico!!Total!!Estimate","Puerto Rico!!Below poverty level!!Estimate","Puerto Rico!!Percent below poverty level!!Estimate","Arecibo Municipio, Puerto Rico!!Total!!Estimate","Arecibo Municipio, Puerto Rico!!Below poverty level!!Estimate","Arecibo Municipio, Puerto Rico!!Percent below poverty level!!Estimate","Bayamón Municipio, Puerto Rico!!Total!!Estimate","Bayamón Municipio, Puerto Rico!!Below poverty level!!Estimate","Bayamón Municipio, Puerto Rico!!Percent below poverty level!!Estimate","Caguas Municipio, Puerto Rico!!Total!!Estimate","Caguas Municipio, Puerto Rico!!Below poverty level!!Estimate","Caguas Municipio, Puerto Rico!!Percent below poverty level!!Estimate","Carolina Municipio, Puerto Rico!!Total!!Estimate","Carolina Municipio, Puerto Rico!!Below poverty level!!Estimate","Carolina Municipio, Puerto Rico!!Percent below poverty level!!Estimate","Guaynabo Municipio, Puerto Rico!!Total!!Estimate","Guaynabo Municipio, Puerto Rico!!Below poverty level!!Estimate","Guaynabo Municipio, Puerto Rico!!Percent below poverty level!!Estimate","Mayagüez Municipio, Puerto Rico!!Total!!Estimate","Mayagüez Municipio, Puerto Rico!!Below poverty level!!Estimate","Mayagüez Municipio, Puerto Rico!!Percent below poverty level!!Estimate","Ponce Municipio, Puerto Rico!!Total!!Estimate","Ponce Municipio, Puerto Rico!!Below poverty level!!Estimate","Ponce Municipio, Puerto Rico!!Percent below poverty level!!Estimate","San Juan Municipio, Puerto Rico!!Total!!Estimate","San Juan Municipio, Puerto Rico!!Below poverty level!!Estimate","San Juan Municipio, Puerto Rico!!Percent below poverty level!!Estimate","Toa Alta Municipio, Puerto Rico!!Total!!Estimate","Toa Alta Municipio, Puerto Rico!!Below poverty level!!Estimate","Toa Alta Municipio, Puerto Rico!!Percent below poverty level!!Estimate","Toa Baja Municipio, Puerto Rico!!Total!!Estimate","Toa Baja Municipio, Puerto Rico!!Below poverty level!!Estimate","Toa Baja Municipio, Puerto Rico!!Percent below poverty level!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Total!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Below poverty level!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Percent below poverty level!!Estimate"
"Population for whom poverty status is determined","3,177,647","1,257,607","39.6%","84,091","29,369","34.9%","176,811","57,832","32.7%","124,229","43,972","35.4%","150,444","37,347","24.8%","87,718","18,651","21.3%","68,412","36,867","53.9%","126,411","63,660","50.4%","329,138","126,879","38.5%","65,442","23,609","36.1%","71,710","21,349","29.8%","66,365","14,952","22.5%"
"    AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Under 18 years","495,260","269,146","54.3%","13,211","5,680","43.0%","26,893","13,202","49.1%","19,031","10,034","52.7%","22,534","9,079","40.3%","11,802","3,011","25.5%","10,611","7,915","74.6%","21,642","14,430","66.7%","49,105","28,599","58.2%","10,240","5,031","49.1%","11,097","4,602","41.5%","10,095","2,604","25.8%"
"            Under 5 years","93,771","54,274","57.9%","2,485","790","31.8%","5,660","3,195","56.4%","3,728","2,445","65.6%","4,555","2,376","52.2%","2,575","387","15.0%","1,966","911","46.3%","4,172","3,383","81.1%","10,378","6,923","66.7%","1,695","1,162","68.6%","2,078","1,245","59.9%","1,622","243","15.0%"
"            5 to 17 years","401,489","214,872","53.5%","10,726","4,890","45.6%","21,233","10,007","47.1%","15,303","7,589","49.6%","17,979","6,703","37.3%","9,227","2,624","28.4%","8,645","7,004","81.0%","17,470","11,047","63.2%","38,727","21,676","56.0%","8,545","3,869","45.3%","9,019","3,357","37.2%","8,473","2,361","27.9%"
"            Related children of householder under 18 years","493,232","267,163","54.2%","13,065","5,534","42.4%","26,893","13,202","49.1%","19,031","10,034","52.7%","22,477","9,067","40.3%","11,402","2,611","22.9%","10,235","7,539","73.7%","21,642","14,430","66.7%","49,105","28,599","58.2%","10,240","5,031","49.1%","11,062","4,567","41.3%","10,095","2,604","25.8%"
"        18 to 64 years","1,918,544","687,238","35.8%","50,603","15,423","30.5%","105,218","30,269","28.8%","76,638","24,421","31.9%","90,155","19,014","21.1%","52,655","8,745","16.6%","39,246","22,005","56.1%","71,434","34,908","48.9%","193,512","69,136","35.7%","43,497","14,284","32.8%","44,296","11,048","24.9%","41,288","7,397","17.9%"
"            18 to 34 years","699,502","263,779","37.7%","19,086","5,759","30.2%","41,675","12,658","30.4%","28,388","9,596","33.8%","34,301","8,204","23.9%","19,134","2,934","15.3%","18,469","11,843","64.1%","28,176","16,092","57.1%","72,816","30,033","41.2%","15,445","5,398","34.9%","16,712","4,486","26.8%","14,030","2,047","14.6%"
"            35 to 64 years","1,219,042","423,459","34.7%","31,517","9,664","30.7%","63,543","17,611","27.7%","48,250","14,825","30.7%","55,854","10,810","19.4%","33,521","5,811","17.3%","20,777","10,162","48.9%","43,258","18,816","43.5%","120,696","39,103","32.4%","28,052","8,886","31.7%","27,584","6,562","23.8%","27,258","5,350","19.6%"
"        60 years and over","984,963","384,742","39.1%","25,632","9,756","38.1%","56,108","17,583","31.3%","36,790","12,524","34.0%","48,237","11,848","24.6%","29,898","8,087","27.0%","22,263","8,963","40.3%","41,492","18,163","43.8%","110,378","37,328","33.8%","16,416","6,331","38.6%","20,215","6,443","31.9%","19,769","5,746","29.1%"
"        65 years and over","763,843","301,223","39.4%","20,277","8,266","40.8%","44,700","14,361","32.1%","28,560","9,517","33.3%","37,755","9,254","24.5%","23,261","6,895","29.6%","18,555","6,947","37.4%","33,335","14,322","43.0%","86,521","29,144","33.7%","11,705","4,294","36.7%","16,317","5,699","34.9%","14,982","4,951","33.0%"
"    SEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Male","1,499,998","558,822","37.3%","38,942","12,900","33.1%","80,833","22,892","28.3%","56,845","18,150","31.9%","68,853","15,945","23.2%","40,735","8,079","19.8%","32,672","17,421","53.3%","58,706","28,145","47.9%","150,121","55,281","36.8%","30,685","10,280","33.5%","33,155","8,424","25.4%","31,306","6,378","20.4%"
"        Female","1,677,649","698,785","41.7%","45,149","16,469","36.5%","95,978","34,940","36.4%","67,384","25,822","38.3%","81,591","21,402","26.2%","46,983","10,572","22.5%","35,740","19,446","54.4%","67,705","35,515","52.5%","179,017","71,598","40.0%","34,757","13,329","38.3%","38,555","12,925","33.5%","35,059","8,574","24.5%"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        White alone","754,253","299,482","39.7%","12,211","3,720","30.5%","18,461","6,409","34.7%","32,309","12,466","38.6%","19,352","6,737","34.8%","18,256","2,444","13.4%","7,860","3,375","42.9%","29,924","14,674","49.0%","61,706","16,093","26.1%","3,890","1,721","44.2%","6,066","1,626","26.8%","6,527","864","13.2%"
"        Black or African American alone","169,229","57,456","34.0%","N","N","N","5,410","1,799","33.3%","9,314","2,807","30.1%","20,480","4,079","19.9%","N","N","N","N","N","N","5,017","2,662","53.1%","27,539","10,728","39.0%","N","N","N","N","N","N","N","N","N"
"        American Indian and Alaska Native alone","7,282","3,068","42.1%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Asian alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Native Hawaiian and Other Pacific Islander alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Some other race alone","1,016,955","415,653","40.9%","17,695","5,563","31.4%","92,312","32,935","35.7%","32,972","9,897","30.0%","45,758","15,503","33.9%","45,392","11,864","26.1%","48,365","28,794","59.5%","17,221","7,641","44.4%","88,773","45,639","51.4%","12,109","3,720","30.7%","38,598","12,431","32.2%","12,981","3,148","24.3%"
"        Two or more races","1,225,022","479,732","39.2%","53,125","19,735","37.1%","59,665","16,330","27.4%","48,925","18,558","37.9%","63,954","10,965","17.1%","20,984","3,312","15.8%","9,574","3,370","35.2%","74,067","38,683","52.2%","148,677","52,968","35.6%","47,272","17,386","36.8%","24,086","6,830","28.4%","40,861","9,024","22.1%"
"        Hispanic or Latino origin (of any race)","3,146,397","1,248,150","39.7%","83,190","28,735","34.5%","175,050","57,187","32.7%","122,913","43,382","35.3%","148,950","36,971","24.8%","85,132","18,651","21.9%","67,287","36,275","53.9%","125,395","63,418","50.6%","323,038","124,663","38.6%","65,186","23,609","36.2%","71,216","21,349","30.0%","66,001","14,952","22.7%"
"        White alone, not Hispanic or Latino","19,065","4,925","25.8%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"    EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Population 25 years and over","2,385,170","871,446","36.5%","63,428","20,676","32.6%","133,923","39,718","29.7%","94,102","29,461","31.3%","114,710","24,842","21.7%","68,866","14,618","21.2%","47,379","20,772","43.8%","93,293","43,368","46.5%","251,206","84,559","33.7%","48,995","16,291","33.3%","54,082","14,750","27.3%","49,453","11,653","23.6%"
"            Less than high school graduate","425,170","262,423","61.7%","10,611","6,113","57.6%","17,733","9,604","54.2%","14,627","7,462","51.0%","13,401","5,822","43.4%","8,144","4,326","53.1%","10,128","6,374","62.9%","13,445","9,010","67.0%","29,774","17,933","60.2%","7,945","5,027","63.3%","7,514","4,532","60.3%","4,685","3,216","68.6%"
"            High school graduate (includes equivalency)","643,758","291,109","45.2%","16,193","6,227","38.5%","29,784","11,020","37.0%","24,641","10,828","43.9%","29,410","7,748","26.3%","12,734","4,862","38.2%","14,647","6,945","47.4%","26,473","16,578","62.6%","49,545","28,129","56.8%","11,350","4,012","35.3%","15,924","4,379","27.5%","7,292","2,704","37.1%"
"            Some college, associate's degree","576,453","205,935","35.7%","15,554","5,502","35.4%","38,592","12,815","33.2%","21,445","6,135","28.6%","30,496","7,010","23.0%","11,712","2,442","20.9%","9,658","3,940","40.8%","23,106","10,986","47.5%","63,881","22,690","35.5%","14,172","4,919","34.7%","14,657","4,274","29.2%","16,010","3,471","21.7%"
"            Bachelor's degree or higher","739,789","111,979","15.1%","21,070","2,834","13.5%","47,814","6,279","13.1%","33,389","5,036","15.1%","41,403","4,262","10.3%","36,276","2,988","8.2%","12,946","3,513","27.1%","30,269","6,794","22.4%","108,006","15,807","14.6%","15,528","2,333","15.0%","15,987","1,565","9.8%","21,466","2,262","10.5%"
"    EMPLOYMENT STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Civilian labor force 16 years and over","1,304,789","319,534","24.5%","32,185","6,208","19.3%","76,419","12,443","16.3%","54,627","11,165","20.4%","68,570","9,742","14.2%","41,098","3,581","8.7%","25,713","11,158","43.4%","47,675","18,336","38.5%","146,619","34,893","23.8%","31,331","6,703","21.4%","34,321","6,083","17.7%","35,055","4,129","11.8%"
"            Employed","1,185,205","242,813","20.5%","28,302","3,749","13.2%","71,539","9,782","13.7%","49,993","8,602","17.2%","62,997","7,108","11.3%","39,198","2,854","7.3%","20,599","6,755","32.8%","39,474","11,942","30.3%","133,234","25,995","19.5%","29,749","5,745","19.3%","32,546","5,042","15.5%","32,565","2,811","8.6%"
