"Label (Grouping)","Puerto Rico!!Total!!Estimate","Puerto Rico!!Below poverty level!!Estimate","Puerto Rico!!Percent below poverty level!!Estimate","Arecibo Municipio, Puerto Rico!!Total!!Estimate","Arecibo Municipio, Puerto Rico!!Below poverty level!!Estimate","Arecibo Municipio, Puerto Rico!!Percent below poverty level!!Estimate","Bayamón Municipio, Puerto Rico!!Total!!Estimate","Bayamón Municipio, Puerto Rico!!Below poverty level!!Estimate","Bayamón Municipio, Puerto Rico!!Percent below poverty level!!Estimate","Caguas Municipio, Puerto Rico!!Total!!Estimate","Caguas Municipio, Puerto Rico!!Below poverty level!!Estimate","Caguas Municipio, Puerto Rico!!Percent below poverty level!!Estimate","Carolina Municipio, Puerto Rico!!Total!!Estimate","Carolina Municipio, Puerto Rico!!Below poverty level!!Estimate","Carolina Municipio, Puerto Rico!!Percent below poverty level!!Estimate","Guaynabo Municipio, Puerto Rico!!Total!!Estimate","Guaynabo Municipio, Puerto Rico!!Below poverty level!!Estimate","Guaynabo Municipio, Puerto Rico!!Percent below poverty level!!Estimate","Mayagüez Municipio, Puerto Rico!!Total!!Estimate","Mayagüez Municipio, Puerto Rico!!Below poverty level!!Estimate","Mayagüez Municipio, Puerto Rico!!Percent below poverty level!!Estimate","Ponce Municipio, Puerto Rico!!Total!!Estimate","Ponce Municipio, Puerto Rico!!Below poverty level!!Estimate","Ponce Municipio, Puerto Rico!!Percent below poverty level!!Estimate","San Juan Municipio, Puerto Rico!!Total!!Estimate","San Juan Municipio, Puerto Rico!!Below poverty level!!Estimate","San Juan Municipio, Puerto Rico!!Percent below poverty level!!Estimate","Toa Alta Municipio, Puerto Rico!!Total!!Estimate","Toa Alta Municipio, Puerto Rico!!Below poverty level!!Estimate","Toa Alta Municipio, Puerto Rico!!Percent below poverty level!!Estimate","Toa Baja Municipio, Puerto Rico!!Total!!Estimate","Toa Baja Municipio, Puerto Rico!!Below poverty level!!Estimate","Toa Baja Municipio, Puerto Rico!!Percent below poverty level!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Total!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Below poverty level!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Percent below poverty level!!Estimate"
"Population for whom poverty status is determined","3,195,054","1,333,111","41.7%","84,098","30,988","36.8%","176,581","69,096","39.1%","124,646","49,785","39.9%","151,185","46,413","30.7%","88,772","25,879","29.2%","69,274","35,272","50.9%","128,156","68,118","53.2%","330,936","126,728","38.3%","65,885","18,491","28.1%","72,613","24,484","33.7%","66,604","20,202","30.3%"
"    AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Under 18 years","515,527","297,133","57.6%","13,442","7,201","53.6%","27,514","15,854","57.6%","19,655","10,082","51.3%","23,381","12,577","53.8%","12,242","4,232","34.6%","10,853","7,792","71.8%","22,543","16,159","71.7%","50,952","27,908","54.8%","10,890","5,235","48.1%","11,665","6,248","53.6%","10,557","3,775","35.8%"
"            Under 5 years","99,058","61,779","62.4%","2,616","2,063","78.9%","5,847","4,090","70.0%","3,822","2,505","65.5%","4,613","2,661","57.7%","2,601","800","30.8%","2,012","1,707","84.8%","4,384","3,351","76.4%","10,705","6,118","57.2%","1,898","801","42.2%","2,166","1,455","67.2%","3,161","1,349","42.7%"
"            5 to 17 years","416,469","235,354","56.5%","10,826","5,138","47.5%","21,667","11,764","54.3%","15,833","7,577","47.9%","18,768","9,916","52.8%","9,641","3,432","35.6%","8,841","6,085","68.8%","18,159","12,808","70.5%","40,247","21,790","54.1%","8,992","4,434","49.3%","9,499","4,793","50.5%","7,396","2,426","32.8%"
"            Related children of householder under 18 years","513,805","295,517","57.5%","13,442","7,201","53.6%","27,227","15,643","57.5%","19,384","9,811","50.6%","23,232","12,428","53.5%","12,242","4,232","34.6%","10,555","7,524","71.3%","22,543","16,159","71.7%","50,713","27,669","54.6%","10,890","5,235","48.1%","11,665","6,248","53.6%","10,557","3,775","35.8%"
"        18 to 64 years","1,931,657","735,046","38.1%","50,357","15,884","31.5%","105,184","37,133","35.3%","76,923","27,446","35.7%","90,602","24,848","27.4%","53,789","14,341","26.7%","40,055","20,206","50.4%","72,816","37,102","51.0%","195,357","68,149","34.9%","43,748","10,125","23.1%","44,846","12,205","27.2%","41,457","11,575","27.9%"
"            18 to 34 years","696,669","283,415","40.7%","18,685","7,493","40.1%","40,488","15,270","37.7%","28,351","9,938","35.1%","34,363","11,407","33.2%","19,443","5,921","30.5%","18,403","11,601","63.0%","28,028","15,937","56.9%","72,694","29,650","40.8%","16,563","4,235","25.6%","16,857","4,083","24.2%","14,845","5,490","37.0%"
"            35 to 64 years","1,234,988","451,631","36.6%","31,672","8,391","26.5%","64,696","21,863","33.8%","48,572","17,508","36.0%","56,239","13,441","23.9%","34,346","8,420","24.5%","21,652","8,605","39.7%","44,788","21,165","47.3%","122,663","38,499","31.4%","27,185","5,890","21.7%","27,989","8,122","29.0%","26,612","6,085","22.9%"
"        60 years and over","970,209","388,172","40.0%","26,258","9,646","36.7%","57,055","21,699","38.0%","37,018","15,614","42.2%","47,245","11,453","24.2%","28,216","8,809","31.2%","22,935","9,295","40.5%","41,355","19,755","47.8%","108,330","39,070","36.1%","15,515","3,920","25.3%","21,702","7,992","36.8%","16,965","5,712","33.7%"
