"Label (Grouping)","Puerto Rico!!Total!!Estimate","Puerto Rico!!Below poverty level!!Estimate","Puerto Rico!!Percent below poverty level!!Estimate","Arecibo Municipio, Puerto Rico!!Total!!Estimate","Arecibo Municipio, Puerto Rico!!Below poverty level!!Estimate","Arecibo Municipio, Puerto Rico!!Percent below poverty level!!Estimate","Bayamón Municipio, Puerto Rico!!Total!!Estimate","Bayamón Municipio, Puerto Rico!!Below poverty level!!Estimate","Bayamón Municipio, Puerto Rico!!Percent below poverty level!!Estimate","Caguas Municipio, Puerto Rico!!Total!!Estimate","Caguas Municipio, Puerto Rico!!Below poverty level!!Estimate","Caguas Municipio, Puerto Rico!!Percent below poverty level!!Estimate","Carolina Municipio, Puerto Rico!!Total!!Estimate","Carolina Municipio, Puerto Rico!!Below poverty level!!Estimate","Carolina Municipio, Puerto Rico!!Percent below poverty level!!Estimate","Guaynabo Municipio, Puerto Rico!!Total!!Estimate","Guaynabo Municipio, Puerto Rico!!Below poverty level!!Estimate","Guaynabo Municipio, Puerto Rico!!Percent below poverty level!!Estimate","Mayagüez Municipio, Puerto Rico!!Total!!Estimate","Mayagüez Municipio, Puerto Rico!!Below poverty level!!Estimate","Mayagüez Municipio, Puerto Rico!!Percent below poverty level!!Estimate","Ponce Municipio, Puerto Rico!!Total!!Estimate","Ponce Municipio, Puerto Rico!!Below poverty level!!Estimate","Ponce Municipio, Puerto Rico!!Percent below poverty level!!Estimate","San Juan Municipio, Puerto Rico!!Total!!Estimate","San Juan Municipio, Puerto Rico!!Below poverty level!!Estimate","San Juan Municipio, Puerto Rico!!Percent below poverty level!!Estimate","Toa Alta Municipio, Puerto Rico!!Total!!Estimate","Toa Alta Municipio, Puerto Rico!!Below poverty level!!Estimate","Toa Alta Municipio, Puerto Rico!!Percent below poverty level!!Estimate","Toa Baja Municipio, Puerto Rico!!Total!!Estimate","Toa Baja Municipio, Puerto Rico!!Below poverty level!!Estimate","Toa Baja Municipio, Puerto Rico!!Percent below poverty level!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Total!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Below poverty level!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Percent below poverty level!!Estimate"
"Population for whom poverty status is determined","3,235,303","1,310,464","40.5%","86,112","36,646","42.6%","177,531","63,381","35.7%","126,074","46,446","36.8%","151,353","42,061","27.8%","88,906","22,850","25.7%","70,792","40,239","56.8%","132,644","61,547","46.4%","332,086","132,480","39.9%","67,337","21,269","31.6%","73,941","22,442","30.4%","66,846","18,221","27.3%"
"    AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Under 18 years","541,690","297,526","54.9%","14,273","8,349","58.5%","28,606","15,909","55.6%","20,691","11,356","54.9%","23,261","9,516","40.9%","12,738","5,578","43.8%","11,308","8,608","76.1%","23,696","13,970","59.0%","52,971","32,117","60.6%","11,729","3,646","31.1%","12,243","4,713","38.5%","11,133","5,316","47.7%"
"            Under 5 years","103,524","59,385","57.4%","2,861","2,142","74.9%","5,943","3,087","51.9%","3,967","1,671","42.1%","4,708","1,745","37.1%","2,645","926","35.0%","2,166","2,052","94.7%","4,685","2,691","57.4%","11,385","6,198","54.4%","2,000","417","20.9%","2,313","898","38.8%","1,919","1,060","55.2%"
"            5 to 17 years","438,166","238,141","54.3%","11,412","6,207","54.4%","22,663","12,822","56.6%","16,724","9,685","57.9%","18,553","7,771","41.9%","10,093","4,652","46.1%","9,142","6,556","71.7%","19,011","11,279","59.3%","41,586","25,919","62.3%","9,729","3,229","33.2%","9,930","3,815","38.4%","9,214","4,256","46.2%"
"            Related children of householder under 18 years","540,232","296,068","54.8%","14,226","8,302","58.4%","28,606","15,909","55.6%","20,691","11,356","54.9%","22,871","9,126","39.9%","12,738","5,578","43.8%","11,236","8,536","76.0%","23,696","13,970","59.0%","52,866","32,012","60.6%","11,729","3,646","31.1%","12,243","4,713","38.5%","11,133","5,316","47.7%"
"        18 to 64 years","1,961,094","734,942","37.5%","51,571","19,844","38.5%","106,437","34,628","32.5%","77,792","26,515","34.1%","91,643","22,251","24.3%","54,247","12,409","22.9%","41,165","22,186","53.9%","76,128","33,124","43.5%","196,995","73,170","37.1%","44,885","12,487","27.8%","45,962","12,756","27.8%","41,656","9,651","23.2%"
"            18 to 34 years","710,813","277,608","39.1%","17,532","7,316","41.7%","41,515","14,803","35.7%","28,656","10,401","36.3%","34,604","7,947","23.0%","19,434","5,631","29.0%","18,738","11,795","62.9%","29,667","12,465","42.0%","73,270","30,206","41.2%","16,991","5,273","31.0%","17,259","4,491","26.0%","14,208","2,403","16.9%"
"            35 to 64 years","1,250,281","457,334","36.6%","34,039","12,528","36.8%","64,922","19,825","30.5%","49,136","16,114","32.8%","57,039","14,304","25.1%","34,813","6,778","19.5%","22,427","10,391","46.3%","46,461","20,659","44.5%","123,725","42,964","34.7%","27,894","7,214","25.9%","28,703","8,265","28.8%","27,448","7,248","26.4%"
"        60 years and over","953,758","364,528","38.2%","25,427","10,911","42.9%","55,189","16,483","29.9%","37,210","11,958","32.1%","44,757","13,096","29.3%","29,335","6,215","21.2%","23,234","11,509","49.5%","41,654","18,649","44.8%","106,484","35,500","33.3%","14,540","6,263","43.1%","21,336","7,012","32.9%","18,132","3,950","21.8%"
