"Label (Grouping)","Hawaii!!Total!!Estimate","Hawaii!!Labor Force Participation Rate!!Estimate","Hawaii!!Employment/Population Ratio!!Estimate","Hawaii!!Unemployment rate!!Estimate","Hawaii County, Hawaii!!Total!!Estimate","Hawaii County, Hawaii!!Labor Force Participation Rate!!Estimate","Hawaii County, Hawaii!!Employment/Population Ratio!!Estimate","Hawaii County, Hawaii!!Unemployment rate!!Estimate","Honolulu County, Hawaii!!Total!!Estimate","Honolulu County, Hawaii!!Labor Force Participation Rate!!Estimate","Honolulu County, Hawaii!!Employment/Population Ratio!!Estimate","Honolulu County, Hawaii!!Unemployment rate!!Estimate","Kauai County, Hawaii!!Total!!Estimate","Kauai County, Hawaii!!Labor Force Participation Rate!!Estimate","Kauai County, Hawaii!!Employment/Population Ratio!!Estimate","Kauai County, Hawaii!!Unemployment rate!!Estimate","Maui County, Hawaii!!Total!!Estimate","Maui County, Hawaii!!Labor Force Participation Rate!!Estimate","Maui County, Hawaii!!Employment/Population Ratio!!Estimate","Maui County, Hawaii!!Unemployment rate!!Estimate"
"Population 16 years and over","1,184,486","64.1%","57.9%","3.4%","171,819","55.5%","52.8%","4.4%","818,168","65.6%","57.8%","3.2%","N","N","N","N","133,809","63.4%","60.9%","3.7%"
"    AGE","","","","","","","","","","","","","","","","","","","",""
"        16 to 19 years","62,638","42.9%","36.0%","9.6%","10,200","43.9%","39.4%","10.2%","41,914","41.3%","33.0%","9.9%","N","N","N","N","7,407","47.7%","45.0%","5.8%"
"        20 to 24 years","84,875","81.7%","57.8%","5.8%","9,060","74.1%","64.6%","7.9%","64,898","81.1%","52.5%","4.8%","N","N","N","N","7,042","89.4%","80.7%","8.9%"
"        25 to 29 years","89,953","85.2%","71.1%","2.9%","9,847","80.3%","77.6%","3.4%","67,423","87.1%","68.8%","3.4%","N","N","N","N","8,622","71.0%","69.6%","0.6%"
"        30 to 34 years","95,753","84.8%","72.7%","4.6%","11,703","76.5%","67.8%","11.4%","70,982","86.5%","72.3%","3.6%","N","N","N","N","8,982","76.6%","71.9%","5.8%"
"        35 to 44 years","197,164","84.5%","77.3%","3.5%","27,630","78.6%","76.6%","2.4%","135,692","84.9%","75.6%","3.7%","N","N","N","N","23,197","85.0%","81.8%","3.7%"
"        45 to 54 years","169,289","85.1%","82.0%","2.2%","24,401","78.6%","77.1%","2.0%","116,503","86.4%","82.7%","2.3%","N","N","N","N","20,377","84.1%","82.9%","1.5%"
"        55 to 59 years","83,512","78.2%","75.8%","2.8%","11,117","69.7%","69.0%","1.0%","58,032","78.5%","76.4%","2.2%","N","N","N","N","10,179","85.4%","79.7%","6.7%"
"        60 to 64 years","89,997","64.6%","63.2%","2.1%","15,305","58.3%","56.7%","2.7%","58,653","65.8%","64.7%","1.7%","N","N","N","N","11,583","69.7%","66.7%","4.3%"
"        65 to 74 years","167,387","33.3%","32.3%","2.8%","30,812","25.0%","22.8%","8.7%","104,696","34.9%","34.2%","2.0%","N","N","N","N","21,106","30.1%","29.9%","0.7%"
"        75 years and over","143,918","10.7%","10.7%","0.3%","21,744","9.1%","9.0%","2.1%","99,375","10.1%","10.1%","0.0%","N","N","N","N","15,314","13.5%","13.5%","0.0%"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","",""
"        White alone","276,917","62.4%","50.8%","3.6%","59,592","48.3%","45.9%","4.8%","156,476","68.6%","49.7%","3.8%","19,595","66.8%","64.7%","3.2%","41,212","56.9%","55.6%","1.7%"
"        Black or African American alone","21,628","74.4%","45.3%","1.1%","N","N","N","N","19,215","77.9%","45.2%","1.3%","N","N","N","N","N","N","N","N"
"        American Indian and Alaska Native alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Asian alone","469,157","61.9%","59.8%","2.1%","39,551","58.3%","56.9%","1.3%","368,249","61.2%","58.9%","2.3%","19,708","68.9%","67.9%","1.4%","41,649","68.2%","66.7%","2.0%"
"        Native Hawaiian and Other Pacific Islander alone","108,468","62.2%","56.8%","6.7%","21,332","58.7%","52.4%","10.7%","67,881","63.2%","57.1%","6.5%","5,625","71.8%","71.7%","0.2%","13,617","59.2%","56.2%","5.1%"
"        Some other race alone","19,820","70.0%","54.5%","2.5%","N","N","N","N","11,320","76.6%","49.5%","4.7%","N","N","N","N","N","N","N","N"
"        Two or more races","284,285","69.2%","63.6%","4.0%","44,617","61.2%","58.5%","4.3%","193,451","70.6%","64.1%","3.2%","14,514","73.8%","69.6%","5.7%","31,690","70.2%","64.8%","7.6%"
"        Hispanic or Latino origin (of any race)","99,801","72.1%","58.3%","4.7%","16,562","67.5%","64.0%","5.3%","65,413","75.8%","56.1%","5.2%","N","N","N","N","N","N","N","N"
