"Label (Grouping)","Hawaii!!Occupied housing units!!Estimate","Hawaii!!Percent occupied housing units!!Estimate","Hawaii!!Owner-occupied housing units!!Estimate","Hawaii!!Percent owner-occupied housing units!!Estimate","Hawaii!!Renter-occupied housing units!!Estimate","Hawaii!!Percent renter-occupied housing units!!Estimate","Hawaii County, Hawaii!!Occupied housing units!!Estimate","Hawaii County, Hawaii!!Percent occupied housing units!!Estimate","Hawaii County, Hawaii!!Owner-occupied housing units!!Estimate","Hawaii County, Hawaii!!Percent owner-occupied housing units!!Estimate","Hawaii County, Hawaii!!Renter-occupied housing units!!Estimate","Hawaii County, Hawaii!!Percent renter-occupied housing units!!Estimate","Honolulu County, Hawaii!!Occupied housing units!!Estimate","Honolulu County, Hawaii!!Percent occupied housing units!!Estimate","Honolulu County, Hawaii!!Owner-occupied housing units!!Estimate","Honolulu County, Hawaii!!Percent owner-occupied housing units!!Estimate","Honolulu County, Hawaii!!Renter-occupied housing units!!Estimate","Honolulu County, Hawaii!!Percent renter-occupied housing units!!Estimate","Kauai County, Hawaii!!Occupied housing units!!Estimate","Kauai County, Hawaii!!Percent occupied housing units!!Estimate","Kauai County, Hawaii!!Owner-occupied housing units!!Estimate","Kauai County, Hawaii!!Percent owner-occupied housing units!!Estimate","Kauai County, Hawaii!!Renter-occupied housing units!!Estimate","Kauai County, Hawaii!!Percent renter-occupied housing units!!Estimate","Maui County, Hawaii!!Occupied housing units!!Estimate","Maui County, Hawaii!!Percent occupied housing units!!Estimate","Maui County, Hawaii!!Owner-occupied housing units!!Estimate","Maui County, Hawaii!!Percent owner-occupied housing units!!Estimate","Maui County, Hawaii!!Renter-occupied housing units!!Estimate","Maui County, Hawaii!!Percent renter-occupied housing units!!Estimate"
"Occupied housing units","465,299","465,299","279,960","279,960","185,339","185,339","71,193","71,193","49,708","49,708","21,485","21,485","316,456","316,456","181,534","181,534","134,922","134,922","22,898","22,898","15,429","15,429","7,469","7,469","54,744","54,744","33,289","33,289","21,455","21,455"
"    HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than $5,000","10,674","2.3%","3,767","1.3%","6,907","3.7%","1,655","2.3%","1,008","2.0%","647","3.0%","6,714","2.1%","1,747","1.0%","4,967","3.7%","847","3.7%","444","2.9%","403","5.4%","1,458","2.7%","568","1.7%","890","4.1%"
"        $5,000 to $9,999","12,670","2.7%","3,153","1.1%","9,517","5.1%","2,734","3.8%","996","2.0%","1,738","8.1%","7,840","2.5%","1,413","0.8%","6,427","4.8%","242","1.1%","133","0.9%","109","1.5%","1,854","3.4%","611","1.8%","1,243","5.8%"
"        $10,000 to $14,999","12,238","2.6%","4,393","1.6%","7,845","4.2%","2,849","4.0%","1,333","2.7%","1,516","7.1%","8,009","2.5%","2,390","1.3%","5,619","4.2%","240","1.0%","192","1.2%","48","0.6%","1,140","2.1%","478","1.4%","662","3.1%"
"        $15,000 to $19,999","12,277","2.6%","5,187","1.9%","7,090","3.8%","3,414","4.8%","1,853","3.7%","1,561","7.3%","6,736","2.1%","2,499","1.4%","4,237","3.1%","593","2.6%","201","1.3%","392","5.2%","1,534","2.8%","634","1.9%","900","4.2%"
"        $20,000 to $24,999","15,179","3.3%","8,132","2.9%","7,047","3.8%","3,983","5.6%","2,928","5.9%","1,055","4.9%","8,641","2.7%","4,213","2.3%","4,428","3.3%","942","4.1%","252","1.6%","690","9.2%","1,613","2.9%","739","2.2%","874","4.1%"
"        $25,000 to $34,999","29,598","6.4%","12,501","4.5%","17,097","9.2%","5,477","7.7%","2,962","6.0%","2,515","11.7%","19,374","6.1%","7,652","4.2%","11,722","8.7%","1,150","5.0%","644","4.2%","506","6.8%","3,597","6.6%","1,243","3.7%","2,354","11.0%"
"        $35,000 to $49,999","40,282","8.7%","19,534","7.0%","20,748","11.2%","7,031","9.9%","4,648","9.4%","2,383","11.1%","25,884","8.2%","10,727","5.9%","15,157","11.2%","2,655","11.6%","1,373","8.9%","1,282","17.2%","4,712","8.6%","2,786","8.4%","1,926","9.0%"
"        $50,000 to $74,999","78,291","16.8%","40,526","14.5%","37,765","20.4%","11,564","16.2%","7,432","15.0%","4,132","19.2%","52,714","16.7%","25,179","13.9%","27,535","20.4%","4,151","18.1%","3,018","19.6%","1,133","15.2%","9,862","18.0%","4,897","14.7%","4,965","23.1%"
