"Label (Grouping)","Hawaii!!Occupied housing units!!Estimate","Hawaii!!Percent occupied housing units!!Estimate","Hawaii!!Owner-occupied housing units!!Estimate","Hawaii!!Percent owner-occupied housing units!!Estimate","Hawaii!!Renter-occupied housing units!!Estimate","Hawaii!!Percent renter-occupied housing units!!Estimate","Hawaii County, Hawaii!!Occupied housing units!!Estimate","Hawaii County, Hawaii!!Percent occupied housing units!!Estimate","Hawaii County, Hawaii!!Owner-occupied housing units!!Estimate","Hawaii County, Hawaii!!Percent owner-occupied housing units!!Estimate","Hawaii County, Hawaii!!Renter-occupied housing units!!Estimate","Hawaii County, Hawaii!!Percent renter-occupied housing units!!Estimate","Honolulu County, Hawaii!!Occupied housing units!!Estimate","Honolulu County, Hawaii!!Percent occupied housing units!!Estimate","Honolulu County, Hawaii!!Owner-occupied housing units!!Estimate","Honolulu County, Hawaii!!Percent owner-occupied housing units!!Estimate","Honolulu County, Hawaii!!Renter-occupied housing units!!Estimate","Honolulu County, Hawaii!!Percent renter-occupied housing units!!Estimate","Kauai County, Hawaii!!Occupied housing units!!Estimate","Kauai County, Hawaii!!Percent occupied housing units!!Estimate","Kauai County, Hawaii!!Owner-occupied housing units!!Estimate","Kauai County, Hawaii!!Percent owner-occupied housing units!!Estimate","Kauai County, Hawaii!!Renter-occupied housing units!!Estimate","Kauai County, Hawaii!!Percent renter-occupied housing units!!Estimate","Maui County, Hawaii!!Occupied housing units!!Estimate","Maui County, Hawaii!!Percent occupied housing units!!Estimate","Maui County, Hawaii!!Owner-occupied housing units!!Estimate","Maui County, Hawaii!!Percent owner-occupied housing units!!Estimate","Maui County, Hawaii!!Renter-occupied housing units!!Estimate","Maui County, Hawaii!!Percent renter-occupied housing units!!Estimate"
"Occupied housing units","490,080","490,080","306,653","306,653","183,427","183,427","72,194","72,194","52,962","52,962","19,232","19,232","338,093","338,093","200,544","200,544","137,549","137,549","23,464","23,464","15,366","15,366","8,098","8,098","56,319","56,319","37,781","37,781","18,538","18,538"
"    HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than $5,000","15,129","3.1%","7,065","2.3%","8,064","4.4%","2,764","3.8%","2,171","4.1%","593","3.1%","10,080","3.0%","3,760","1.9%","6,320","4.6%","507","2.2%","452","2.9%","55","0.7%","1,778","3.2%","682","1.8%","1,096","5.9%"
"        $5,000 to $9,999","11,406","2.3%","4,172","1.4%","7,234","3.9%","2,748","3.8%","1,361","2.6%","1,387","7.2%","6,833","2.0%","1,988","1.0%","4,845","3.5%","796","3.4%","162","1.1%","634","7.8%","1,029","1.8%","661","1.7%","368","2.0%"
"        $10,000 to $14,999","14,890","3.0%","5,526","1.8%","9,364","5.1%","3,291","4.6%","2,114","4.0%","1,177","6.1%","9,773","2.9%","2,486","1.2%","7,287","5.3%","303","1.3%","182","1.2%","121","1.5%","1,523","2.7%","744","2.0%","779","4.2%"
"        $15,000 to $19,999","13,803","2.8%","6,292","2.1%","7,511","4.1%","3,049","4.2%","1,628","3.1%","1,421","7.4%","7,711","2.3%","2,865","1.4%","4,846","3.5%","784","3.3%","391","2.5%","393","4.9%","2,259","4.0%","1,408","3.7%","851","4.6%"
"        $20,000 to $24,999","14,986","3.1%","7,489","2.4%","7,497","4.1%","2,916","4.0%","1,852","3.5%","1,064","5.5%","9,073","2.7%","4,584","2.3%","4,489","3.3%","999","4.3%","519","3.4%","480","5.9%","1,998","3.5%","534","1.4%","1,464","7.9%"
"        $25,000 to $34,999","24,548","5.0%","11,268","3.7%","13,280","7.2%","3,309","4.6%","1,952","3.7%","1,357","7.1%","15,685","4.6%","6,795","3.4%","8,890","6.5%","1,833","7.8%","546","3.6%","1,287","15.9%","3,711","6.6%","1,975","5.2%","1,736","9.4%"
"        $35,000 to $49,999","45,306","9.2%","22,259","7.3%","23,047","12.6%","8,110","11.2%","4,940","9.3%","3,170","16.5%","29,238","8.6%","13,108","6.5%","16,130","11.7%","2,117","9.0%","1,529","10.0%","588","7.3%","5,841","10.4%","2,682","7.1%","3,159","17.0%"
"        $50,000 to $74,999","77,665","15.8%","43,157","14.1%","34,508","18.8%","13,021","18.0%","10,571","20.0%","2,450","12.7%","51,802","15.3%","24,123","12.0%","27,679","20.1%","3,299","14.1%","2,060","13.4%","1,239","15.3%","9,543","16.9%","6,403","16.9%","3,140","16.9%"
"        $75,000 to $99,999","66,805","13.6%","41,681","13.6%","25,124","13.7%","10,470","14.5%","7,775","14.7%","2,695","14.0%","45,101","13.3%","26,327","13.1%","18,774","13.6%","4,182","17.8%","2,887","18.8%","1,295","16.0%","7,052","12.5%","4,692","12.4%","2,360","12.7%"
"        $100,000 to $149,999","88,987","18.2%","62,438","20.4%","26,549","14.5%","10,192","14.1%","8,109","15.3%","2,083","10.8%","66,569","19.7%","44,718","22.3%","21,851","15.9%","4,012","17.1%","3,059","19.9%","953","11.8%","8,214","14.6%","6,552","17.3%","1,662","9.0%"
