"Label (Grouping)","Hawaii!!Occupied housing units!!Estimate","Hawaii!!Percent occupied housing units!!Estimate","Hawaii!!Owner-occupied housing units!!Estimate","Hawaii!!Percent owner-occupied housing units!!Estimate","Hawaii!!Renter-occupied housing units!!Estimate","Hawaii!!Percent renter-occupied housing units!!Estimate","Hawaii County, Hawaii!!Occupied housing units!!Estimate","Hawaii County, Hawaii!!Percent occupied housing units!!Estimate","Hawaii County, Hawaii!!Owner-occupied housing units!!Estimate","Hawaii County, Hawaii!!Percent owner-occupied housing units!!Estimate","Hawaii County, Hawaii!!Renter-occupied housing units!!Estimate","Hawaii County, Hawaii!!Percent renter-occupied housing units!!Estimate","Honolulu County, Hawaii!!Occupied housing units!!Estimate","Honolulu County, Hawaii!!Percent occupied housing units!!Estimate","Honolulu County, Hawaii!!Owner-occupied housing units!!Estimate","Honolulu County, Hawaii!!Percent owner-occupied housing units!!Estimate","Honolulu County, Hawaii!!Renter-occupied housing units!!Estimate","Honolulu County, Hawaii!!Percent renter-occupied housing units!!Estimate","Kauai County, Hawaii!!Occupied housing units!!Estimate","Kauai County, Hawaii!!Percent occupied housing units!!Estimate","Kauai County, Hawaii!!Owner-occupied housing units!!Estimate","Kauai County, Hawaii!!Percent owner-occupied housing units!!Estimate","Kauai County, Hawaii!!Renter-occupied housing units!!Estimate","Kauai County, Hawaii!!Percent renter-occupied housing units!!Estimate","Maui County, Hawaii!!Occupied housing units!!Estimate","Maui County, Hawaii!!Percent occupied housing units!!Estimate","Maui County, Hawaii!!Owner-occupied housing units!!Estimate","Maui County, Hawaii!!Percent owner-occupied housing units!!Estimate","Maui County, Hawaii!!Renter-occupied housing units!!Estimate","Maui County, Hawaii!!Percent renter-occupied housing units!!Estimate"
"Occupied housing units","494,827","494,827","309,687","309,687","185,140","185,140","74,764","74,764","55,193","55,193","19,571","19,571","338,438","338,438","201,897","201,897","136,541","136,541","24,237","24,237","15,612","15,612","8,625","8,625","57,355","57,355","36,985","36,985","20,370","20,370"
"    HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than $5,000","16,911","3.4%","8,167","2.6%","8,744","4.7%","4,031","5.4%","2,885","5.2%","1,146","5.9%","11,435","3.4%","4,539","2.2%","6,896","5.1%","595","2.5%","276","1.8%","319","3.7%","850","1.5%","467","1.3%","383","1.9%"
"        $5,000 to $9,999","9,087","1.8%","4,476","1.4%","4,611","2.5%","2,166","2.9%","1,776","3.2%","390","2.0%","5,881","1.7%","2,036","1.0%","3,845","2.8%","78","0.3%","0","0.0%","78","0.9%","962","1.7%","664","1.8%","298","1.5%"
"        $10,000 to $14,999","12,629","2.6%","3,851","1.2%","8,778","4.7%","3,134","4.2%","1,594","2.9%","1,540","7.9%","7,001","2.1%","1,612","0.8%","5,389","3.9%","449","1.9%","192","1.2%","257","3.0%","2,045","3.6%","453","1.2%","1,592","7.8%"
"        $15,000 to $19,999","11,699","2.4%","5,233","1.7%","6,466","3.5%","2,298","3.1%","1,583","2.9%","715","3.7%","8,311","2.5%","3,092","1.5%","5,219","3.8%","379","1.6%","179","1.1%","200","2.3%","711","1.2%","379","1.0%","332","1.6%"
"        $20,000 to $24,999","13,740","2.8%","5,770","1.9%","7,970","4.3%","1,937","2.6%","1,454","2.6%","483","2.5%","9,600","2.8%","3,236","1.6%","6,364","4.7%","485","2.0%","239","1.5%","246","2.9%","1,696","3.0%","841","2.3%","855","4.2%"
"        $25,000 to $34,999","25,723","5.2%","10,221","3.3%","15,502","8.4%","5,808","7.8%","3,150","5.7%","2,658","13.6%","15,639","4.6%","4,951","2.5%","10,688","7.8%","1,292","5.3%","410","2.6%","882","10.2%","2,984","5.2%","1,710","4.6%","1,274","6.3%"
"        $35,000 to $49,999","42,456","8.6%","22,403","7.2%","20,053","10.8%","6,476","8.7%","4,130","7.5%","2,346","12.0%","30,015","8.9%","14,230","7.0%","15,785","11.6%","1,484","6.1%","922","5.9%","562","6.5%","4,481","7.8%","3,121","8.4%","1,360","6.7%"
"        $50,000 to $74,999","73,198","14.8%","41,279","13.3%","31,919","17.2%","12,922","17.3%","9,302","16.9%","3,620","18.5%","46,499","13.7%","24,385","12.1%","22,114","16.2%","5,446","22.5%","3,530","22.6%","1,916","22.2%","8,331","14.5%","4,062","11.0%","4,269","21.0%"
"        $75,000 to $99,999","59,184","12.0%","35,834","11.6%","23,350","12.6%","7,716","10.3%","5,453","9.9%","2,263","11.6%","40,135","11.9%","23,226","11.5%","16,909","12.4%","3,762","15.5%","2,510","16.1%","1,252","14.5%","7,560","13.2%","4,645","12.6%","2,915","14.3%"
"        $100,000 to $149,999","99,480","20.1%","67,073","21.7%","32,407","17.5%","13,445","18.0%","10,769","19.5%","2,676","13.7%","69,728","20.6%","45,839","22.7%","23,889","17.5%","4,430","18.3%","2,489","15.9%","1,941","22.5%","11,877","20.7%","7,976","21.6%","3,901","19.2%"
"        $150,000 or more","130,720","26.4%","105,380","34.0%","25,340","13.7%","14,831","19.8%","13,097","23.7%","1,734","8.9%","94,194","27.8%","74,751","37.0%","19,443","14.2%","5,837","24.1%","4,865","31.2%","972","11.3%","15,858","27.6%","12,667","34.2%","3,191","15.7%"
"        Median household income (dollars)","92,458","92,458","110,493","110,493","65,880","65,880","72,568","72,568","84,347","84,347","54,024","54,024","96,580","96,580","119,009","119,009","64,997","64,997","87,730","87,730","95,664","95,664","73,537","73,537","94,760","94,760","109,369","109,369","74,121","74,121"
"    MONTHLY HOUSING COSTS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than $300","22,616","4.6%","18,187","5.9%","4,429","2.4%","10,016","13.4%","9,716","17.6%","300","1.5%","8,953","2.6%","5,067","2.5%","3,886","2.8%","759","3.1%","635","4.1%","N","N","2,888","5.0%","2,769","7.5%","119","0.6%"
"        $300 to $499","31,364","6.3%","26,279","8.5%","5,085","2.7%","9,074","12.1%","7,851","14.2%","1,223","6.2%","15,006","4.4%","12,636","6.3%","2,370","1.7%","1,822","7.5%","1,618","10.4%","N","N","5,462","9.5%","4,174","11.3%","1,288","6.3%"
"        $500 to $799","47,475","9.6%","38,459","12.4%","9,016","4.9%","7,007","9.4%","5,428","9.8%","1,579","8.1%","32,320","9.5%","26,309","13.0%","6,011","4.4%","2,250","9.3%","1,946","12.5%","N","N","5,898","10.3%","4,776","12.9%","1,122","5.5%"
"        $800 to $999","28,757","5.8%","20,665","6.7%","8,092","4.4%","4,578","6.1%","3,458","6.3%","1,120","5.7%","19,113","5.6%","14,696","7.3%","4,417","3.2%","1,567","6.5%","1,096","7.0%","N","N","3,483","6.1%","1,415","3.8%","2,068","10.2%"
"        $1,000 to $1,499","69,174","14.0%","31,662","10.2%","37,512","20.3%","11,294","15.1%","5,249","9.5%","6,045","30.9%","48,019","14.2%","21,700","10.7%","26,319","19.3%","3,632","15.0%","1,970","12.6%","N","N","6,229","10.9%","2,743","7.4%","3,486","17.1%"
"        $1,500 to $1,999","69,534","14.1%","33,914","11.0%","35,620","19.2%","11,617","15.5%","8,254","15.0%","3,363","17.2%","45,515","13.4%","19,575","9.7%","25,940","19.0%","2,734","11.3%","1,186","7.6%","N","N","9,668","16.9%","4,899","13.2%","4,769","23.4%"
"        $2,000 to $2,499","56,156","11.3%","31,229","10.1%","24,927","13.5%","7,235","9.7%","5,449","9.9%","1,786","9.1%","39,943","11.8%","20,954","10.4%","18,989","13.9%","3,082","12.7%","1,451","9.3%","N","N","5,885","10.3%","3,375","9.1%","2,510","12.3%"
"        $2,500 to $2,999","49,210","9.9%","30,012","9.7%","19,198","10.4%","4,383","5.9%","3,460","6.3%","923","4.7%","36,169","10.7%","20,333","10.1%","15,836","11.6%","3,389","14.0%","2,502","16.0%","N","N","5,269","9.2%","3,717","10.1%","1,552","7.6%"
"        $3,000 or more","108,271","21.9%","79,280","25.6%","28,991","15.7%","6,932","9.3%","6,328","11.5%","604","3.1%","85,830","25.4%","60,627","30.0%","25,203","18.5%","4,053","16.7%","3,208","20.5%","N","N","11,456","20.0%","9,117","24.7%","2,339","11.5%"
"        No cash rent","12,270","2.5%","(X)","(X)","12,270","6.6%","2,628","3.5%","(X)","(X)","2,628","13.4%","7,570","2.2%","(X)","(X)","7,570","5.5%","949","3.9%","(X)","(X)","N","N","1,117","1.9%","(X)","(X)","1,117","5.5%"
"        Median (dollars)","1,799","1,799","1,799","1,799","1,813","1,813","1,201","1,201","1,102","1,102","1,292","1,292","1,962","1,962","2,023","2,023","1,914","1,914","1,723","1,723","1,678","1,678","1,847","1,847","1,698","1,698","1,723","1,723","1,662","1,662"
"    MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than $20,000","38,597","7.8%","16,911","5.5%","21,686","11.7%","8,367","11.2%","6,095","11.0%","2,272","11.6%","24,864","7.3%","8,469","4.2%","16,395","12.0%","1,134","4.7%","591","3.8%","543","6.3%","4,232","7.4%","1,756","4.7%","2,476","12.2%"
"            Less than 20 percent","2,129","0.4%","1,629","0.5%","500","0.3%","1,267","1.7%","1,267","2.3%","0","0.0%","759","0.2%","259","0.1%","500","0.4%","47","0.2%","47","0.3%","0","0.0%","56","0.1%","56","0.2%","0","0.0%"
"            20 to 29 percent","2,715","0.5%","956","0.3%","1,759","1.0%","713","1.0%","531","1.0%","182","0.9%","1,639","0.5%","295","0.1%","1,344","1.0%","96","0.4%","0","0.0%","96","1.1%","267","0.5%","130","0.4%","137","0.7%"
