"Label (Grouping)","Hawaii!!Occupied housing units!!Estimate","Hawaii!!Percent occupied housing units!!Estimate","Hawaii!!Owner-occupied housing units!!Estimate","Hawaii!!Percent owner-occupied housing units!!Estimate","Hawaii!!Renter-occupied housing units!!Estimate","Hawaii!!Percent renter-occupied housing units!!Estimate","Hawaii County, Hawaii!!Occupied housing units!!Estimate","Hawaii County, Hawaii!!Percent occupied housing units!!Estimate","Hawaii County, Hawaii!!Owner-occupied housing units!!Estimate","Hawaii County, Hawaii!!Percent owner-occupied housing units!!Estimate","Hawaii County, Hawaii!!Renter-occupied housing units!!Estimate","Hawaii County, Hawaii!!Percent renter-occupied housing units!!Estimate","Honolulu County, Hawaii!!Occupied housing units!!Estimate","Honolulu County, Hawaii!!Percent occupied housing units!!Estimate","Honolulu County, Hawaii!!Owner-occupied housing units!!Estimate","Honolulu County, Hawaii!!Percent owner-occupied housing units!!Estimate","Honolulu County, Hawaii!!Renter-occupied housing units!!Estimate","Honolulu County, Hawaii!!Percent renter-occupied housing units!!Estimate","Kauai County, Hawaii!!Occupied housing units!!Estimate","Kauai County, Hawaii!!Percent occupied housing units!!Estimate","Kauai County, Hawaii!!Owner-occupied housing units!!Estimate","Kauai County, Hawaii!!Percent owner-occupied housing units!!Estimate","Kauai County, Hawaii!!Renter-occupied housing units!!Estimate","Kauai County, Hawaii!!Percent renter-occupied housing units!!Estimate","Maui County, Hawaii!!Occupied housing units!!Estimate","Maui County, Hawaii!!Percent occupied housing units!!Estimate","Maui County, Hawaii!!Owner-occupied housing units!!Estimate","Maui County, Hawaii!!Percent owner-occupied housing units!!Estimate","Maui County, Hawaii!!Renter-occupied housing units!!Estimate","Maui County, Hawaii!!Percent renter-occupied housing units!!Estimate"
"Occupied housing units","493,151","493,151","304,026","304,026","189,125","189,125","76,569","76,569","56,779","56,779","19,790","19,790","338,627","338,627","196,497","196,497","142,130","142,130","23,310","23,310","15,540","15,540","7,770","7,770","54,607","54,607","35,210","35,210","19,397","19,397"
"    HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2024 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than $5,000","13,070","2.7%","6,331","2.1%","6,739","3.6%","3,169","4.1%","1,760","3.1%","1,409","7.1%","7,228","2.1%","3,336","1.7%","3,892","2.7%","594","2.5%","505","3.2%","89","1.1%","2,079","3.8%","730","2.1%","1,349","7.0%"
"        $5,000 to $9,999","9,065","1.8%","2,901","1.0%","6,164","3.3%","2,663","3.5%","1,008","1.8%","1,655","8.4%","5,454","1.6%","1,406","0.7%","4,048","2.8%","261","1.1%","96","0.6%","165","2.1%","687","1.3%","391","1.1%","296","1.5%"
"        $10,000 to $14,999","13,560","2.7%","3,983","1.3%","9,577","5.1%","2,890","3.8%","1,917","3.4%","973","4.9%","8,987","2.7%","1,764","0.9%","7,223","5.1%","337","1.4%","106","0.7%","231","3.0%","1,346","2.5%","196","0.6%","1,150","5.9%"
"        $15,000 to $19,999","8,741","1.8%","3,908","1.3%","4,833","2.6%","2,538","3.3%","1,497","2.6%","1,041","5.3%","4,779","1.4%","1,647","0.8%","3,132","2.2%","424","1.8%","321","2.1%","103","1.3%","1,000","1.8%","443","1.3%","557","2.9%"
"        $20,000 to $24,999","11,566","2.3%","5,854","1.9%","5,712","3.0%","3,456","4.5%","1,737","3.1%","1,719","8.7%","6,102","1.8%","2,856","1.5%","3,246","2.3%","951","4.1%","665","4.3%","286","3.7%","1,057","1.9%","596","1.7%","461","2.4%"
"        $25,000 to $34,999","20,800","4.2%","9,187","3.0%","11,613","6.1%","4,388","5.7%","2,859","5.0%","1,529","7.7%","12,741","3.8%","4,711","2.4%","8,030","5.6%","1,647","7.1%","851","5.5%","796","10.2%","2,011","3.7%","766","2.2%","1,245","6.4%"
"        $35,000 to $49,999","36,277","7.4%","16,616","5.5%","19,661","10.4%","6,830","8.9%","4,495","7.9%","2,335","11.8%","23,589","7.0%","9,466","4.8%","14,123","9.9%","1,375","5.9%","676","4.4%","699","9.0%","4,483","8.2%","1,979","5.6%","2,504","12.9%"
"        $50,000 to $74,999","74,744","15.2%","38,102","12.5%","36,642","19.4%","12,126","15.8%","9,215","16.2%","2,911","14.7%","50,432","14.9%","21,152","10.8%","29,280","20.6%","4,064","17.4%","2,936","18.9%","1,128","14.5%","8,108","14.8%","4,799","13.6%","3,309","17.1%"
"        $75,000 to $99,999","56,253","11.4%","30,719","10.1%","25,534","13.5%","8,131","10.6%","5,486","9.7%","2,645","13.4%","39,974","11.8%","20,109","10.2%","19,865","14.0%","2,273","9.8%","1,272","8.2%","1,001","12.9%","5,870","10.7%","3,852","10.9%","2,018","10.4%"
"        $100,000 to $149,999","99,505","20.2%","64,917","21.4%","34,588","18.3%","12,882","16.8%","10,766","19.0%","2,116","10.7%","68,399","20.2%","42,096","21.4%","26,303","18.5%","5,896","25.3%","3,802","24.5%","2,094","26.9%","12,328","22.6%","8,253","23.4%","4,075","21.0%"
"        $150,000 or more","149,570","30.3%","121,508","40.0%","28,062","14.8%","17,496","22.8%","16,039","28.2%","1,457","7.4%","110,942","32.8%","87,954","44.8%","22,988","16.2%","5,488","23.5%","4,310","27.7%","1,178","15.2%","15,638","28.6%","13,205","37.5%","2,433","12.5%"
"        Median household income (dollars)","100,745","100,745","124,646","124,646","69,950","69,950","75,465","75,465","95,086","95,086","43,233","43,233","105,205","105,205","136,882","136,882","72,399","72,399","98,128","98,128","103,657","103,657","86,562","86,562","101,192","101,192","118,498","118,498","65,183","65,183"
"    MONTHLY HOUSING COSTS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than $300","15,712","3.2%","11,381","3.7%","4,331","2.3%","6,398","8.4%","6,054","10.7%","344","1.7%","6,518","1.9%","3,002","1.5%","3,516","2.5%","966","4.1%","966","6.2%","N","N","1,830","3.4%","1,359","3.9%","N","N"
"        $300 to $499","25,963","5.3%","20,698","6.8%","5,265","2.8%","8,694","11.4%","7,123","12.5%","1,571","7.9%","10,637","3.1%","7,673","3.9%","2,964","2.1%","2,235","9.6%","1,935","12.5%","N","N","4,397","8.1%","3,967","11.3%","N","N"
"        $500 to $799","42,138","8.5%","35,248","11.6%","6,890","3.6%","8,782","11.5%","7,613","13.4%","1,169","5.9%","26,365","7.8%","21,838","11.1%","4,527","3.2%","2,218","9.5%","1,820","11.7%","N","N","4,765","8.7%","3,977","11.3%","N","N"
