"Label (Grouping)","Hawaii!!Total!!Estimate","Hawaii!!Moved; within same county!!Estimate","Hawaii!!Moved; from different county, same state!!Estimate","Hawaii!!Moved; from different  state!!Estimate","Hawaii!!Moved; from abroad!!Estimate","Hawaii County, Hawaii!!Total!!Estimate","Hawaii County, Hawaii!!Moved; within same county!!Estimate","Hawaii County, Hawaii!!Moved; from different county, same state!!Estimate","Hawaii County, Hawaii!!Moved; from different  state!!Estimate","Hawaii County, Hawaii!!Moved; from abroad!!Estimate","Honolulu County, Hawaii!!Total!!Estimate","Honolulu County, Hawaii!!Moved; within same county!!Estimate","Honolulu County, Hawaii!!Moved; from different county, same state!!Estimate","Honolulu County, Hawaii!!Moved; from different  state!!Estimate","Honolulu County, Hawaii!!Moved; from abroad!!Estimate","Kauai County, Hawaii!!Total!!Estimate","Kauai County, Hawaii!!Moved; within same county!!Estimate","Kauai County, Hawaii!!Moved; from different county, same state!!Estimate","Kauai County, Hawaii!!Moved; from different  state!!Estimate","Kauai County, Hawaii!!Moved; from abroad!!Estimate","Maui County, Hawaii!!Total!!Estimate","Maui County, Hawaii!!Moved; within same county!!Estimate","Maui County, Hawaii!!Moved; from different county, same state!!Estimate","Maui County, Hawaii!!Moved; from different  state!!Estimate","Maui County, Hawaii!!Moved; from abroad!!Estimate"
"Population 1 year and over","1,420,012","6.3%","0.6%","4.1%","1.0%","204,205","7.3%","0.2%","2.7%","0.5%","978,959","6.7%","0.4%","4.7%","1.1%","N","N","N","N","N","163,331","4.2%","1.4%","3.1%","0.9%"
"    AGE","","","","","","","","","","","","","","","","","","","","","","","","",""
"        1 to 4 years","62,294","7.8%","0.5%","5.3%","1.3%","7,505","13.3%","0.8%","1.2%","0.0%","44,175","7.5%","0.4%","6.6%","1.8%","N","N","N","N","N","7,703","5.3%","1.2%","2.9%","0.2%"
"        5 to 17 years","216,467","5.7%","0.5%","3.0%","0.6%","32,211","10.9%","0.0%","0.9%","0.0%","146,871","5.1%","0.4%","3.9%","0.7%","N","N","N","N","N","25,222","5.8%","1.5%","1.2%","0.9%"
"        18 to 24 years","116,354","10.2%","0.9%","11.7%","2.4%","14,704","10.6%","0.1%","6.9%","1.2%","85,845","10.8%","0.6%","14.1%","2.3%","N","N","N","N","N","11,092","7.7%","4.2%","4.0%","4.1%"
"        25 to 34 years","185,753","13.0%","0.5%","7.5%","1.4%","21,225","15.3%","0.4%","2.4%","0.8%","136,691","13.4%","0.3%","8.8%","1.5%","N","N","N","N","N","18,784","9.6%","1.7%","6.5%","1.2%"
"        35 to 44 years","192,516","7.3%","0.6%","4.5%","1.2%","26,953","8.0%","0.2%","2.0%","1.1%","133,407","8.0%","0.7%","5.3%","1.4%","N","N","N","N","N","23,033","4.9%","1.2%","3.5%","0.2%"
"        45 to 54 years","167,524","4.3%","0.8%","2.7%","1.0%","23,396","4.7%","0.2%","2.1%","0.6%","115,776","4.5%","0.5%","2.4%","1.1%","N","N","N","N","N","19,479","3.3%","1.2%","4.2%","0.8%"
"        55 to 64 years","175,752","3.3%","0.4%","2.4%","0.9%","27,267","4.0%","0.0%","5.8%","0.5%","116,359","3.7%","0.3%","1.4%","0.9%","N","N","N","N","N","22,723","1.0%","1.1%","2.8%","1.0%"
"        65 to 74 years","166,206","2.7%","0.3%","1.2%","0.1%","30,946","1.4%","0.2%","1.7%","0.1%","104,737","3.4%","0.3%","1.0%","0.1%","N","N","N","N","N","21,045","1.4%","0.3%","1.5%","0.0%"
"        75 years and over","137,146","3.1%","0.6%","1.2%","0.4%","19,998","4.1%","0.0%","2.6%","0.3%","95,098","3.5%","0.6%","1.0%","0.5%","N","N","N","N","N","14,250","0.6%","1.3%","1.6%","0.0%"
"        Median age (years)","41.8","31.5","39.9","28.4","33.8","44.9","32.3","36.2","53.8","41.4","40.6","31.4","39.4","26.5","33.9","43.5","32.1","51.1","47.6","34.2","43.5","30.4","31.3","38.2","23.9"
"    SEX","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Male","712,814","6.4%","0.6%","4.5%","1.0%","101,735","7.3%","0.1%","2.4%","0.6%","493,583","6.9%","0.5%","5.3%","1.1%","36,321","2.7%","1.6%","2.2%","1.2%","81,155","3.9%","1.6%","3.0%","1.3%"
"        Female","707,198","6.1%","0.5%","3.8%","0.9%","102,470","7.3%","0.2%","3.1%","0.5%","485,376","6.5%","0.4%","4.1%","1.1%","37,176","2.2%","1.5%","2.7%","0.2%","82,176","4.6%","1.1%","3.1%","0.5%"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","","","","","","",""
