"Label (Grouping)","Hawaii!!Total!!Estimate","Hawaii!!Moved; within same county!!Estimate","Hawaii!!Moved; from different county, same state!!Estimate","Hawaii!!Moved; from different  state!!Estimate","Hawaii!!Moved; from abroad!!Estimate","Hawaii County, Hawaii!!Total!!Estimate","Hawaii County, Hawaii!!Moved; within same county!!Estimate","Hawaii County, Hawaii!!Moved; from different county, same state!!Estimate","Hawaii County, Hawaii!!Moved; from different  state!!Estimate","Hawaii County, Hawaii!!Moved; from abroad!!Estimate","Honolulu County, Hawaii!!Total!!Estimate","Honolulu County, Hawaii!!Moved; within same county!!Estimate","Honolulu County, Hawaii!!Moved; from different county, same state!!Estimate","Honolulu County, Hawaii!!Moved; from different  state!!Estimate","Honolulu County, Hawaii!!Moved; from abroad!!Estimate","Kauai County, Hawaii!!Total!!Estimate","Kauai County, Hawaii!!Moved; within same county!!Estimate","Kauai County, Hawaii!!Moved; from different county, same state!!Estimate","Kauai County, Hawaii!!Moved; from different  state!!Estimate","Kauai County, Hawaii!!Moved; from abroad!!Estimate","Maui County, Hawaii!!Total!!Estimate","Maui County, Hawaii!!Moved; within same county!!Estimate","Maui County, Hawaii!!Moved; from different county, same state!!Estimate","Maui County, Hawaii!!Moved; from different  state!!Estimate","Maui County, Hawaii!!Moved; from abroad!!Estimate"
"Population 1 year and over","1,396,819","7.9%","0.5%","3.6%","1.0%","199,818","6.8%","0.7%","2.8%","0.8%","961,194","8.6%","0.3%","3.9%","1.1%","N","N","N","N","N","164,450","6.1%","0.9%","2.7%","1.4%"
"    AGE","","","","","","","","","","","","","","","","","","","","","","","","",""
"        1 to 4 years","66,282","13.3%","0.3%","4.2%","1.5%","9,719","12.2%","0.3%","0.9%","2.4%","46,733","15.1%","0.0%","5.6%","1.7%","N","N","N","N","N","6,600","7.9%","2.9%","0.8%","0.0%"
"        5 to 17 years","214,852","6.8%","0.4%","3.4%","0.6%","31,970","4.4%","1.1%","1.5%","0.0%","144,772","8.0%","0.2%","4.3%","0.8%","N","N","N","N","N","26,573","4.9%","0.5%","1.1%","0.2%"
"        18 to 24 years","119,017","12.0%","0.6%","7.0%","1.6%","14,257","9.0%","2.0%","5.1%","0.4%","88,983","13.5%","0.4%","8.1%","1.8%","N","N","N","N","N","10,657","5.9%","0.0%","3.4%","1.4%"
"        25 to 34 years","195,781","13.7%","1.1%","5.3%","1.8%","21,122","12.8%","1.2%","1.6%","2.7%","146,382","14.5%","1.1%","6.0%","1.8%","N","N","N","N","N","20,242","10.7%","0.2%","4.5%","1.6%"
"        35 to 44 years","185,133","9.7%","0.4%","5.1%","2.0%","25,683","14.6%","1.0%","3.7%","1.7%","125,615","9.8%","0.2%","5.5%","2.0%","N","N","N","N","N","23,890","6.9%","0.2%","4.7%","3.3%"
"        45 to 54 years","168,179","5.7%","0.3%","2.7%","0.4%","23,432","2.9%","0.5%","3.2%","0.3%","115,080","5.7%","0.2%","2.2%","0.4%","N","N","N","N","N","21,069","7.5%","0.9%","3.8%","0.8%"
"        55 to 64 years","178,105","5.1%","0.4%","1.9%","0.7%","29,610","3.8%","0.2%","4.1%","0.3%","115,773","5.7%","0.1%","1.2%","0.6%","N","N","N","N","N","23,099","3.7%","2.0%","2.4%","2.2%"
"        65 to 74 years","153,238","3.6%","0.3%","1.6%","0.4%","27,945","3.6%","0.3%","2.4%","0.3%","96,296","3.4%","0.4%","1.4%","0.4%","N","N","N","N","N","19,939","4.7%","0.3%","1.4%","0.1%"
