"Label (Grouping)","Hawaii!!Total!!Estimate","Hawaii!!Moved; within same county!!Estimate","Hawaii!!Moved; from different county, same state!!Estimate","Hawaii!!Moved; from different  state!!Estimate","Hawaii!!Moved; from abroad!!Estimate","Hawaii County, Hawaii!!Total!!Estimate","Hawaii County, Hawaii!!Moved; within same county!!Estimate","Hawaii County, Hawaii!!Moved; from different county, same state!!Estimate","Hawaii County, Hawaii!!Moved; from different  state!!Estimate","Hawaii County, Hawaii!!Moved; from abroad!!Estimate","Honolulu County, Hawaii!!Total!!Estimate","Honolulu County, Hawaii!!Moved; within same county!!Estimate","Honolulu County, Hawaii!!Moved; from different county, same state!!Estimate","Honolulu County, Hawaii!!Moved; from different  state!!Estimate","Honolulu County, Hawaii!!Moved; from abroad!!Estimate","Kauai County, Hawaii!!Total!!Estimate","Kauai County, Hawaii!!Moved; within same county!!Estimate","Kauai County, Hawaii!!Moved; from different county, same state!!Estimate","Kauai County, Hawaii!!Moved; from different  state!!Estimate","Kauai County, Hawaii!!Moved; from abroad!!Estimate","Maui County, Hawaii!!Total!!Estimate","Maui County, Hawaii!!Moved; within same county!!Estimate","Maui County, Hawaii!!Moved; from different county, same state!!Estimate","Maui County, Hawaii!!Moved; from different  state!!Estimate","Maui County, Hawaii!!Moved; from abroad!!Estimate"
"Population 1 year and over","1,425,611","6.9%","0.6%","3.9%","0.8%","205,095","5.8%","0.4%","2.9%","0.4%","986,049","7.4%","0.5%","4.5%","1.0%","N","N","N","N","N","161,347","6.1%","1.1%","3.0%","0.6%"
"    AGE","","","","","","","","","","","","","","","","","","","","","","","","",""
"        1 to 4 years","64,342","11.4%","0.3%","7.4%","0.9%","9,536","10.3%","0.0%","0.8%","0.7%","46,437","11.4%","0.0%","9.2%","0.9%","N","N","N","N","N","5,648","16.4%","3.7%","8.0%","2.2%"
"        5 to 17 years","217,939","5.7%","0.2%","3.6%","1.0%","32,434","4.5%","0.0%","1.3%","1.0%","147,973","6.4%","0.0%","3.9%","1.3%","N","N","N","N","N","25,494","4.9%","0.8%","5.2%","0.1%"
"        18 to 24 years","119,487","9.2%","0.7%","9.9%","0.9%","13,672","15.0%","0.4%","4.0%","0.1%","89,854","8.4%","0.8%","11.9%","1.0%","N","N","N","N","N","10,537","4.8%","1.0%","5.1%","1.3%"
"        25 to 34 years","190,091","12.2%","0.6%","6.6%","1.6%","22,940","11.2%","0.6%","1.3%","0.0%","140,704","13.2%","0.3%","8.0%","2.0%","N","N","N","N","N","18,687","7.6%","2.2%","3.6%","0.6%"
"        35 to 44 years","192,131","8.1%","0.8%","3.4%","1.0%","26,270","4.7%","0.8%","2.6%","0.4%","132,732","9.1%","0.6%","4.1%","1.2%","N","N","N","N","N","23,157","7.3%","1.1%","1.8%","0.6%"
"        45 to 54 years","170,144","6.1%","0.6%","1.8%","0.8%","24,620","2.2%","0.3%","0.7%","0.7%","115,810","6.9%","0.4%","2.2%","1.0%","N","N","N","N","N","21,036","7.1%","1.0%","0.4%","0.4%"
"        55 to 64 years","176,823","4.9%","0.4%","2.7%","0.5%","27,547","4.3%","0.2%","8.0%","0.2%","117,225","5.4%","0.4%","1.8%","0.7%","N","N","N","N","N","22,198","4.3%","0.7%","2.3%","0.2%"
"        65 to 74 years","163,041","3.3%","0.7%","1.9%","0.3%","29,714","3.3%","0.7%","4.0%","0.1%","102,258","3.2%","0.8%","0.9%","0.3%","N","N","N","N","N","21,534","4.8%","0.2%","3.0%","1.3%"
"        75 years and over","131,613","3.3%","1.1%","1.3%","0.1%","18,362","4.7%","0.7%","1.9%","0.0%","93,056","2.6%","1.3%","1.2%","0.1%","N","N","N","N","N","13,056","4.6%","0.9%","1.7%","0.4%"
"        Median age (years)","41.2","32.5","45.4","28.1","30.7","44.3","29.8","49.4","58.6","12.7","40.1","31.9","57.2","25.9","30.5","43.8","33.9","35.9","47.1","-","43.7","38.5","33.7","29.7","39.8"
"    SEX","","","","","","","","","","","","","","","","","","","","","","","","",""
