"Label (Grouping)","Hawaii!!Total!!Estimate","Hawaii!!Moved; within same county!!Estimate","Hawaii!!Moved; from different county, same state!!Estimate","Hawaii!!Moved; from different  state!!Estimate","Hawaii!!Moved; from abroad!!Estimate","Hawaii County, Hawaii!!Total!!Estimate","Hawaii County, Hawaii!!Moved; within same county!!Estimate","Hawaii County, Hawaii!!Moved; from different county, same state!!Estimate","Hawaii County, Hawaii!!Moved; from different  state!!Estimate","Hawaii County, Hawaii!!Moved; from abroad!!Estimate","Honolulu County, Hawaii!!Total!!Estimate","Honolulu County, Hawaii!!Moved; within same county!!Estimate","Honolulu County, Hawaii!!Moved; from different county, same state!!Estimate","Honolulu County, Hawaii!!Moved; from different  state!!Estimate","Honolulu County, Hawaii!!Moved; from abroad!!Estimate","Kauai County, Hawaii!!Total!!Estimate","Kauai County, Hawaii!!Moved; within same county!!Estimate","Kauai County, Hawaii!!Moved; from different county, same state!!Estimate","Kauai County, Hawaii!!Moved; from different  state!!Estimate","Kauai County, Hawaii!!Moved; from abroad!!Estimate","Maui County, Hawaii!!Total!!Estimate","Maui County, Hawaii!!Moved; within same county!!Estimate","Maui County, Hawaii!!Moved; from different county, same state!!Estimate","Maui County, Hawaii!!Moved; from different  state!!Estimate","Maui County, Hawaii!!Moved; from abroad!!Estimate"
"Population 1 year and over","1,432,488","6.9%","0.5%","3.8%","0.9%","207,756","5.2%","0.8%","2.9%","0.8%","988,836","7.3%","0.3%","4.5%","1.1%","N","N","N","N","N","162,607","7.3%","0.9%","1.6%","0.0%"
"    AGE","","","","","","","","","","","","","","","","","","","","","","","","",""
"        1 to 4 years","62,399","10.7%","0.6%","4.7%","1.3%","8,140","10.5%","0.0%","1.3%","0.0%","43,895","11.7%","0.1%","6.4%","1.8%","N","N","N","N","N","7,502","4.7%","4.1%","0.0%","0.0%"
"        5 to 17 years","217,503","5.8%","0.3%","3.4%","0.8%","32,324","5.4%","1.1%","2.8%","0.6%","148,034","6.1%","0.1%","4.3%","1.1%","N","N","N","N","N","25,258","5.1%","0.9%","0.9%","0.0%"
"        18 to 24 years","115,613","12.8%","0.9%","10.9%","2.2%","14,733","12.6%","3.4%","9.6%","2.6%","85,551","13.9%","0.4%","12.8%","2.5%","N","N","N","N","N","10,487","9.5%","0.1%","1.9%","0.0%"
"        25 to 34 years","185,706","11.2%","0.5%","7.2%","1.2%","21,550","11.8%","0.6%","3.6%","0.0%","138,405","11.4%","0.2%","8.7%","1.6%","N","N","N","N","N","17,604","10.6%","1.5%","2.6%","0.0%"
"        35 to 44 years","197,164","8.7%","0.5%","3.1%","1.2%","27,630","5.8%","0.9%","1.4%","1.8%","135,692","9.3%","0.2%","4.1%","1.4%","N","N","N","N","N","23,197","7.8%","1.5%","0.4%","0.1%"
"        45 to 54 years","169,289","5.7%","0.4%","2.6%","0.5%","24,401","2.2%","0.2%","6.4%","1.1%","116,503","6.0%","0.3%","2.2%","0.4%","N","N","N","N","N","20,377","9.9%","0.1%","1.2%","0.0%"
"        55 to 64 years","173,509","4.3%","0.6%","1.9%","0.5%","26,422","2.5%","0.6%","1.4%","0.0%","116,685","3.9%","0.6%","1.7%","0.7%","N","N","N","N","N","21,762","7.3%","1.1%","2.6%","0.0%"
"        65 to 74 years","167,387","3.4%","0.2%","1.2%","0.4%","30,812","2.5%","0.5%","0.8%","0.4%","104,696","3.0%","0.1%","1.1%","0.4%","N","N","N","N","N","21,106","6.3%","0.2%","2.5%","0.2%"
"        75 years and over","143,918","2.6%","0.4%","0.9%","0.6%","21,744","1.0%","0.4%","1.3%","0.7%","99,375","2.9%","0.5%","0.8%","0.5%","N","N","N","N","N","15,314","4.1%","0.1%","1.4%","0.2%"
"        Median age (years)","42.0","32.0","40.2","27.1","30.2","44.8","30.2","20.0","32.0","40.4","40.6","30.9","55.2","26.1","29.4","43.3","36.5","40.0","59.1","78.1","43.7","43.3","34.3","55.7","70.7"
"    SEX","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Male","715,831","7.0%","0.4%","4.0%","0.8%","101,907","5.2%","1.1%","2.6%","0.5%","496,977","7.2%","0.2%","4.9%","1.1%","36,008","6.4%","0.3%","1.1%","0.1%","80,925","7.9%","0.9%","1.4%","0.1%"
"        Female","716,657","6.8%","0.5%","3.5%","0.9%","105,849","5.2%","0.5%","3.2%","1.1%","491,859","7.4%","0.3%","4.1%","1.1%","37,206","4.1%","2.5%","1.5%","0.2%","81,682","6.6%","0.9%","1.7%","0.0%"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","","","","","","",""
"        One race","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"            White","315,090","7.4%","0.5%","8.4%","1.0%","66,084","3.2%","0.5%","3.0%","0.6%","180,517","9.2%","0.4%","12.1%","1.4%","21,910","5.8%","1.4%","3.4%","0.5%","46,537","7.3%","0.6%","4.2%","0.1%"
"            Black or African American","25,307","5.3%","0.4%","14.8%","2.5%","N","N","N","N","N","22,462","5.0%","0.4%","16.4%","2.5%","N","N","N","N","N","N","N","N","N","N"
"            American Indian and Alaska Native","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"            Asian","521,962","5.1%","0.4%","1.6%","1.0%","44,746","2.0%","1.0%","3.9%","1.9%","409,835","5.2%","0.2%","1.5%","1.1%","N","N","N","N","N","N","N","N","N","N"
"            Native Hawaiian and Other Pacific Islander","136,582","9.8%","0.3%","1.8%","0.7%","N","N","N","N","N","86,491","11.7%","0.2%","2.3%","0.9%","N","N","N","N","N","15,907","3.0%","1.2%","0.2%","0.0%"
"            Some other race","24,964","13.5%","0.6%","7.1%","2.2%","N","N","N","N","N","14,019","5.9%","0.0%","11.6%","3.4%","N","N","N","N","N","N","N","N","N","N"
"        Two or more races","403,689","7.5%","0.6%","2.6%","0.6%","61,655","6.1%","1.5%","2.9%","0.2%","273,714","8.0%","0.3%","3.0%","0.8%","N","N","N","N","N","48,265","7.3%","0.8%","0.5%","0.0%"
"        Hispanic or Latino origin (of any race)","144,753","9.8%","1.0%","6.2%","1.1%","24,499","10.8%","2.1%","3.4%","0.0%","94,625","8.8%","0.2%","8.3%","1.7%","N","N","N","N","N","17,622","12.7%","3.4%","0.9%","0.0%"
"        White alone, not Hispanic or Latino","297,489","7.2%","0.6%","8.2%","1.0%","63,299","3.1%","0.6%","2.7%","0.6%","167,721","9.1%","0.5%","11.9%","1.4%","20,888","5.6%","1.5%","2.9%","0.5%","45,539","6.4%","0.6%","4.3%","0.1%"
"    NATIVITY AND CITIZENSHIP STATUS","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Native","1,163,680","6.9%","0.5%","4.1%","0.6%","181,964","5.5%","0.9%","2.7%","0.2%","783,839","7.4%","0.3%","5.0%","0.8%","N","N","N","N","N","133,426","7.0%","0.9%","1.8%","0.0%"
"        Foreign born","268,808","6.7%","0.2%","2.4%","2.3%","25,792","2.9%","0.4%","4.1%","4.7%","204,997","7.0%","0.1%","2.5%","2.4%","N","N","N","N","N","29,181","8.7%","0.8%","0.4%","0.3%"
"            Naturalized U.S. citizen","164,373","4.8%","0.1%","2.3%","0.5%","10,937","2.1%","0.9%","7.2%","0.0%","132,377","4.7%","0.1%","2.2%","0.6%","N","N","N","N","N","16,511","7.9%","0.1%","0.5%","0.0%"
"            Not a U.S. citizen","104,435","9.6%","0.3%","2.5%","5.3%","14,855","3.4%","0.0%","1.8%","8.1%","72,620","11.2%","0.2%","3.2%","5.7%","N","N","N","N","N","12,670","9.6%","1.7%","0.3%","0.6%"
"MARITAL STATUS","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 15 years and over","1,201,474","6.8%","0.5%","3.7%","0.9%","174,585","4.7%","0.8%","3.0%","0.8%","829,210","7.2%","0.3%","4.3%","1.1%","61,874","4.7%","1.7%","1.5%","0.2%","135,730","7.6%","0.8%","1.9%","0.1%"
"        Never married","419,960","9.2%","0.6%","4.5%","1.0%","57,798","7.3%","1.3%","4.3%","1.3%","293,066","10.0%","0.3%","5.3%","1.1%","25,194","5.1%","1.9%","1.5%","0.0%","43,894","8.7%","1.2%","1.3%","0.0%"
"        Now married, except separated","575,196","4.8%","0.3%","3.8%","1.0%","79,516","2.1%","0.3%","2.5%","0.6%","404,191","5.1%","0.2%","4.4%","1.2%","24,773","3.1%","1.8%","1.1%","0.4%","66,703","7.1%","0.3%","2.3%","0.0%"
"        Divorced or separated","135,563","9.1%","0.8%","2.3%","0.3%","25,149","6.2%","0.9%","2.9%","0.2%","84,650","9.9%","0.5%","2.7%","0.4%","8,059","9.9%","1.4%","0.4%","0.0%","17,656","8.4%","1.6%","0.8%","0.2%"
"        Widowed","70,755","3.9%","0.5%","1.0%","0.5%","12,122","6.5%","0.7%","0.0%","1.3%","47,303","3.3%","0.5%","0.4%","0.3%","3,848","1.4%","0.0%","6.8%","0.0%","7,477","4.5%","0.4%","3.5%","0.4%"
"EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 25 years and over","1,036,973","6.2%","0.5%","3.0%","0.7%","152,559","4.1%","0.5%","2.4%","0.7%","711,356","6.5%","0.3%","3.4%","0.9%","N","N","N","N","N","119,360","7.7%","0.8%","1.8%","0.1%"
"        Less than high school graduate","65,209","8.2%","0.5%","0.8%","0.7%","9,277","12.8%","0.9%","0.3%","1.3%","45,676","7.5%","0.5%","0.5%","0.7%","N","N","N","N","N","7,393","5.3%","0.3%","0.3%","0.0%"
"        High school graduate (includes equivalency)","281,576","6.5%","0.5%","1.7%","0.5%","46,904","4.9%","0.4%","1.5%","0.1%","180,636","7.5%","0.4%","2.1%","0.7%","N","N","N","N","N","37,004","5.1%","1.3%","0.5%","0.1%"
"        Some college or associate's degree","298,653","6.1%","0.5%","3.1%","0.6%","47,569","3.5%","0.7%","2.5%","0.3%","199,584","6.4%","0.3%","3.7%","0.8%","N","N","N","N","N","32,625","8.9%","0.6%","1.2%","0.0%"
"        Bachelor's degree","247,446","5.9%","0.3%","3.9%","0.7%","29,858","3.0%","0.1%","1.6%","1.0%","180,787","5.6%","0.2%","4.6%","0.8%","N","N","N","N","N","28,308","11.5%","0.5%","2.4%","0.0%"
"        Graduate or professional degree","144,089","5.4%","0.5%","4.7%","1.5%","18,951","1.5%","0.9%","6.6%","2.1%","104,673","6.0%","0.2%","4.2%","1.5%","N","N","N","N","N","14,030","5.5%","0.6%","5.8%","0.2%"
"INDIVIDUAL INCOME IN THE PAST 12 MONTHS (IN 2024 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 15 years and over","1,201,474","6.8%","0.5%","3.7%","0.9%","174,585","4.7%","0.8%","3.0%","0.8%","829,210","7.2%","0.3%","4.3%","1.1%","N","N","N","N","N","135,730","7.6%","0.8%","1.9%","0.1%"
"        $1 to $9,999 or loss","115,810","8.1%","0.4%","4.3%","1.5%","19,627","8.6%","0.1%","4.0%","1.8%","79,145","8.9%","0.4%","5.1%","1.7%","N","N","N","N","N","12,073","3.9%","1.0%","0.9%","0.1%"
"        $10,000 to $14,999","70,367","7.1%","1.5%","3.8%","1.4%","14,146","4.1%","3.6%","2.5%","0.5%","44,580","8.2%","0.5%","5.1%","2.1%","N","N","N","N","N","7,706","7.4%","2.5%","0.7%","0.0%"
"        $15,000 to $24,999","109,557","8.2%","1.0%","3.9%","0.7%","20,470","6.5%","0.2%","5.5%","0.9%","68,982","8.9%","1.1%","4.1%","0.9%","N","N","N","N","N","12,315","8.8%","0.4%","2.3%","0.0%"
