"Label (Grouping)","Puerto Rico!!Total!!Estimate","Puerto Rico!!Labor Force Participation Rate!!Estimate","Puerto Rico!!Employment/Population Ratio!!Estimate","Puerto Rico!!Unemployment rate!!Estimate","Arecibo Municipio, Puerto Rico!!Total!!Estimate","Arecibo Municipio, Puerto Rico!!Labor Force Participation Rate!!Estimate","Arecibo Municipio, Puerto Rico!!Employment/Population Ratio!!Estimate","Arecibo Municipio, Puerto Rico!!Unemployment rate!!Estimate","Bayamón Municipio, Puerto Rico!!Total!!Estimate","Bayamón Municipio, Puerto Rico!!Labor Force Participation Rate!!Estimate","Bayamón Municipio, Puerto Rico!!Employment/Population Ratio!!Estimate","Bayamón Municipio, Puerto Rico!!Unemployment rate!!Estimate","Caguas Municipio, Puerto Rico!!Total!!Estimate","Caguas Municipio, Puerto Rico!!Labor Force Participation Rate!!Estimate","Caguas Municipio, Puerto Rico!!Employment/Population Ratio!!Estimate","Caguas Municipio, Puerto Rico!!Unemployment rate!!Estimate","Carolina Municipio, Puerto Rico!!Total!!Estimate","Carolina Municipio, Puerto Rico!!Labor Force Participation Rate!!Estimate","Carolina Municipio, Puerto Rico!!Employment/Population Ratio!!Estimate","Carolina Municipio, Puerto Rico!!Unemployment rate!!Estimate","Guaynabo Municipio, Puerto Rico!!Total!!Estimate","Guaynabo Municipio, Puerto Rico!!Labor Force Participation Rate!!Estimate","Guaynabo Municipio, Puerto Rico!!Employment/Population Ratio!!Estimate","Guaynabo Municipio, Puerto Rico!!Unemployment rate!!Estimate","Mayagüez Municipio, Puerto Rico!!Total!!Estimate","Mayagüez Municipio, Puerto Rico!!Labor Force Participation Rate!!Estimate","Mayagüez Municipio, Puerto Rico!!Employment/Population Ratio!!Estimate","Mayagüez Municipio, Puerto Rico!!Unemployment rate!!Estimate","Ponce Municipio, Puerto Rico!!Total!!Estimate","Ponce Municipio, Puerto Rico!!Labor Force Participation Rate!!Estimate","Ponce Municipio, Puerto Rico!!Employment/Population Ratio!!Estimate","Ponce Municipio, Puerto Rico!!Unemployment rate!!Estimate","San Juan Municipio, Puerto Rico!!Total!!Estimate","San Juan Municipio, Puerto Rico!!Labor Force Participation Rate!!Estimate","San Juan Municipio, Puerto Rico!!Employment/Population Ratio!!Estimate","San Juan Municipio, Puerto Rico!!Unemployment rate!!Estimate","Toa Alta Municipio, Puerto Rico!!Total!!Estimate","Toa Alta Municipio, Puerto Rico!!Labor Force Participation Rate!!Estimate","Toa Alta Municipio, Puerto Rico!!Employment/Population Ratio!!Estimate","Toa Alta Municipio, Puerto Rico!!Unemployment rate!!Estimate","Toa Baja Municipio, Puerto Rico!!Total!!Estimate","Toa Baja Municipio, Puerto Rico!!Labor Force Participation Rate!!Estimate","Toa Baja Municipio, Puerto Rico!!Employment/Population Ratio!!Estimate","Toa Baja Municipio, Puerto Rico!!Unemployment rate!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Total!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Labor Force Participation Rate!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Employment/Population Ratio!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Unemployment rate!!Estimate"
"Population 16 years and over","2,777,060","47.1%","42.7%","9.2%","73,805","43.6%","38.3%","12.1%","157,057","48.7%","45.5%","6.4%","108,183","50.7%","46.2%","8.5%","131,602","52.2%","47.9%","8.1%","78,908","52.1%","49.7%","4.6%","60,646","42.5%","34.1%","19.8%","111,911","43.0%","35.3%","17.2%","290,600","50.7%","46.0%","9.1%","N","N","N","N","62,293","55.2%","52.2%","5.2%","N","N","N","N"
"    AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        16 to 19 years","150,959","20.8%","14.6%","29.6%","3,630","23.4%","12.0%","49.0%","7,357","32.4%","21.0%","35.3%","5,585","27.4%","15.3%","44.0%","6,796","19.0%","12.1%","36.6%","4,025","18.6%","16.2%","12.6%","4,090","27.8%","7.3%","73.8%","5,547","16.9%","13.2%","21.9%","14,570","17.7%","12.0%","31.8%","N","N","N","N","3,659","26.3%","21.5%","18.3%","N","N","N","N"
"        20 to 24 years","218,847","58.1%","47.9%","17.5%","5,292","60.7%","50.4%","17.0%","11,947","53.6%","51.8%","3.3%","8,117","61.7%","53.2%","13.8%","9,795","60.3%","46.8%","22.4%","4,854","39.7%","35.7%","10.0%","8,326","52.0%","36.3%","30.1%","9,666","60.2%","35.6%","40.9%","22,080","47.3%","38.7%","18.3%","N","N","N","N","4,415","78.3%","71.0%","7.4%","N","N","N","N"
"        25 to 29 years","203,334","77.7%","68.5%","11.6%","5,898","79.9%","73.6%","7.8%","13,633","70.3%","63.6%","9.6%","8,646","77.7%","63.7%","18.1%","10,620","90.0%","81.1%","9.9%","6,099","73.3%","68.0%","7.2%","4,338","74.0%","64.1%","13.5%","9,049","59.5%","57.7%","3.0%","23,017","78.2%","67.7%","12.1%","N","N","N","N","5,076","78.7%","77.3%","1.9%","N","N","N","N"
"        30 to 34 years","203,132","77.7%","69.5%","10.4%","5,821","84.1%","63.3%","24.8%","13,086","79.3%","75.4%","4.8%","8,687","85.4%","85.4%","0.0%","10,481","87.1%","75.7%","11.4%","6,315","85.7%","83.2%","2.9%","3,766","85.6%","77.2%","9.8%","8,465","72.1%","56.4%","21.9%","21,485","80.1%","66.2%","17.4%","N","N","N","N","5,105","77.2%","77.2%","0.0%","N","N","N","N"
"        35 to 44 years","396,783","79.5%","73.4%","7.4%","9,348","73.8%","68.2%","7.7%","21,162","78.0%","73.4%","5.9%","15,331","80.4%","74.5%","5.8%","17,064","85.1%","80.3%","5.6%","10,487","84.4%","79.7%","5.6%","6,570","78.7%","62.6%","20.4%","13,981","76.3%","64.9%","13.4%","37,992","84.5%","80.3%","4.7%","N","N","N","N","9,121","82.4%","78.4%","4.9%","N","N","N","N"
"        45 to 54 years","399,012","69.0%","65.1%","5.5%","11,153","59.0%","54.5%","7.6%","20,791","72.3%","68.6%","5.1%","16,401","68.1%","65.8%","3.4%","19,330","81.4%","79.1%","2.8%","10,817","80.9%","80.2%","0.9%","6,780","73.9%","64.0%","13.5%","14,705","73.2%","60.9%","15.2%","39,980","75.6%","71.4%","5.3%","N","N","N","N","9,123","77.8%","73.5%","5.6%","N","N","N","N"
"        55 to 59 years","212,268","51.9%","48.7%","6.2%","6,403","47.0%","43.3%","8.0%","12,359","59.1%","57.9%","2.1%","8,345","55.2%","47.2%","14.5%","9,012","63.3%","60.3%","4.7%","6,048","76.0%","71.6%","5.9%","4,195","39.8%","30.9%","22.4%","8,245","51.1%","45.2%","11.5%","20,299","66.3%","63.2%","4.7%","N","N","N","N","5,451","70.0%","68.6%","1.9%","N","N","N","N"
"        60 to 64 years","221,864","34.9%","32.3%","7.2%","5,355","21.6%","20.3%","6.0%","11,528","39.1%","37.4%","4.5%","8,282","41.7%","37.9%","9.0%","10,490","32.9%","32.3%","1.8%","6,668","52.9%","52.9%","0.0%","3,708","27.4%","24.3%","11.2%","8,366","27.6%","21.4%","22.5%","23,866","52.4%","45.7%","12.7%","N","N","N","N","3,898","45.4%","42.4%","6.6%","N","N","N","N"
