"Label (Grouping)","Puerto Rico!!Total!!Estimate","Puerto Rico!!Labor Force Participation Rate!!Estimate","Puerto Rico!!Employment/Population Ratio!!Estimate","Puerto Rico!!Unemployment rate!!Estimate","Arecibo Municipio, Puerto Rico!!Total!!Estimate","Arecibo Municipio, Puerto Rico!!Labor Force Participation Rate!!Estimate","Arecibo Municipio, Puerto Rico!!Employment/Population Ratio!!Estimate","Arecibo Municipio, Puerto Rico!!Unemployment rate!!Estimate","Bayamón Municipio, Puerto Rico!!Total!!Estimate","Bayamón Municipio, Puerto Rico!!Labor Force Participation Rate!!Estimate","Bayamón Municipio, Puerto Rico!!Employment/Population Ratio!!Estimate","Bayamón Municipio, Puerto Rico!!Unemployment rate!!Estimate","Caguas Municipio, Puerto Rico!!Total!!Estimate","Caguas Municipio, Puerto Rico!!Labor Force Participation Rate!!Estimate","Caguas Municipio, Puerto Rico!!Employment/Population Ratio!!Estimate","Caguas Municipio, Puerto Rico!!Unemployment rate!!Estimate","Carolina Municipio, Puerto Rico!!Total!!Estimate","Carolina Municipio, Puerto Rico!!Labor Force Participation Rate!!Estimate","Carolina Municipio, Puerto Rico!!Employment/Population Ratio!!Estimate","Carolina Municipio, Puerto Rico!!Unemployment rate!!Estimate","Guaynabo Municipio, Puerto Rico!!Total!!Estimate","Guaynabo Municipio, Puerto Rico!!Labor Force Participation Rate!!Estimate","Guaynabo Municipio, Puerto Rico!!Employment/Population Ratio!!Estimate","Guaynabo Municipio, Puerto Rico!!Unemployment rate!!Estimate","Mayagüez Municipio, Puerto Rico!!Total!!Estimate","Mayagüez Municipio, Puerto Rico!!Labor Force Participation Rate!!Estimate","Mayagüez Municipio, Puerto Rico!!Employment/Population Ratio!!Estimate","Mayagüez Municipio, Puerto Rico!!Unemployment rate!!Estimate","Ponce Municipio, Puerto Rico!!Total!!Estimate","Ponce Municipio, Puerto Rico!!Labor Force Participation Rate!!Estimate","Ponce Municipio, Puerto Rico!!Employment/Population Ratio!!Estimate","Ponce Municipio, Puerto Rico!!Unemployment rate!!Estimate","San Juan Municipio, Puerto Rico!!Total!!Estimate","San Juan Municipio, Puerto Rico!!Labor Force Participation Rate!!Estimate","San Juan Municipio, Puerto Rico!!Employment/Population Ratio!!Estimate","San Juan Municipio, Puerto Rico!!Unemployment rate!!Estimate","Toa Alta Municipio, Puerto Rico!!Total!!Estimate","Toa Alta Municipio, Puerto Rico!!Labor Force Participation Rate!!Estimate","Toa Alta Municipio, Puerto Rico!!Employment/Population Ratio!!Estimate","Toa Alta Municipio, Puerto Rico!!Unemployment rate!!Estimate","Toa Baja Municipio, Puerto Rico!!Total!!Estimate","Toa Baja Municipio, Puerto Rico!!Labor Force Participation Rate!!Estimate","Toa Baja Municipio, Puerto Rico!!Employment/Population Ratio!!Estimate","Toa Baja Municipio, Puerto Rico!!Unemployment rate!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Total!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Labor Force Participation Rate!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Employment/Population Ratio!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Unemployment rate!!Estimate"
"Population 16 years and over","2,699,404","45.1%","38.7%","14.1%","69,642","43.4%","34.6%","20.2%","145,194","49.8%","44.8%","9.6%","105,777","49.4%","44.6%","9.8%","124,812","51.5%","45.0%","12.6%","72,389","54.6%","49.7%","8.3%","61,564","41.4%","31.5%","23.8%","110,723","36.8%","33.2%","9.8%","272,665","52.0%","42.7%","17.8%","N","N","N","N","62,625","51.2%","44.5%","12.2%","N","N","N","N"
"    AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        16 to 19 years","173,135","15.9%","8.8%","44.4%","3,735","26.6%","15.6%","41.3%","8,819","24.1%","16.6%","31.2%","6,670","5.0%","4.6%","8.7%","6,817","18.2%","9.2%","49.2%","3,290","18.6%","14.9%","20.1%","4,986","9.5%","0.9%","90.3%","7,087","4.6%","0.8%","81.6%","16,309","20.3%","6.5%","67.7%","N","N","N","N","3,842","23.8%","20.3%","14.8%","N","N","N","N"
"        20 to 24 years","224,534","55.7%","37.6%","32.4%","5,981","59.7%","29.1%","51.2%","11,652","61.2%","52.8%","13.6%","8,208","58.5%","43.2%","26.1%","9,923","62.0%","40.3%","35.0%","5,376","74.2%","50.0%","32.6%","7,920","48.4%","23.0%","52.5%","9,285","37.2%","26.2%","29.6%","21,747","60.3%","37.4%","38.0%","N","N","N","N","5,026","56.3%","38.0%","32.5%","N","N","N","N"
"        25 to 29 years","203,972","71.3%","59.1%","16.7%","5,660","78.5%","62.6%","20.3%","12,814","72.5%","60.1%","15.8%","8,666","72.2%","69.4%","3.9%","10,512","82.8%","66.0%","20.3%","5,938","76.2%","70.1%","8.0%","4,229","68.1%","37.7%","44.6%","9,267","58.5%","55.0%","6.0%","21,582","73.1%","55.8%","23.5%","N","N","N","N","5,251","79.9%","68.0%","11.9%","N","N","N","N"
"        30 to 34 years","181,558","76.5%","66.2%","13.3%","4,549","84.0%","70.6%","16.0%","10,562","78.9%","75.1%","4.8%","7,379","82.0%","73.4%","10.4%","8,088","97.9%","95.3%","2.6%","4,954","85.7%","83.1%","1.6%","3,775","76.6%","54.8%","28.4%","7,658","48.4%","44.5%","8.0%","18,357","79.7%","65.6%","17.7%","N","N","N","N","4,575","87.0%","81.4%","6.4%","N","N","N","N"
"        35 to 44 years","395,192","75.1%","65.5%","12.4%","9,577","75.1%","64.4%","14.3%","20,008","80.8%","71.8%","10.0%","15,718","82.6%","74.0%","10.4%","17,864","86.2%","77.3%","10.3%","10,209","85.6%","78.7%","7.0%","6,745","79.3%","65.5%","17.3%","14,649","65.4%","58.7%","10.3%","37,127","80.0%","66.2%","16.7%","N","N","N","N","9,742","81.1%","66.7%","16.4%","N","N","N","N"
"        45 to 54 years","412,923","65.4%","59.6%","8.6%","11,057","57.5%","51.4%","10.7%","20,462","71.7%","66.1%","7.8%","16,730","74.0%","69.1%","6.6%","19,339","71.7%","64.7%","9.8%","10,945","76.0%","70.0%","6.1%","7,354","66.0%","59.7%","9.5%","15,357","58.5%","53.9%","7.9%","39,825","78.8%","69.8%","11.5%","N","N","N","N","9,320","67.1%","64.4%","3.9%","N","N","N","N"
"        55 to 59 years","215,519","47.2%","42.5%","9.8%","6,027","26.0%","17.8%","31.5%","12,043","58.8%","55.5%","5.7%","8,533","62.9%","58.2%","7.4%","8,460","44.8%","39.9%","10.8%","5,824","66.0%","63.5%","3.7%","4,624","61.2%","60.4%","1.2%","8,556","40.9%","38.6%","5.4%","21,371","65.1%","57.4%","11.7%","N","N","N","N","5,148","60.5%","54.3%","8.4%","N","N","N","N"
"        60 to 64 years","212,906","29.2%","27.4%","6.1%","4,699","24.1%","20.7%","14.2%","10,671","36.4%","33.9%","6.9%","7,776","33.7%","29.8%","11.5%","9,793","42.1%","42.1%","0.0%","6,513","45.8%","43.7%","4.7%","4,164","30.5%","28.5%","6.8%","8,790","29.7%","27.9%","6.2%","21,564","49.3%","45.8%","7.1%","N","N","N","N","4,635","40.6%","35.3%","13.2%","N","N","N","N"
