"Label (Grouping)","Puerto Rico!!Total!!Estimate","Puerto Rico!!Labor Force Participation Rate!!Estimate","Puerto Rico!!Employment/Population Ratio!!Estimate","Puerto Rico!!Unemployment rate!!Estimate","Arecibo Municipio, Puerto Rico!!Total!!Estimate","Arecibo Municipio, Puerto Rico!!Labor Force Participation Rate!!Estimate","Arecibo Municipio, Puerto Rico!!Employment/Population Ratio!!Estimate","Arecibo Municipio, Puerto Rico!!Unemployment rate!!Estimate","Bayamón Municipio, Puerto Rico!!Total!!Estimate","Bayamón Municipio, Puerto Rico!!Labor Force Participation Rate!!Estimate","Bayamón Municipio, Puerto Rico!!Employment/Population Ratio!!Estimate","Bayamón Municipio, Puerto Rico!!Unemployment rate!!Estimate","Caguas Municipio, Puerto Rico!!Total!!Estimate","Caguas Municipio, Puerto Rico!!Labor Force Participation Rate!!Estimate","Caguas Municipio, Puerto Rico!!Employment/Population Ratio!!Estimate","Caguas Municipio, Puerto Rico!!Unemployment rate!!Estimate","Carolina Municipio, Puerto Rico!!Total!!Estimate","Carolina Municipio, Puerto Rico!!Labor Force Participation Rate!!Estimate","Carolina Municipio, Puerto Rico!!Employment/Population Ratio!!Estimate","Carolina Municipio, Puerto Rico!!Unemployment rate!!Estimate","Guaynabo Municipio, Puerto Rico!!Total!!Estimate","Guaynabo Municipio, Puerto Rico!!Labor Force Participation Rate!!Estimate","Guaynabo Municipio, Puerto Rico!!Employment/Population Ratio!!Estimate","Guaynabo Municipio, Puerto Rico!!Unemployment rate!!Estimate","Mayagüez Municipio, Puerto Rico!!Total!!Estimate","Mayagüez Municipio, Puerto Rico!!Labor Force Participation Rate!!Estimate","Mayagüez Municipio, Puerto Rico!!Employment/Population Ratio!!Estimate","Mayagüez Municipio, Puerto Rico!!Unemployment rate!!Estimate","Ponce Municipio, Puerto Rico!!Total!!Estimate","Ponce Municipio, Puerto Rico!!Labor Force Participation Rate!!Estimate","Ponce Municipio, Puerto Rico!!Employment/Population Ratio!!Estimate","Ponce Municipio, Puerto Rico!!Unemployment rate!!Estimate","San Juan Municipio, Puerto Rico!!Total!!Estimate","San Juan Municipio, Puerto Rico!!Labor Force Participation Rate!!Estimate","San Juan Municipio, Puerto Rico!!Employment/Population Ratio!!Estimate","San Juan Municipio, Puerto Rico!!Unemployment rate!!Estimate","Toa Alta Municipio, Puerto Rico!!Total!!Estimate","Toa Alta Municipio, Puerto Rico!!Labor Force Participation Rate!!Estimate","Toa Alta Municipio, Puerto Rico!!Employment/Population Ratio!!Estimate","Toa Alta Municipio, Puerto Rico!!Unemployment rate!!Estimate","Toa Baja Municipio, Puerto Rico!!Total!!Estimate","Toa Baja Municipio, Puerto Rico!!Labor Force Participation Rate!!Estimate","Toa Baja Municipio, Puerto Rico!!Employment/Population Ratio!!Estimate","Toa Baja Municipio, Puerto Rico!!Unemployment rate!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Total!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Labor Force Participation Rate!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Employment/Population Ratio!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Unemployment rate!!Estimate"
"Population 16 years and over","2,781,341","46.6%","41.9%","9.9%","74,627","44.2%","39.0%","11.3%","157,078","47.4%","43.5%","7.9%","108,622","48.5%","45.2%","6.9%","131,921","54.2%","48.4%","10.4%","79,011","53.6%","50.3%","5.8%","61,568","43.2%","33.7%","21.7%","112,365","38.4%","33.5%","12.2%","290,849","52.8%","47.4%","9.8%","56,846","55.8%","50.1%","9.4%","63,091","56.3%","51.5%","8.4%","N","N","N","N"
"    AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        16 to 19 years","160,132","20.2%","13.3%","34.2%","3,762","17.1%","13.7%","20.3%","7,553","13.2%","10.6%","19.8%","5,361","13.4%","12.1%","9.5%","7,212","20.6%","8.2%","60.4%","4,164","14.8%","6.9%","53.3%","4,694","30.3%","17.4%","42.7%","6,022","11.2%","6.7%","40.5%","14,936","25.0%","15.4%","38.5%","3,266","31.2%","13.8%","55.8%","2,893","16.2%","8.4%","48.5%","N","N","N","N"
"        20 to 24 years","216,771","58.9%","46.9%","19.8%","6,093","64.8%","52.3%","19.3%","12,241","55.2%","45.1%","18.3%","9,171","52.7%","47.9%","9.1%","10,030","70.6%","58.5%","13.1%","5,258","53.1%","46.1%","13.3%","8,143","53.1%","42.5%","20.0%","9,002","48.7%","34.6%","26.4%","22,569","66.4%","54.1%","17.3%","4,768","51.4%","43.5%","15.2%","5,802","80.4%","65.7%","18.3%","N","N","N","N"
"        25 to 29 years","210,557","75.7%","65.3%","13.7%","5,955","72.5%","57.8%","20.3%","13,647","66.4%","60.0%","9.6%","8,717","66.7%","62.3%","6.7%","10,768","87.4%","71.0%","18.8%","6,211","83.9%","69.2%","14.8%","4,355","80.1%","55.0%","31.3%","9,119","58.3%","48.5%","16.7%","22,930","74.3%","65.0%","12.5%","5,155","93.9%","81.2%","13.5%","5,067","92.5%","73.8%","20.2%","N","N","N","N"
"        30 to 34 years","195,277","78.6%","70.6%","9.9%","5,645","81.5%","71.8%","8.4%","12,679","73.4%","65.5%","9.5%","8,395","94.2%","85.1%","9.6%","10,115","88.3%","77.7%","12.0%","6,042","88.7%","83.5%","5.8%","3,781","74.0%","53.4%","27.8%","8,334","67.7%","59.8%","11.7%","21,140","85.9%","79.3%","7.7%","5,069","73.6%","68.4%","7.1%","5,068","94.0%","89.8%","4.5%","N","N","N","N"
"        35 to 44 years","398,749","76.4%","70.0%","8.0%","9,482","69.0%","65.5%","5.2%","21,268","85.1%","80.8%","4.0%","15,392","78.7%","73.1%","7.0%","17,232","83.4%","78.0%","6.5%","10,538","75.8%","74.4%","1.8%","6,613","81.6%","62.7%","21.9%","14,249","67.9%","63.2%","6.9%","38,288","81.7%","70.9%","13.0%","8,414","87.5%","77.3%","9.7%","9,222","75.6%","72.1%","4.6%","N","N","N","N"
"        45 to 54 years","404,722","69.2%","64.5%","6.5%","11,298","67.7%","60.3%","10.9%","20,941","71.9%","65.6%","8.7%","16,507","72.0%","68.5%","4.9%","19,533","81.0%","74.6%","7.9%","10,957","80.3%","78.8%","1.8%","6,920","69.1%","61.1%","11.6%","14,942","62.6%","55.3%","11.1%","40,422","80.9%","76.4%","5.1%","9,408","81.2%","78.6%","1.7%","9,205","79.8%","77.5%","2.1%","N","N","N","N"
"        55 to 59 years","215,212","52.0%","48.7%","5.8%","5,689","46.9%","42.3%","9.7%","10,999","55.9%","54.6%","2.4%","7,723","62.6%","59.1%","5.6%","9,456","64.8%","62.3%","3.8%","7,382","69.8%","68.3%","2.2%","3,652","46.8%","42.9%","8.3%","8,294","53.0%","48.6%","8.4%","21,154","66.5%","62.6%","5.8%","5,095","53.3%","50.3%","5.7%","3,962","56.2%","50.6%","10.0%","N","N","N","N"
"        60 to 64 years","223,075","31.7%","30.0%","5.4%","6,034","25.7%","24.9%","3.0%","13,297","39.3%","39.0%","0.9%","8,976","31.0%","27.9%","9.8%","10,043","44.4%","41.3%","7.0%","5,475","48.3%","46.0%","4.6%","4,569","34.6%","22.8%","33.9%","8,850","22.1%","20.1%","9.1%","23,745","45.7%","43.2%","5.6%","4,272","32.3%","29.8%","7.7%","5,600","46.6%","45.7%","2.1%","N","N","N","N"
