"Label (Grouping)","Puerto Rico!!Occupied housing units!!Estimate","Puerto Rico!!Percent occupied housing units!!Estimate","Puerto Rico!!Owner-occupied housing units!!Estimate","Puerto Rico!!Percent owner-occupied housing units!!Estimate","Puerto Rico!!Renter-occupied housing units!!Estimate","Puerto Rico!!Percent renter-occupied housing units!!Estimate","Arecibo Municipio, Puerto Rico!!Occupied housing units!!Estimate","Arecibo Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Arecibo Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Arecibo Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Arecibo Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Arecibo Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Bayamón Municipio, Puerto Rico!!Occupied housing units!!Estimate","Bayamón Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Bayamón Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Bayamón Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Bayamón Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Bayamón Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Caguas Municipio, Puerto Rico!!Occupied housing units!!Estimate","Caguas Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Caguas Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Caguas Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Caguas Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Caguas Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Carolina Municipio, Puerto Rico!!Occupied housing units!!Estimate","Carolina Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Carolina Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Carolina Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Carolina Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Carolina Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Guaynabo Municipio, Puerto Rico!!Occupied housing units!!Estimate","Guaynabo Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Guaynabo Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Guaynabo Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Guaynabo Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Guaynabo Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Mayagüez Municipio, Puerto Rico!!Occupied housing units!!Estimate","Mayagüez Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Mayagüez Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Mayagüez Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Mayagüez Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Mayagüez Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Ponce Municipio, Puerto Rico!!Occupied housing units!!Estimate","Ponce Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Ponce Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Ponce Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Ponce Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Ponce Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","San Juan Municipio, Puerto Rico!!Occupied housing units!!Estimate","San Juan Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","San Juan Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","San Juan Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","San Juan Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","San Juan Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Toa Alta Municipio, Puerto Rico!!Occupied housing units!!Estimate","Toa Alta Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Toa Alta Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Toa Alta Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Toa Alta Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Toa Alta Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Toa Baja Municipio, Puerto Rico!!Occupied housing units!!Estimate","Toa Baja Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Toa Baja Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Toa Baja Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Toa Baja Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Toa Baja Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Occupied housing units!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate"
"Occupied housing units","1,165,982","1,165,982","800,555","800,555","365,427","365,427","28,742","28,742","16,778","16,778","11,964","11,964","66,385","66,385","45,673","45,673","20,712","20,712","47,586","47,586","31,865","31,865","15,721","15,721","58,930","58,930","39,719","39,719","19,211","19,211","32,826","32,826","24,346","24,346","8,480","8,480","27,447","27,447","13,709","13,709","13,738","13,738","50,007","50,007","35,773","35,773","14,234","14,234","135,865","135,865","70,013","70,013","65,852","65,852","20,918","20,918","17,421","17,421","3,497","3,497","28,276","28,276","20,613","20,613","7,663","7,663","24,898","24,898","20,727","20,727","4,171","4,171"
"    HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than $5,000","157,719","13.5%","63,406","7.9%","94,313","25.8%","5,399","18.8%","2,063","12.3%","3,336","27.9%","8,593","12.9%","2,993","6.6%","5,600","27.0%","5,426","11.4%","2,361","7.4%","3,065","19.5%","5,197","8.8%","1,867","4.7%","3,330","17.3%","2,906","8.9%","1,088","4.5%","1,818","21.4%","5,021","18.3%","775","5.7%","4,246","30.9%","9,790","19.6%","4,337","12.1%","5,453","38.3%","25,390","18.7%","4,547","6.5%","20,843","31.7%","2,031","9.7%","1,304","7.5%","727","20.8%","2,393","8.5%","1,267","6.1%","1,126","14.7%","1,472","5.9%","1,030","5.0%","442","10.6%"
"        $5,000 to $9,999","128,780","11.0%","76,353","9.5%","52,427","14.3%","3,807","13.2%","1,812","10.8%","1,995","16.7%","6,057","9.1%","3,718","8.1%","2,339","11.3%","4,605","9.7%","2,071","6.5%","2,534","16.1%","4,015","6.8%","1,922","4.8%","2,093","10.9%","1,259","3.8%","764","3.1%","495","5.8%","3,772","13.7%","1,655","12.1%","2,117","15.4%","6,869","13.7%","4,237","11.8%","2,632","18.5%","15,260","11.2%","4,733","6.8%","10,527","16.0%","1,400","6.7%","808","4.6%","592","16.9%","2,507","8.9%","1,994","9.7%","513","6.7%","1,087","4.4%","799","3.9%","288","6.9%"
"        $10,000 to $14,999","132,217","11.3%","85,752","10.7%","46,465","12.7%","2,963","10.3%","1,650","9.8%","1,313","11.0%","7,370","11.1%","4,398","9.6%","2,972","14.3%","5,095","10.7%","2,693","8.5%","2,402","15.3%","5,519","9.4%","3,489","8.8%","2,030","10.6%","1,989","6.1%","961","3.9%","1,028","12.1%","3,978","14.5%","2,071","15.1%","1,907","13.9%","5,906","11.8%","4,448","12.4%","1,458","10.2%","11,611","8.5%","5,359","7.7%","6,252","9.5%","2,451","11.7%","1,433","8.2%","1,018","29.1%","2,156","7.6%","1,393","6.8%","763","10.0%","2,869","11.5%","1,802","8.7%","1,067","25.6%"
"        $15,000 to $19,999","118,108","10.1%","82,047","10.2%","36,061","9.9%","3,288","11.4%","1,685","10.0%","1,603","13.4%","5,543","8.3%","3,510","7.7%","2,033","9.8%","3,668","7.7%","2,180","6.8%","1,488","9.5%","4,835","8.2%","3,128","7.9%","1,707","8.9%","2,937","8.9%","2,365","9.7%","572","6.7%","3,923","14.3%","2,720","19.8%","1,203","8.8%","3,877","7.8%","3,148","8.8%","729","5.1%","10,892","8.0%","5,721","8.2%","5,171","7.9%","1,914","9.2%","1,711","9.8%","203","5.8%","3,047","10.8%","2,112","10.2%","935","12.2%","1,426","5.7%","1,247","6.0%","179","4.3%"
"        $20,000 to $24,999","95,934","8.2%","68,226","8.5%","27,708","7.6%","1,879","6.5%","1,249","7.4%","630","5.3%","4,561","6.9%","3,588","7.9%","973","4.7%","4,237","8.9%","2,586","8.1%","1,651","10.5%","5,482","9.3%","3,814","9.6%","1,668","8.7%","2,195","6.7%","1,204","4.9%","991","11.7%","2,639","9.6%","1,023","7.5%","1,616","11.8%","3,611","7.2%","2,478","6.9%","1,133","8.0%","9,394","6.9%","4,967","7.1%","4,427","6.7%","2,356","11.3%","1,981","11.4%","375","10.7%","2,566","9.1%","1,882","9.1%","684","8.9%","1,838","7.4%","1,404","6.8%","434","10.4%"
"        $25,000 to $34,999","148,970","12.8%","106,884","13.4%","42,086","11.5%","2,962","10.3%","2,233","13.3%","729","6.1%","8,831","13.3%","6,594","14.4%","2,237","10.8%","6,385","13.4%","4,784","15.0%","1,601","10.2%","8,279","14.0%","5,634","14.2%","2,645","13.8%","3,097","9.4%","2,700","11.1%","397","4.7%","2,738","10.0%","1,501","10.9%","1,237","9.0%","5,713","11.4%","3,986","11.1%","1,727","12.1%","13,998","10.3%","7,207","10.3%","6,791","10.3%","2,635","12.6%","2,536","14.6%","99","2.8%","3,158","11.2%","2,081","10.1%","1,077","14.1%","3,187","12.8%","2,670","12.9%","517","12.4%"
"        $35,000 to $49,999","140,432","12.0%","110,112","13.8%","30,320","8.3%","4,403","15.3%","2,559","15.3%","1,844","15.4%","9,322","14.0%","7,442","16.3%","1,880","9.1%","6,620","13.9%","5,259","16.5%","1,361","8.7%","7,870","13.4%","5,426","13.7%","2,444","12.7%","3,310","10.1%","2,742","11.3%","568","6.7%","2,123","7.7%","1,216","8.9%","907","6.6%","5,187","10.4%","4,806","13.4%","381","2.7%","13,113","9.7%","8,766","12.5%","4,347","6.6%","2,326","11.1%","2,018","11.6%","308","8.8%","4,870","17.2%","3,468","16.8%","1,402","18.3%","4,807","19.3%","4,162","20.1%","645","15.5%"
"        $50,000 to $74,999","124,418","10.7%","102,083","12.8%","22,335","6.1%","2,822","9.8%","2,363","14.1%","459","3.8%","8,616","13.0%","6,787","14.9%","1,829","8.8%","5,229","11.0%","4,219","13.2%","1,010","6.4%","9,239","15.7%","7,795","19.6%","1,444","7.5%","5,675","17.3%","4,268","17.5%","1,407","16.6%","1,462","5.3%","1,166","8.5%","296","2.2%","4,978","10.0%","4,481","12.5%","497","3.5%","14,113","10.4%","10,284","14.7%","3,829","5.8%","3,042","14.5%","3,042","17.5%","0","0.0%","4,291","15.2%","3,636","17.6%","655","8.5%","3,355","13.5%","3,258","15.7%","97","2.3%"
