"Label (Grouping)","Puerto Rico!!Occupied housing units!!Estimate","Puerto Rico!!Percent occupied housing units!!Estimate","Puerto Rico!!Owner-occupied housing units!!Estimate","Puerto Rico!!Percent owner-occupied housing units!!Estimate","Puerto Rico!!Renter-occupied housing units!!Estimate","Puerto Rico!!Percent renter-occupied housing units!!Estimate","Arecibo Municipio, Puerto Rico!!Occupied housing units!!Estimate","Arecibo Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Arecibo Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Arecibo Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Arecibo Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Arecibo Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Bayamón Municipio, Puerto Rico!!Occupied housing units!!Estimate","Bayamón Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Bayamón Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Bayamón Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Bayamón Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Bayamón Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Caguas Municipio, Puerto Rico!!Occupied housing units!!Estimate","Caguas Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Caguas Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Caguas Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Caguas Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Caguas Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Carolina Municipio, Puerto Rico!!Occupied housing units!!Estimate","Carolina Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Carolina Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Carolina Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Carolina Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Carolina Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Guaynabo Municipio, Puerto Rico!!Occupied housing units!!Estimate","Guaynabo Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Guaynabo Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Guaynabo Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Guaynabo Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Guaynabo Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Mayagüez Municipio, Puerto Rico!!Occupied housing units!!Estimate","Mayagüez Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Mayagüez Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Mayagüez Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Mayagüez Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Mayagüez Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Ponce Municipio, Puerto Rico!!Occupied housing units!!Estimate","Ponce Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Ponce Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Ponce Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Ponce Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Ponce Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","San Juan Municipio, Puerto Rico!!Occupied housing units!!Estimate","San Juan Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","San Juan Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","San Juan Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","San Juan Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","San Juan Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Toa Alta Municipio, Puerto Rico!!Occupied housing units!!Estimate","Toa Alta Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Toa Alta Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Toa Alta Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Toa Alta Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Toa Alta Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Toa Baja Municipio, Puerto Rico!!Occupied housing units!!Estimate","Toa Baja Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Toa Baja Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Toa Baja Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Toa Baja Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Toa Baja Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Occupied housing units!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate"
"Occupied housing units","1,242,609","1,242,609","861,048","861,048","381,561","381,561","34,226","34,226","25,190","25,190","9,036","9,036","74,027","74,027","53,350","53,350","20,677","20,677","43,487","43,487","29,402","29,402","14,085","14,085","62,211","62,211","40,342","40,342","21,869","21,869","35,502","35,502","27,809","27,809","7,693","7,693","27,436","27,436","13,229","13,229","14,207","14,207","56,424","56,424","37,612","37,612","18,812","18,812","146,279","146,279","79,971","79,971","66,308","66,308","23,785","23,785","18,943","18,943","4,842","4,842","28,674","28,674","18,437","18,437","10,237","10,237","25,028","25,028","17,229","17,229","7,799","7,799"
"    HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2024 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than $5,000","128,394","10.3%","55,683","6.5%","72,711","19.1%","4,412","12.9%","2,646","10.5%","1,766","19.5%","7,622","10.3%","2,365","4.4%","5,257","25.4%","4,805","11.0%","1,104","3.8%","3,701","26.3%","3,916","6.3%","1,545","3.8%","2,371","10.8%","2,096","5.9%","1,111","4.0%","985","12.8%","5,924","21.6%","994","7.5%","4,930","34.7%","8,941","15.8%","2,993","8.0%","5,948","31.6%","18,907","12.9%","3,618","4.5%","15,289","23.1%","1,836","7.7%","1,140","6.0%","696","14.4%","1,872","6.5%","994","5.4%","878","8.6%","1,298","5.2%","734","4.3%","564","7.2%"
"        $5,000 to $9,999","99,510","8.0%","57,281","6.7%","42,229","11.1%","2,873","8.4%","1,808","7.2%","1,065","11.8%","4,539","6.1%","3,294","6.2%","1,245","6.0%","2,560","5.9%","1,194","4.1%","1,366","9.7%","3,307","5.3%","1,263","3.1%","2,044","9.3%","2,322","6.5%","1,607","5.8%","715","9.3%","3,172","11.6%","1,338","10.1%","1,834","12.9%","6,283","11.1%","2,626","7.0%","3,657","19.4%","8,918","6.1%","2,932","3.7%","5,986","9.0%","1,189","5.0%","1,006","5.3%","183","3.8%","2,417","8.4%","1,654","9.0%","763","7.5%","1,158","4.6%","762","4.4%","396","5.1%"
"        $10,000 to $14,999","136,367","11.0%","86,978","10.1%","49,389","12.9%","3,965","11.6%","2,286","9.1%","1,679","18.6%","6,592","8.9%","5,425","10.2%","1,167","5.6%","3,544","8.1%","2,168","7.4%","1,376","9.8%","5,910","9.5%","3,886","9.6%","2,024","9.3%","2,058","5.8%","1,182","4.3%","876","11.4%","3,429","12.5%","1,197","9.0%","2,232","15.7%","6,334","11.2%","4,380","11.6%","1,954","10.4%","12,913","8.8%","4,762","6.0%","8,151","12.3%","2,396","10.1%","1,610","8.5%","786","16.2%","3,614","12.6%","1,508","8.2%","2,106","20.6%","2,702","10.8%","1,666","9.7%","1,036","13.3%"
"        $15,000 to $19,999","115,707","9.3%","77,608","9.0%","38,099","10.0%","3,976","11.6%","2,933","11.6%","1,043","11.5%","6,850","9.3%","4,612","8.6%","2,238","10.8%","3,846","8.8%","2,350","8.0%","1,496","10.6%","4,965","8.0%","1,876","4.7%","3,089","14.1%","1,837","5.2%","1,327","4.8%","510","6.6%","2,728","9.9%","1,673","12.6%","1,055","7.4%","5,139","9.1%","3,114","8.3%","2,025","10.8%","11,498","7.9%","5,143","6.4%","6,355","9.6%","1,027","4.3%","748","3.9%","279","5.8%","2,240","7.8%","1,401","7.6%","839","8.2%","1,978","7.9%","845","4.9%","1,133","14.5%"
"        $20,000 to $24,999","106,423","8.6%","72,833","8.5%","33,590","8.8%","3,188","9.3%","2,588","10.3%","600","6.6%","5,677","7.7%","4,266","8.0%","1,411","6.8%","3,200","7.4%","2,613","8.9%","587","4.2%","5,351","8.6%","3,780","9.4%","1,571","7.2%","2,365","6.7%","1,712","6.2%","653","8.5%","2,323","8.5%","1,272","9.6%","1,051","7.4%","3,751","6.6%","2,775","7.4%","976","5.2%","11,888","8.1%","5,927","7.4%","5,961","9.0%","1,638","6.9%","1,514","8.0%","124","2.6%","1,907","6.7%","1,589","8.6%","318","3.1%","2,065","8.3%","1,071","6.2%","994","12.7%"
"        $25,000 to $34,999","150,465","12.1%","109,108","12.7%","41,357","10.8%","4,367","12.8%","3,184","12.6%","1,183","13.1%","7,996","10.8%","5,797","10.9%","2,199","10.6%","4,471","10.3%","2,867","9.8%","1,604","11.4%","7,065","11.4%","4,492","11.1%","2,573","11.8%","4,016","11.3%","3,311","11.9%","705","9.2%","2,470","9.0%","1,424","10.8%","1,046","7.4%","7,822","13.9%","6,344","16.9%","1,478","7.9%","16,843","11.5%","9,517","11.9%","7,326","11.0%","2,573","10.8%","1,888","10.0%","685","14.1%","2,900","10.1%","1,955","10.6%","945","9.2%","2,476","9.9%","1,478","8.6%","998","12.8%"
"        $35,000 to $49,999","166,344","13.4%","125,022","14.5%","41,322","10.8%","4,342","12.7%","3,808","15.1%","534","5.9%","11,168","15.1%","9,044","17.0%","2,124","10.3%","5,634","13.0%","4,785","16.3%","849","6.0%","7,194","11.6%","4,446","11.0%","2,748","12.6%","3,910","11.0%","2,808","10.1%","1,102","14.3%","2,900","10.6%","1,860","14.1%","1,040","7.3%","6,379","11.3%","5,445","14.5%","934","5.0%","17,871","12.2%","12,468","15.6%","5,403","8.1%","3,546","14.9%","2,572","13.6%","974","20.1%","3,750","13.1%","2,396","13.0%","1,354","13.2%","3,413","13.6%","2,220","12.9%","1,193","15.3%"
"        $50,000 to $74,999","156,851","12.6%","122,646","14.2%","34,205","9.0%","3,998","11.7%","3,093","12.3%","905","10.0%","10,108","13.7%","7,877","14.8%","2,231","10.8%","6,446","14.8%","4,801","16.3%","1,645","11.7%","10,848","17.4%","7,617","18.9%","3,231","14.8%","4,407","12.4%","3,545","12.7%","862","11.2%","2,171","7.9%","1,680","12.7%","491","3.5%","6,558","11.6%","5,315","14.1%","1,243","6.6%","18,027","12.3%","12,027","15.0%","6,000","9.0%","3,046","12.8%","2,636","13.9%","410","8.5%","4,500","15.7%","3,133","17.0%","1,367","13.4%","4,322","17.3%","3,556","20.6%","766","9.8%"
