"Label (Grouping)","Puerto Rico!!Occupied housing units!!Estimate","Puerto Rico!!Percent occupied housing units!!Estimate","Puerto Rico!!Owner-occupied housing units!!Estimate","Puerto Rico!!Percent owner-occupied housing units!!Estimate","Puerto Rico!!Renter-occupied housing units!!Estimate","Puerto Rico!!Percent renter-occupied housing units!!Estimate","Arecibo Municipio, Puerto Rico!!Occupied housing units!!Estimate","Arecibo Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Arecibo Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Arecibo Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Arecibo Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Arecibo Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Bayamón Municipio, Puerto Rico!!Occupied housing units!!Estimate","Bayamón Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Bayamón Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Bayamón Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Bayamón Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Bayamón Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Caguas Municipio, Puerto Rico!!Occupied housing units!!Estimate","Caguas Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Caguas Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Caguas Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Caguas Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Caguas Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Carolina Municipio, Puerto Rico!!Occupied housing units!!Estimate","Carolina Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Carolina Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Carolina Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Carolina Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Carolina Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Guaynabo Municipio, Puerto Rico!!Occupied housing units!!Estimate","Guaynabo Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Guaynabo Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Guaynabo Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Guaynabo Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Guaynabo Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Mayagüez Municipio, Puerto Rico!!Occupied housing units!!Estimate","Mayagüez Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Mayagüez Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Mayagüez Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Mayagüez Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Mayagüez Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Ponce Municipio, Puerto Rico!!Occupied housing units!!Estimate","Ponce Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Ponce Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Ponce Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Ponce Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Ponce Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","San Juan Municipio, Puerto Rico!!Occupied housing units!!Estimate","San Juan Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","San Juan Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","San Juan Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","San Juan Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","San Juan Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Toa Alta Municipio, Puerto Rico!!Occupied housing units!!Estimate","Toa Alta Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Toa Alta Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Toa Alta Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Toa Alta Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Toa Alta Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Toa Baja Municipio, Puerto Rico!!Occupied housing units!!Estimate","Toa Baja Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Toa Baja Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Toa Baja Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Toa Baja Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Toa Baja Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Occupied housing units!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Percent occupied housing units!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Owner-occupied housing units!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Percent owner-occupied housing units!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Renter-occupied housing units!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Percent renter-occupied housing units!!Estimate"
"Occupied housing units","1,170,982","1,170,982","803,460","803,460","367,522","367,522","32,090","32,090","19,459","19,459","12,631","12,631","68,980","68,980","47,504","47,504","21,476","21,476","47,669","47,669","31,091","31,091","16,578","16,578","58,602","58,602","40,302","40,302","18,300","18,300","33,125","33,125","22,357","22,357","10,768","10,768","28,649","28,649","15,088","15,088","13,561","13,561","52,837","52,837","35,701","35,701","17,136","17,136","138,800","138,800","77,123","77,123","61,677","61,677","22,650","22,650","19,512","19,512","3,138","3,138","28,291","28,291","20,717","20,717","7,574","7,574","23,263","23,263","16,271","16,271","6,992","6,992"
"    HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than $5,000","178,259","15.2%","70,903","8.8%","107,356","29.2%","5,669","17.7%","1,692","8.7%","3,977","31.5%","7,799","11.3%","2,849","6.0%","4,950","23.0%","5,477","11.5%","2,128","6.8%","3,349","20.2%","7,069","12.1%","3,326","8.3%","3,743","20.5%","2,434","7.3%","579","2.6%","1,855","17.2%","7,394","25.8%","1,460","9.7%","5,934","43.8%","10,663","20.2%","4,585","12.8%","6,078","35.5%","25,456","18.3%","5,024","6.5%","20,432","33.1%","2,754","12.2%","1,763","9.0%","991","31.6%","4,009","14.2%","2,436","11.8%","1,573","20.8%","2,325","10.0%","534","3.3%","1,791","25.6%"
"        $5,000 to $9,999","135,926","11.6%","78,830","9.8%","57,096","15.5%","3,516","11.0%","1,624","8.3%","1,892","15.0%","5,278","7.7%","2,628","5.5%","2,650","12.3%","5,438","11.4%","2,553","8.2%","2,885","17.4%","4,905","8.4%","2,573","6.4%","2,332","12.7%","2,246","6.8%","970","4.3%","1,276","11.8%","3,544","12.4%","1,513","10.0%","2,031","15.0%","8,492","16.1%","4,368","12.2%","4,124","24.1%","14,995","10.8%","5,303","6.9%","9,692","15.7%","1,800","7.9%","1,520","7.8%","280","8.9%","2,309","8.2%","1,566","7.6%","743","9.8%","1,470","6.3%","859","5.3%","611","8.7%"
"        $10,000 to $14,999","137,740","11.8%","94,401","11.7%","43,339","11.8%","3,520","11.0%","2,039","10.5%","1,481","11.7%","6,629","9.6%","4,094","8.6%","2,535","11.8%","6,352","13.3%","3,797","12.2%","2,555","15.4%","4,572","7.8%","3,432","8.5%","1,140","6.2%","2,157","6.5%","1,206","5.4%","951","8.8%","3,661","12.8%","1,826","12.1%","1,835","13.5%","7,131","13.5%","4,713","13.2%","2,418","14.1%","12,149","8.8%","6,538","8.5%","5,611","9.1%","1,850","8.2%","1,504","7.7%","346","11.0%","2,864","10.1%","2,036","9.8%","828","10.9%","2,204","9.5%","1,328","8.2%","876","12.5%"
"        $15,000 to $19,999","124,103","10.6%","83,580","10.4%","40,523","11.0%","3,888","12.1%","2,193","11.3%","1,695","13.4%","6,156","8.9%","3,524","7.4%","2,632","12.3%","3,667","7.7%","2,427","7.8%","1,240","7.5%","5,506","9.4%","3,592","8.9%","1,914","10.5%","3,346","10.1%","2,014","9.0%","1,332","12.4%","2,684","9.4%","1,387","9.2%","1,297","9.6%","4,580","8.7%","3,264","9.1%","1,316","7.7%","11,202","8.1%","6,028","7.8%","5,174","8.4%","2,405","10.6%","1,977","10.1%","428","13.6%","3,143","11.1%","2,301","11.1%","842","11.1%","1,780","7.7%","1,201","7.4%","579","8.3%"
"        $20,000 to $24,999","93,564","8.0%","70,519","8.8%","23,045","6.3%","2,624","8.2%","1,884","9.7%","740","5.9%","6,174","9.0%","4,695","9.9%","1,479","6.9%","3,198","6.7%","1,886","6.1%","1,312","7.9%","4,194","7.2%","2,991","7.4%","1,203","6.6%","1,600","4.8%","1,248","5.6%","352","3.3%","2,948","10.3%","2,409","16.0%","539","4.0%","3,876","7.3%","3,445","9.6%","431","2.5%","9,366","6.7%","6,022","7.8%","3,344","5.4%","1,409","6.2%","1,099","5.6%","310","9.9%","2,474","8.7%","1,797","8.7%","677","8.9%","1,972","8.5%","1,362","8.4%","610","8.7%"
"        $25,000 to $34,999","146,361","12.5%","109,418","13.6%","36,943","10.1%","5,304","16.5%","3,487","17.9%","1,817","14.4%","9,925","14.4%","7,065","14.9%","2,860","13.3%","6,545","13.7%","4,529","14.6%","2,016","12.2%","8,356","14.3%","6,394","15.9%","1,962","10.7%","3,550","10.7%","2,020","9.0%","1,530","14.2%","2,341","8.2%","1,822","12.1%","519","3.8%","5,207","9.9%","3,412","9.6%","1,795","10.5%","14,096","10.2%","9,644","12.5%","4,452","7.2%","2,891","12.8%","2,493","12.8%","398","12.7%","3,913","13.8%","2,878","13.9%","1,035","13.7%","2,380","10.2%","1,601","9.8%","779","11.1%"
"        $35,000 to $49,999","134,328","11.5%","105,640","13.1%","28,688","7.8%","3,825","11.9%","3,036","15.6%","789","6.2%","9,868","14.3%","8,026","16.9%","1,842","8.6%","5,749","12.1%","4,368","14.0%","1,381","8.3%","9,233","15.8%","6,182","15.3%","3,051","16.7%","4,494","13.6%","3,281","14.7%","1,213","11.3%","1,931","6.7%","1,437","9.5%","494","3.6%","5,214","9.9%","4,598","12.9%","616","3.6%","16,046","11.6%","11,040","14.3%","5,006","8.1%","3,702","16.3%","3,578","18.3%","124","4.0%","3,469","12.3%","2,486","12.0%","983","13.0%","3,343","14.4%","2,721","16.7%","622","8.9%"
"        $50,000 to $74,999","113,432","9.7%","95,041","11.8%","18,391","5.0%","2,842","8.9%","2,602","13.4%","240","1.9%","10,608","15.4%","8,799","18.5%","1,809","8.4%","5,644","11.8%","4,492","14.4%","1,152","6.9%","8,304","14.2%","6,563","16.3%","1,741","9.5%","4,038","12.2%","3,098","13.9%","940","8.7%","2,238","7.8%","1,485","9.8%","753","5.6%","3,528","6.7%","3,407","9.5%","121","0.7%","13,711","9.9%","10,028","13.0%","3,683","6.0%","3,065","13.5%","2,804","14.4%","261","8.3%","3,645","12.9%","3,020","14.6%","625","8.3%","3,624","15.6%","2,613","16.1%","1,011","14.5%"
