"Label (Grouping)","Puerto Rico!!Total!!Estimate","Puerto Rico!!Moved; within same municipio!!Estimate","Puerto Rico!!Moved; from different municipio!!Estimate","Puerto Rico!!Moved; from the U.S.!!Estimate","Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Arecibo Municipio, Puerto Rico!!Total!!Estimate","Arecibo Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Arecibo Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Arecibo Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Arecibo Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Bayamón Municipio, Puerto Rico!!Total!!Estimate","Bayamón Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Bayamón Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Bayamón Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Bayamón Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Caguas Municipio, Puerto Rico!!Total!!Estimate","Caguas Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Caguas Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Caguas Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Caguas Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Carolina Municipio, Puerto Rico!!Total!!Estimate","Carolina Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Carolina Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Carolina Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Carolina Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Guaynabo Municipio, Puerto Rico!!Total!!Estimate","Guaynabo Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Guaynabo Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Guaynabo Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Guaynabo Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Mayagüez Municipio, Puerto Rico!!Total!!Estimate","Mayagüez Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Mayagüez Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Mayagüez Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Mayagüez Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Ponce Municipio, Puerto Rico!!Total!!Estimate","Ponce Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Ponce Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Ponce Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Ponce Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","San Juan Municipio, Puerto Rico!!Total!!Estimate","San Juan Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","San Juan Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","San Juan Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","San Juan Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Toa Alta Municipio, Puerto Rico!!Total!!Estimate","Toa Alta Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Toa Alta Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Toa Alta Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Toa Alta Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Toa Baja Municipio, Puerto Rico!!Total!!Estimate","Toa Baja Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Toa Baja Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Toa Baja Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Toa Baja Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Total!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate"
"Population 1 year and over","3,188,457","2.4%","1.8%","0.8%","0.2%","N","N","N","N","N","179,766","2.6%","3.0%","0.7%","0.2%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","330,824","3.2%","1.5%","0.2%","0.6%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"    AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        1 to 4 years","75,442","3.4%","1.1%","1.7%","0.1%","N","N","N","N","N","4,146","5.6%","0.9%","2.7%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","8,302","7.7%","0.0%","0.0%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        5 to 17 years","390,446","3.1%","1.4%","0.7%","0.3%","N","N","N","N","N","20,847","4.4%","4.9%","1.2%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","37,728","2.1%","0.7%","0.0%","1.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        18 to 24 years","294,504","2.7%","3.6%","0.9%","0.4%","N","N","N","N","N","15,920","2.6%","6.4%","0.9%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","29,415","1.9%","5.4%","0.2%","1.6%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        25 to 34 years","412,038","4.3%","2.9%","1.6%","0.3%","N","N","N","N","N","27,142","4.3%","2.1%","1.7%","0.7%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","45,025","6.0%","1.3%","0.3%","0.6%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        35 to 44 years","395,225","2.3%","2.1%","0.8%","0.1%","N","N","N","N","N","21,407","2.6%","6.3%","0.0%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","38,095","5.4%","0.6%","0.2%","0.7%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        45 to 54 years","401,698","1.5%","1.3%","0.4%","0.2%","N","N","N","N","N","20,804","1.7%","3.2%","0.0%","0.4%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","39,652","1.4%","1.9%","0.0%","0.9%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        55 to 64 years","429,590","1.6%","1.0%","0.6%","0.1%","N","N","N","N","N","23,402","1.2%","0.8%","0.0%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","43,466","3.8%","0.7%","0.1%","0.1%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        65 to 74 years","387,469","1.6%","1.2%","0.6%","0.1%","N","N","N","N","N","21,388","1.8%","1.3%","0.7%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","40,939","2.4%","2.3%","0.7%","0.3%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        75 years and over","402,045","1.7%","1.2%","0.3%","0.1%","N","N","N","N","N","24,710","1.5%","1.2%","0.5%","0.3%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","48,202","1.5%","0.9%","0.2%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Median age (years)","45.6","32.6","34.2","33.4","30.9","46.0","54.4","28.4","30.6","-","45.2","30.4","35.1","25.7","30.9","45.0","30.3","25.6","-","-","46.2","37.0","29.3","32.6","-","48.4","30.0","30.2","38.3","60.2","42.0","24.3","28.8","50.3","19.1","45.5","31.6","31.5","30.1","-","47.0","37.1","43.3","66.5","31.3","43.7","-","75.0","-","-","44.2","41.6","34.3","50.5","21.1","44.9","38.2","57.2","-","63.0"
"    SEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Male","1,509,386","2.5%","2.0%","0.9%","0.2%","40,816","1.7%","1.1%","1.9%","0.0%","83,969","2.6%","3.7%","1.0%","0.2%","56,966","6.4%","1.6%","0.3%","0.0%","67,992","1.9%","2.3%","1.1%","0.0%","41,344","1.4%","3.7%","1.2%","0.6%","32,378","7.3%","5.0%","0.3%","1.7%","61,211","4.4%","2.4%","1.4%","0.1%","151,173","3.2%","1.1%","0.1%","0.8%","N","N","N","N","N","33,252","1.6%","2.0%","1.0%","0.7%","N","N","N","N","N"
"        Female","1,679,071","2.3%","1.5%","0.7%","0.1%","44,929","0.8%","0.2%","0.2%","0.0%","95,797","2.6%","2.4%","0.4%","0.1%","67,363","3.4%","1.4%","0.1%","0.0%","82,078","2.0%","1.8%","0.5%","0.0%","47,517","1.4%","3.5%","2.4%","0.1%","36,274","5.3%","2.6%","0.0%","0.9%","67,382","3.0%","0.6%","1.0%","0.0%","179,651","3.2%","1.9%","0.3%","0.4%","N","N","N","N","N","37,938","1.2%","1.2%","0.2%","0.2%","N","N","N","N","N"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        One race","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"            White","723,589","2.8%","1.8%","0.8%","0.3%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","27,898","1.3%","3.1%","1.9%","0.4%","16,886","6.4%","2.3%","0.0%","0.4%","N","N","N","N","N","58,156","3.2%","2.3%","0.4%","0.7%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"            Black or African American","174,968","3.2%","2.1%","0.5%","0.3%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","32,407","2.6%","0.6%","0.2%","1.3%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"            American Indian and Alaska Native","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"            Asian","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"            Native Hawaiian and Other Pacific Islander","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"            Some other race","1,056,696","2.6%","1.9%","0.6%","0.1%","N","N","N","N","N","87,157","2.9%","2.4%","1.2%","0.3%","31,802","7.2%","1.9%","0.3%","0.0%","53,567","2.4%","0.7%","1.6%","0.0%","N","N","N","N","N","39,366","5.5%","3.9%","0.0%","1.8%","12,428","10.8%","1.9%","2.5%","0.4%","96,760","4.1%","0.7%","0.0%","0.1%","N","N","N","N","N","49,223","1.5%","2.1%","0.5%","0.1%","N","N","N","N","N"
"        Two or more races","1,218,307","1.7%","1.7%","0.8%","0.1%","58,375","0.5%","0.8%","1.5%","0.0%","61,936","1.4%","1.6%","0.2%","0.1%","48,880","0.9%","1.0%","0.4%","0.0%","63,416","1.7%","2.4%","0.5%","0.0%","29,438","2.4%","1.5%","3.1%","0.4%","N","N","N","N","N","92,158","1.9%","1.3%","1.1%","0.0%","142,335","2.8%","2.0%","0.2%","0.7%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
