"Label (Grouping)","Puerto Rico!!Total!!Estimate","Puerto Rico!!Moved; within same municipio!!Estimate","Puerto Rico!!Moved; from different municipio!!Estimate","Puerto Rico!!Moved; from the U.S.!!Estimate","Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Arecibo Municipio, Puerto Rico!!Total!!Estimate","Arecibo Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Arecibo Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Arecibo Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Arecibo Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Bayamón Municipio, Puerto Rico!!Total!!Estimate","Bayamón Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Bayamón Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Bayamón Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Bayamón Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Caguas Municipio, Puerto Rico!!Total!!Estimate","Caguas Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Caguas Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Caguas Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Caguas Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Carolina Municipio, Puerto Rico!!Total!!Estimate","Carolina Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Carolina Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Carolina Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Carolina Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Guaynabo Municipio, Puerto Rico!!Total!!Estimate","Guaynabo Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Guaynabo Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Guaynabo Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Guaynabo Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Mayagüez Municipio, Puerto Rico!!Total!!Estimate","Mayagüez Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Mayagüez Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Mayagüez Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Mayagüez Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Ponce Municipio, Puerto Rico!!Total!!Estimate","Ponce Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Ponce Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Ponce Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Ponce Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","San Juan Municipio, Puerto Rico!!Total!!Estimate","San Juan Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","San Juan Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","San Juan Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","San Juan Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Toa Alta Municipio, Puerto Rico!!Total!!Estimate","Toa Alta Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Toa Alta Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Toa Alta Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Toa Alta Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Toa Baja Municipio, Puerto Rico!!Total!!Estimate","Toa Baja Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Toa Baja Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Toa Baja Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Toa Baja Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Total!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate"
"Population 1 year and over","3,187,700","2.7%","2.1%","0.7%","0.1%","N","N","N","N","N","179,851","3.2%","2.4%","0.5%","0.1%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","330,558","3.5%","2.5%","0.6%","0.4%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"    AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        1 to 4 years","76,400","6.2%","3.0%","2.3%","0.1%","N","N","N","N","N","4,676","3.2%","1.8%","3.9%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","7,931","10.0%","1.4%","0.0%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        5 to 17 years","404,296","3.0%","2.3%","0.6%","0.1%","N","N","N","N","N","21,358","5.6%","1.1%","0.0%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","38,875","3.6%","2.9%","0.6%","0.7%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        18 to 24 years","299,750","4.0%","2.9%","0.6%","0.2%","N","N","N","N","N","16,064","3.6%","5.2%","0.0%","0.6%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","29,802","5.2%","3.7%","0.1%","1.4%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        25 to 34 years","406,466","4.4%","4.0%","1.3%","0.2%","N","N","N","N","N","26,719","4.5%","3.3%","1.7%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","44,502","4.9%","1.2%","1.3%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        35 to 44 years","396,783","3.1%","2.8%","0.8%","0.1%","N","N","N","N","N","21,162","4.4%","4.9%","0.0%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","37,992","4.2%","4.2%","0.0%","0.5%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        45 to 54 years","399,012","1.9%","2.3%","0.5%","0.2%","N","N","N","N","N","20,791","4.2%","3.2%","0.0%","0.2%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","39,980","4.3%","5.4%","0.4%","0.2%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        55 to 64 years","434,132","1.6%","0.8%","0.7%","0.2%","N","N","N","N","N","23,887","0.8%","1.3%","0.1%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","44,165","2.1%","0.6%","0.0%","0.4%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        65 to 74 years","384,375","1.5%","0.8%","0.5%","0.1%","N","N","N","N","N","21,189","2.2%","0.8%","1.3%","0.5%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","40,982","1.1%","0.8%","1.4%","0.2%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        75 years and over","386,486","1.8%","1.3%","0.4%","0.1%","N","N","N","N","N","24,005","0.3%","0.1%","0.0%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","46,329","2.2%","2.1%","0.8%","0.4%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Median age (years)","45.2","33.1","33.2","36.7","45.1","45.8","54.1","30.1","50.3","-","45.0","32.9","35.4","33.1","48.9","44.9","39.4","33.2","59.5","60.9","45.9","31.3","31.4","40.6","49.8","47.6","22.9","35.2","48.1","34.5","44.1","24.4","22.6","13.4","28.6","45.2","33.4","39.8","36.3","-","46.4","34.6","43.0","50.8","35.1","42.7","45.4","52.1","-","-","44.4","43.3","30.6","14.9","-","44.6","77.2","29.8","-","-"
"    SEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
