"Label (Grouping)","Puerto Rico!!Total!!Estimate","Puerto Rico!!Moved; within same municipio!!Estimate","Puerto Rico!!Moved; from different municipio!!Estimate","Puerto Rico!!Moved; from the U.S.!!Estimate","Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Arecibo Municipio, Puerto Rico!!Total!!Estimate","Arecibo Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Arecibo Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Arecibo Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Arecibo Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Bayamón Municipio, Puerto Rico!!Total!!Estimate","Bayamón Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Bayamón Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Bayamón Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Bayamón Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Caguas Municipio, Puerto Rico!!Total!!Estimate","Caguas Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Caguas Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Caguas Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Caguas Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Carolina Municipio, Puerto Rico!!Total!!Estimate","Carolina Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Carolina Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Carolina Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Carolina Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Guaynabo Municipio, Puerto Rico!!Total!!Estimate","Guaynabo Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Guaynabo Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Guaynabo Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Guaynabo Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Mayagüez Municipio, Puerto Rico!!Total!!Estimate","Mayagüez Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Mayagüez Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Mayagüez Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Mayagüez Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Ponce Municipio, Puerto Rico!!Total!!Estimate","Ponce Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Ponce Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Ponce Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Ponce Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","San Juan Municipio, Puerto Rico!!Total!!Estimate","San Juan Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","San Juan Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","San Juan Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","San Juan Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Toa Alta Municipio, Puerto Rico!!Total!!Estimate","Toa Alta Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Toa Alta Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Toa Alta Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Toa Alta Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Toa Baja Municipio, Puerto Rico!!Total!!Estimate","Toa Baja Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Toa Baja Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Toa Baja Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Toa Baja Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Total!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Moved; within same municipio!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Moved; from different municipio!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Moved; from the U.S.!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Moved; from outside Puerto Rico and the U.S.!!Estimate"
"Population 1 year and over","3,248,011","3.3%","2.2%","0.8%","0.1%","N","N","N","N","N","181,745","3.1%","2.5%","0.9%","0.1%","N","N","N","N","N","152,026","6.1%","5.0%","1.1%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","335,777","4.8%","2.6%","1.2%","0.3%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"    AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        1 to 4 years","88,268","8.9%","3.2%","1.5%","0.0%","N","N","N","N","N","5,085","2.2%","3.6%","2.0%","0.0%","N","N","N","N","N","3,741","26.8%","12.5%","0.0%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","9,862","14.1%","5.6%","3.1%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        5 to 17 years","441,947","4.6%","2.7%","0.9%","0.0%","N","N","N","N","N","22,824","3.0%","1.3%","1.0%","0.0%","N","N","N","N","N","19,684","8.2%","10.1%","0.4%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","41,748","6.6%","1.1%","2.2%","0.1%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        18 to 24 years","316,387","3.7%","3.8%","0.8%","0.2%","N","N","N","N","N","16,891","6.1%","4.6%","2.5%","0.0%","N","N","N","N","N","13,993","5.0%","7.0%","1.5%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","31,590","4.7%","7.3%","1.3%","1.9%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        25 to 34 years","402,204","5.1%","3.5%","1.0%","0.3%","N","N","N","N","N","26,072","5.6%","4.2%","1.6%","0.0%","N","N","N","N","N","20,631","10.7%","7.7%","0.0%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","43,665","8.3%","4.7%","1.0%","0.8%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        35 to 44 years","400,607","3.9%","2.9%","1.0%","0.1%","N","N","N","N","N","21,602","3.1%","4.1%","0.3%","0.6%","N","N","N","N","N","17,786","10.1%","7.5%","0.0%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","38,714","5.2%","1.3%","3.2%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        45 to 54 years","415,974","2.4%","2.0%","0.8%","0.0%","N","N","N","N","N","21,297","3.0%","2.1%","1.6%","0.0%","N","N","N","N","N","19,848","2.8%","1.8%","0.8%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","41,107","3.9%","2.2%","0.5%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        55 to 64 years","442,138","1.8%","0.9%","1.0%","0.1%","N","N","N","N","N","24,534","1.3%","1.4%","0.3%","0.3%","N","N","N","N","N","19,422","3.2%","1.9%","4.6%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","45,278","3.9%","1.1%","0.8%","0.2%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        65 to 74 years","384,163","1.3%","0.7%","0.6%","0.0%","N","N","N","N","N","20,729","1.3%","0.5%","0.0%","0.0%","N","N","N","N","N","17,311","3.0%","2.1%","0.9%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","40,737","1.8%","1.4%","0.2%","0.1%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        75 years and over","356,323","1.8%","1.3%","0.3%","0.0%","N","N","N","N","N","22,711","2.2%","1.6%","0.0%","0.0%","N","N","N","N","N","19,610","1.4%","0.8%","1.1%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","43,076","1.3%","2.4%","0.1%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
